Language,FLORES-200 code,xx - English,English - xx
Irish,gle_Latn,63.7,54.4
Galician,glg_Latn,66.3,61.4
Guarani,grn_Latn,48.5,37.5
Gujarati,guj_Gujr,66.6,51.9
Haitian Creole,hat_Latn,62.7,50.7
Hausa,hau_Latn,56.9,52.0
Hebrew,heb_Hebr,66.4,56.2
Hindi,hin_Deva,66.3,56.6
Chhattisgarhi,hne_Deva,70.7,51.7
Croatian,hrv_Latn,63.0,55.8
Hungarian,hun_Latn,61.2,54.2
Armenian,hye_Armn,62.5,50.5
Igbo,ibo_Latn,53.3,40.9
Ilocano,ilo_Latn,61.2,53.1
Indonesian,ind_Latn,68.0,69.3
Icelandic,isl_Latn,57.4,48.8
Italian,ita_Latn,60.0,59.2
Javanese,jav_Latn,63.8,55.3
Japanese,jpn_Jpan,55.2,24.7
Kabyle,kab_Latn,45.2,30.6
Jingpho,kac_Latn,38.7,39.1
Kamba,kam_Latn,36.2,20.7
Kannada,kan_Knda,61.1,52.4
Kashmiri (Arabic script),kas_Arab,57.9,31.8
Kashmiri (Devanagari script),kas_Deva,45.2,18.0
Georgian,kat_Geor,55.8,47.5
Kazakh,kaz_Cyrl,59.1,50.3
Kabiyè,kbp_Latn,36.5,28.0
Kabuverdianu,kea_Latn,66.9,46.9
Halh Mongolian,khk_Cyrl,52.7,40.4
Khmer,khm_Khmr,56.3,36.5
Kikuyu,kik_Latn,42.2,37.2
Kinyarwanda,kin_Latn,55.4,46.8
Kyrgyz,kir_Cyrl,51.1,44.0
Kimbundu,kmb_Latn,35.7,24.4
Northern Kurdish,kmr_Latn,50.6,36.6
Central Kanuri (Arabic script),knc_Arab,17.0,9.1
Central Kanuri (Latin script),knc_Latn,33.9,22.5
Kikongo,kon_Latn,45.4,42.1
Korean,kor_Hang,56.2,33.4
Lao,lao_Laoo,60.7,44.4
Ligurian,lij_Latn,67.0,47.4
Limburgish,lim_Latn,63.5,43.9
Lingala,lin_Latn,51.9,45.6
Lithuanian,lit_Latn,58.6,52.1
Lombard,lmo_Latn,60.6,32.9
Latgalian,ltg_Latn,59.9,46.8
Luxembourgish,ltz_Latn,69.0,54.9
Luba-Kasai,lua_Latn,42.8,32.1
Ganda,lug_Latn,47.3,36.0
Luo,luo_Latn,46.6,38.5
Mizo,lus_Latn,41.4,37.2
Standard Latvian,lvs_Latn,59.9,50.6
Magahi,mag_Deva,70.3,54.9
Maithili,mai_Deva,67.0,44.6
Malayalam,mal_Mlym,63.3,49.1
Marathi,mar_Deva,62.6,46.9
Minangkabau (Arabic script),min_Arab,2.4,0.4
Minangkabau (Latin script),min_Latn,60.4,49.1
Macedonian,mkd_Cyrl,66.5,60.3
Maltese,mlt_Latn,75.0,62.1
Meitei (Bengali script),mni_Beng,51.1,36.7
Mossi,mos_Latn,32.2,21.4
Maori,mri_Latn,50.5,45.9
Burmese,mya_Mymr,54.2,33.8
Dutch,nld_Latn,59.3,55.8
Norwegian Nynorsk,nno_Latn,65.0,53.8
Norwegian Bokmål,nob_Latn,65.2,59.6
Nepali,npi_Deva,66.3,48.3
Northern Sotho,nso_Latn,61.8,47.9
Nuer,nus_Latn,38.0,26.4
Nyanja,nya_Latn,52.1,44.4
Occitan,oci_Latn,74.6,62.8
Odia,ory_Orya,63.7,45.7
Pangasinan,pag_Latn,54.0,41.6
Eastern Panjabi,pan_Guru,65.1,49.5
Papiamento,pap_Latn,70.4,56.7
Southern Pashto,pbt_Arab,58.7,37.5
Western Persian,pes_Arab,62.3,49.3
Plateau Malagasy,plt_Latn,57.2,50.5
Polish,pol_Latn,57.1,49.4
Portuguese,por_Latn,70.9,69.8
Dari,prs_Arab,62.9,51.2
Ayacucho Quechua,quy_Latn,34.6,20.8
Romanian,ron_Latn,67.4,61.8
Rundi,run_Latn,50.1,39.5
Russian,rus_Cyrl,61.1,57.6
Sango,sag_Latn,34.0,33.3
Sanskrit,san_Deva,49.0,23.0
Santali,sat_Olck,1.0,0.3
Sicilian,scn_Latn,61.5,39.0
Shan,shn_Mymr,47.2,35.6
Sinhala,sin_Sinh,60.5,44.2
Slovak,slk_Latn,64.3,58.3
Slovenian,slv_Latn,60.8,54.6
Samoan,smo_Latn,56.5,50.1
Shona,sna_Latn,51.6,43.4
Sindhi,snd_Arab,65.0,48.1
Somali,som_Latn,53.4,41.9
Southern Sotho,sot_Latn,61.0,46.5
Spanish,spa_Latn,57.4,56.4
Sardinian,srd_Latn,66.5,54.9
Serbian,srp_Cyrl,66.7,59.1
Swati,ssw_Latn,52.0,42.3
Sundanese,sun_Latn,62.6,46.4
Swedish,swe_Latn,69.7,66.2
Swahili,swh_Latn,65.5,58.2
Silesian,szl_Latn,65.0,50.3
Tamil,tam_Taml,60.9,52.5
Tamasheq (Latin script),taq_Latn,31.4,19.8
Tamasheq (Tifinagh script),taq_Tfng,26.1,17.8
Tatar,tat_Cyrl,56.8,49.6
Telugu,tel_Telu,66.4,52.8
Tajik,tgk_Cyrl,59.2,50.9
Tagalog,tgl_Latn,67.8,61.1
Thai,tha_Thai,56.5,40.1
Tigrinya,tir_Ethi,50.4,24.3
Tok Pisin,tpi_Latn,52.0,44.8
Tswana,tsn_Latn,52.1,47.3
Tsonga,tso_Latn,54.5,49.1
Turkmen,tuk_Latn,56.5,41.7
Tumbuka,tum_Latn,43.1,40.0
Turkish,tur_Latn,64.0,58.5
Twi,twi_Latn,47.0,36.7
Central Atlas Tamazight,tzm_Tfng,39.6,29.3
Uyghur,uig_Arab,51.0,39.0
Ukrainian,ukr_Cyrl,64.2,56.1
Umbundu,umb_Latn,31.0,22.9
Urdu,urd_Arab,61.7,47.5
Northern Uzbek,uzn_Latn,59.9,52.5
Venetian,vec_Latn,66.7,46.5
Vietnamese,vie_Latn,61.2,60.0
Waray,war_Latn,68.2,57.5
Wolof,wol_Latn,39.9,25.9
Xhosa,xho_Latn,60.7,45.9
Eastern Yiddish,ydd_Hebr,69.2,33.7
Yoruba,yor_Latn,46.5,22.9
Yue Chinese,yue_Hant,55.4,14.7
Chinese (Simplified),zho_Hans,55.6,23.9
Chinese (Traditional),zho_Hant,49.0,15.9
Standard Malay,zsm_Latn,68.3,67.1
Zulu,zul_Latn,61.5,52.9
