language_name,language_code,language_family,Accuracy gpt-4o,Accuracy gemini2-Flash,Accuracy Gemma3-27B
Nyanja,nya_Latn,Atlantic-Congo,100.0,99.4,98.5
Occitan,oci_Latn,Indo-European,99.0,97.6,93.8
Odia,ory_Orya,Indo-European,99.4,99.3,100.0
Eastern Panjabi,pan_Guru,Indo-European,99.8,100.0,100.0
Southern Pashto,pbt_Arab,Indo-European,100.0,99.7,94.6
Western Persian,pes_Arab,Indo-European,99.1,99.9,99.7
Polish,pol_Latn,Indo-European,100.0,100.0,100.0
Portuguese,por_Latn,Indo-European,100.0,99.9,100.0
Romanian,ron_Latn,Indo-European,99.9,100.0,100.0
Russian,rus_Cyrl,Indo-European,99.7,99.8,99.7
Slovak,slk_Latn,Indo-European,100.0,100.0,98.7
Slovenian,slv_Latn,Indo-European,99.8,100.0,99.2
Samoan,smo_Latn,Austronesian,100.0,100.0,99.9
Shona,sna_Latn,Atlantic-Congo,100.0,100.0,99.9
Sindhi,snd_Arab,Indo-European,99.9,99.9,100.0
Somali,som_Latn,Afro-Asiatic,100.0,100.0,100.0
Spanish,spa_Latn,Indo-European,96.7,100.0,99.9
Serbian,srp_Cyrl,Indo-European,99.8,99.5,99.7
Swedish,swe_Latn,Indo-European,100.0,100.0,100.0
Swahili,swh_Latn,Atlantic-Congo,100.0,99.8,100.0
Tamil,tam_Taml,Dravidian,98.6,100.0,99.9
Telugu,tel_Telu,Dravidian,83.7,99.9,100.0
Tajik,tgk_Cyrl,Indo-European,99.2,100.0,99.9
Tagalog,tgl_Latn,Austronesian,100.0,99.9,100.0
Thai,tha_Thai,Tai-Kadai,99.4,100.0,99.9
Turkish,tur_Latn,Turkic,99.4,99.9,99.9
Ukrainian,ukr_Cyrl,Indo-European,99.9,100.0,99.9
Umbundu,umb_Latn,Atlantic-Congo,39.5,76.1,5.0
Urdu,urd_Arab,Indo-European,97.4,99.8,99.5
Northern Uzbek,uzn_Latn,Turkic,100.0,99.7,100.0
Vietnamese,vie_Latn,Austroasiatic,99.8,99.9,100.0
Wolof,wol_Latn,Atlantic-Congo,99.7,99.5,96.4
Xhosa,xho_Latn,Atlantic-Congo,91.6,92.5,76.9
Yoruba,yor_Latn,Atlantic-Congo,99.8,100.0,99.9
Chinese (Simplified),zho_Hans,Sino-Tibetan,99.9,99.7,99.4
Chinese (Traditional),zho_Hant,Sino-Tibetan,100.0,99.7,99.3
Standard Malay,zsm_Latn,Austronesian,96.6,92.5,96.3
Zulu,zul_Latn,Atlantic-Congo,99.5,99.5,97.9
