language_name,language_code,language_family,SIB Gemini2-Flash (Apr 2025),Flores xx-eng Gemini2-Flash (Apr 2025),Flores eng-xx Gemini2-Flash (Apr 2025)
Standard Tibetan,bod_Tibt,Sino-Tibetan,85.8,45.1,32.3
Bosnian,bos_Latn,Indo-European,89.7,67.8,61.2
Buginese,bug_Latn,Austronesian,78.4,43.4,10.1
Bulgarian,bul_Cyrl,Indo-European,88.2,67.7,65.7
Catalan,cat_Latn,Indo-European,88.7,69.7,66.8
Cebuano,ceb_Latn,Austronesian,86.8,69.7,60.4
Czech,ces_Latn,Indo-European,88.2,65.7,59.1
Chokwe,cjk_Latn,Atlantic-Congo,51.5,26.8,20.1
Central Kurdish,ckb_Arab,Indo-European,87.3,60.5,42.9
Crimean Tatar,crh_Latn,Turkic,81.4,57.7,30.2
Welsh,cym_Latn,Indo-European,87.3,77.2,72.3
Danish,dan_Latn,Indo-European,89.7,71.1,58.4
German,deu_Latn,Indo-European,89.7,67.9,66.0
Southwestern Dinka,dik_Latn,Nilotic,51.5,27.9,16.8
Dyula,dyu_Latn,Mande,62.3,28.7,13.1
Dzongkha,dzo_Tibt,Sino-Tibetan,84.8,39.5,29.8
Greek,ell_Grek,Indo-European,88.7,61.8,55.0
English,eng_Latn,Indo-European,85.8,,
Esperanto,epo_Latn,Constructed,88.2,68.2,62.1
Estonian,est_Latn,Uralic,86.3,64.5,58.9
Basque,eus_Latn,Basque,87.3,59.2,54.5
Ewe,ewe_Latn,Atlantic-Congo,79.4,42.2,2.8
Faroese,fao_Latn,Indo-European,90.2,63.6,51.9
Fijian,fij_Latn,Austronesian,82.8,46.1,39.2
Finnish,fin_Latn,Uralic,90.2,61.7,58.8
Fon,fon_Latn,Atlantic-Congo,68.1,33.0,5.8
French,fra_Latn,Indo-European,87.3,68.0,70.9
Friulian,fur_Latn,Indo-European,87.3,65.7,31.8
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,70.6,32.9,13.6
West Central Oromo,gaz_Latn,Afro-Asiatic,80.4,50.7,37.2
Scottish Gaelic,gla_Latn,Indo-European,89.2,61.1,50.8
Irish,gle_Latn,Indo-European,90.2,66.5,58.7
Galician,glg_Latn,Indo-European,86.8,66.1,63.3
Guarani,grn_Latn,Tupian,83.8,50.3,32.5
Gujarati,guj_Gujr,Indo-European,89.2,66.6,51.7
Haitian Creole,hat_Latn,Indo-European,85.8,65.1,53.1
Hausa,hau_Latn,Afro-Asiatic,85.3,59.0,50.2
Hebrew,heb_Hebr,Afro-Asiatic,89.2,67.9,60.9
Hindi,hin_Deva,Indo-European,87.7,66.1,55.5
Chhattisgarhi,hne_Deva,Indo-European,86.8,68.0,26.1
Croatian,hrv_Latn,Indo-European,89.2,64.5,59.2
Hungarian,hun_Latn,Uralic,87.7,63.0,56.4
Armenian,hye_Armn,Indo-European,85.3,65.3,56.0
Igbo,ibo_Latn,Atlantic-Congo,82.8,55.2,42.5
Ilocano,ilo_Latn,Austronesian,87.3,63.3,53.6
Indonesian,ind_Latn,Austronesian,89.2,68.6,69.0
Icelandic,isl_Latn,Indo-European,91.7,61.7,53.5
Italian,ita_Latn,Indo-European,87.3,59.9,60.7
Javanese,jav_Latn,Austronesian,86.3,65.0,51.8
Japanese,jpn_Jpan,Japonic,89.2,56.0,34.3
Kabyle,kab_Latn,Afro-Asiatic,77.0,47.6,21.9
Jingpho,kac_Latn,Sino-Tibetan,75.5,37.3,35.4
Kamba,kam_Latn,Atlantic-Congo,72.1,38.2,23.9
Kannada,kan_Knda,Dravidian,87.3,60.8,51.9
Kashmiri (Arabic script),kas_Arab,Indo-European,85.8,55.9,17.9
Kashmiri (Devanagari script),kas_Deva,Indo-European,83.3,48.2,12.5
Georgian,kat_Geor,Kartvelian,88.2,57.2,52.5
Kazakh,kaz_Cyrl,Turkic,87.7,61.6,53.7
Kabiyè,kbp_Latn,Atlantic-Congo,76.5,33.8,17.9
Kabuverdianu,kea_Latn,Indo-European,86.8,72.2,51.8
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,84.8,58.5,47.1
Khmer,khm_Khmr,Austroasiatic,88.7,59.7,40.0
Kikuyu,kik_Latn,Atlantic-Congo,77.5,47.3,32.1
Kinyarwanda,kin_Latn,Atlantic-Congo,87.3,56.6,47.5
Kyrgyz,kir_Cyrl,Turkic,87.7,53.9,46.3
Kimbundu,kmb_Latn,Atlantic-Congo,65.2,33.9,23.8
Northern Kurdish,kmr_Latn,Indo-European,88.7,57.4,39.0
Central Kanuri (Arabic script),knc_Arab,Nilotic,27.5,19.3,8.9
Central Kanuri (Latin script),knc_Latn,Nilotic,48.0,23.8,17.0
Kikongo,kon_Latn,Atlantic-Congo,82.8,46.0,26.6
Korean,kor_Hang,Koreanic,85.3,58.3,37.8
Lao,lao_Laoo,Tai-Kadai,89.2,63.4,47.2
Ligurian,lij_Latn,Indo-European,86.3,67.5,43.8
Limburgish,lim_Latn,Indo-European,86.8,67.3,42.2
Lingala,lin_Latn,Atlantic-Congo,84.3,50.0,42.3
Lithuanian,lit_Latn,Indo-European,86.8,61.5,57.0
Lombard,lmo_Latn,Indo-European,87.3,64.4,32.1
Latgalian,ltg_Latn,Indo-European,90.2,65.1,40.8
Luxembourgish,ltz_Latn,Indo-European,88.7,70.8,58.4
Luba-Kasai,lua_Latn,Atlantic-Congo,65.7,42.2,32.6
Ganda,lug_Latn,Atlantic-Congo,79.9,50.4,35.6
Luo,luo_Latn,Nilotic,74.0,39.9,35.0
Mizo,lus_Latn,Sino-Tibetan,86.8,44.5,35.9
Standard Latvian,lvs_Latn,Indo-European,89.2,62.8,60.6
Magahi,mag_Deva,Indo-European,86.3,67.5,32.8
Maithili,mai_Deva,Indo-European,87.7,66.7,47.1
Malayalam,mal_Mlym,Dravidian,87.7,62.0,40.7
Marathi,mar_Deva,Indo-European,86.8,62.9,45.9
Minangkabau (Arabic script),min_Arab,Austronesian,77.0,44.5,13.1
Minangkabau (Latin script),min_Latn,Austronesian,85.8,63.4,52.2
Macedonian,mkd_Cyrl,Indo-European,89.7,67.6,63.5
Maltese,mlt_Latn,Afro-Asiatic,88.2,76.0,69.2
Meitei (Bengali script),mni_Beng,Sino-Tibetan,81.9,48.9,22.3
Mossi,mos_Latn,Atlantic-Congo,48.5,26.2,16.1
Maori,mri_Latn,Austronesian,87.7,54.3,47.3
Burmese,mya_Mymr,Sino-Tibetan,84.3,56.4,39.4
Dutch,nld_Latn,Indo-European,85.8,58.9,57.0
Norwegian Nynorsk,nno_Latn,Indo-European,88.2,68.5,60.1
Norwegian Bokmål,nob_Latn,Indo-European,86.3,67.6,60.1
Nepali,npi_Deva,Indo-European,87.3,66.4,51.1
N'ko,nqo_Nkoo,Atlantic-Congo,63.2,,
Northern Sotho,nso_Latn,Atlantic-Congo,85.8,62.8,50.4
Nuer,nus_Latn,Nilotic,38.2,20.5,7.5
Nyanja,nya_Latn,Atlantic-Congo,84.8,53.2,46.5
Occitan,oci_Latn,Indo-European,88.7,74.8,65.2
Odia,ory_Orya,Indo-European,88.2,63.0,47.9
Pangasinan,pag_Latn,Austronesian,85.3,56.3,41.3
Eastern Panjabi,pan_Guru,Indo-European,89.7,64.8,45.3
Papiamento,pap_Latn,Indo-European,88.2,73.1,61.3
Southern Pashto,pbt_Arab,Indo-European,86.3,59.5,35.9
Western Persian,pes_Arab,Indo-European,85.3,63.0,52.7
Plateau Malagasy,plt_Latn,Austronesian,81.4,56.9,43.7
Polish,pol_Latn,Indo-European,87.7,58.1,51.6
Portuguese,por_Latn,Indo-European,87.3,71.8,70.5
Dari,prs_Arab,Indo-European,89.2,64.5,48.1
Ayacucho Quechua,quy_Latn,Quechuan,74.5,37.7,31.1
Romanian,ron_Latn,Indo-European,89.2,67.7,65.7
Rundi,run_Latn,Atlantic-Congo,81.9,48.5,38.7
Russian,rus_Cyrl,Indo-European,87.3,62.0,58.9
Sango,sag_Latn,Atlantic-Congo,72.5,38.2,29.7
Sanskrit,san_Deva,Indo-European,84.3,50.7,28.0
Santali,sat_Olck,Austroasiatic,81.9,53.1,28.5
Sicilian,scn_Latn,Indo-European,88.7,64.1,34.3
Shan,shn_Mymr,Tai-Kadai,81.4,45.6,25.4
Sinhala,sin_Sinh,Indo-European,86.3,62.5,49.4
Slovak,slk_Latn,Indo-European,91.2,65.3,61.1
Slovenian,slv_Latn,Indo-European,90.7,62.4,58.7
Samoan,smo_Latn,Austronesian,87.3,57.8,49.8
Shona,sna_Latn,Atlantic-Congo,85.8,52.2,44.8
Sindhi,snd_Arab,Indo-European,88.2,65.4,46.3
Somali,som_Latn,Afro-Asiatic,82.8,56.1,41.0
Southern Sotho,sot_Latn,Atlantic-Congo,84.3,61.1,49.6
Spanish,spa_Latn,Indo-European,89.2,57.7,56.6
Sardinian,srd_Latn,Indo-European,87.3,68.5,51.1
Serbian,srp_Cyrl,Indo-European,88.2,68.3,13.3
Swati,ssw_Latn,Atlantic-Congo,81.9,52.5,35.7
Sundanese,sun_Latn,Austronesian,87.3,63.5,46.7
Swedish,swe_Latn,Indo-European,89.2,70.8,69.0
Swahili,swh_Latn,Atlantic-Congo,87.7,68.8,61.8
Silesian,szl_Latn,Indo-European,86.8,66.5,41.5
Tamil,tam_Taml,Dravidian,86.8,60.3,51.8
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,56.9,27.1,15.7
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,34.8,20.7,11.2
Tatar,tat_Cyrl,Turkic,89.7,59.1,51.4
Telugu,tel_Telu,Dravidian,87.3,65.3,52.0
Tajik,tgk_Cyrl,Indo-European,89.2,61.4,51.9
Tagalog,tgl_Latn,Austronesian,85.8,69.5,63.5
Thai,tha_Thai,Tai-Kadai,84.8,59.0,49.6
Tigrinya,tir_Ethi,Afro-Asiatic,83.3,52.2,23.0
Tok Pisin,tpi_Latn,Indo-European,85.3,53.3,47.4
Tswana,tsn_Latn,Atlantic-Congo,83.3,52.7,47.9
Tsonga,tso_Latn,Atlantic-Congo,83.8,55.1,42.6
Turkmen,tuk_Latn,Turkic,88.2,61.8,52.2
Tumbuka,tum_Latn,Atlantic-Congo,83.3,43.0,36.1
Turkish,tur_Latn,Turkic,87.7,64.4,59.8
Twi,twi_Latn,Atlantic-Congo,85.3,49.3,35.9
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,69.1,39.9,7.6
Uyghur,uig_Arab,Turkic,87.3,54.5,46.7
Ukrainian,ukr_Cyrl,Indo-European,89.2,65.7,58.3
Umbundu,umb_Latn,Atlantic-Congo,57.8,30.6,21.5
Urdu,urd_Arab,Indo-European,89.2,62.1,48.2
Northern Uzbek,uzn_Latn,Turkic,86.3,62.2,48.9
Venetian,vec_Latn,Indo-European,85.8,67.2,45.9
Vietnamese,vie_Latn,Austroasiatic,87.7,62.0,60.8
Waray,war_Latn,Austronesian,86.8,71.3,57.3
Wolof,wol_Latn,Atlantic-Congo,79.9,45.8,27.8
Xhosa,xho_Latn,Atlantic-Congo,86.3,61.7,46.5
Eastern Yiddish,ydd_Hebr,Indo-European,86.3,74.3,34.6
Yoruba,yor_Latn,Atlantic-Congo,84.8,48.7,27.6
Yue Chinese,yue_Hant,Sino-Tibetan,85.3,58.3,17.0
Chinese (Simplified),zho_Hans,Sino-Tibetan,88.2,57.2,32.8
Chinese (Traditional),zho_Hant,Sino-Tibetan,87.3,56.1,27.9
Standard Malay,zsm_Latn,Austronesian,88.7,69.1,65.4
Zulu,zul_Latn,Atlantic-Congo,87.7,62.9,52.3
