language_name,language_code,language_family,SIB GPT-3.5-Turbo,Flores xx-eng GPT-3.5-Turbo,Flores eng-xx GPT-3.5-Turbo
Lao,lao_Laoo,Tai-Kadai,41.7,25.8,18.5
Ligurian,lij_Latn,Indo-European,74.0,57.0,32.8
Limburgish,lim_Latn,Indo-European,78.9,62.9,40.2
Lingala,lin_Latn,Atlantic-Congo,61.3,30.7,14.8
Lithuanian,lit_Latn,Indo-European,85.8,56.9,51.5
Lombard,lmo_Latn,Indo-European,73.5,55.9,29.9
Latgalian,ltg_Latn,Indo-European,77.5,40.0,29.2
Luxembourgish,ltz_Latn,Indo-European,78.4,63.3,48.7
Luba-Kasai,lua_Latn,Atlantic-Congo,42.6,28.3,8.1
Ganda,lug_Latn,Atlantic-Congo,52.0,29.6,11.6
Luo,luo_Latn,Nilotic,41.7,24.3,7.0
Mizo,lus_Latn,Sino-Tibetan,62.7,31.1,17.6
Standard Latvian,lvs_Latn,Indo-European,83.3,58.2,55.1
Magahi,mag_Deva,Indo-European,73.5,51.3,39.1
Maithili,mai_Deva,Indo-European,77.0,45.3,28.9
Malayalam,mal_Mlym,Dravidian,77.0,45.0,32.3
Marathi,mar_Deva,Indo-European,77.0,47.5,34.3
Minangkabau (Arabic script),min_Arab,Austronesian,32.4,19.9,1.3
Minangkabau (Latin script),min_Latn,Austronesian,71.1,45.5,37.0
Macedonian,mkd_Cyrl,Indo-European,82.8,62.7,57.0
Maltese,mlt_Latn,Afro-Asiatic,83.3,63.7,49.4
Meitei (Bengali script),mni_Beng,Sino-Tibetan,45.6,21.6,11.4
Mossi,mos_Latn,Atlantic-Congo,35.3,22.9,3.9
Maori,mri_Latn,Austronesian,69.6,41.7,34.8
Burmese,mya_Mymr,Sino-Tibetan,35.3,19.6,19.8
Dutch,nld_Latn,Indo-European,85.8,57.2,56.5
Norwegian Nynorsk,nno_Latn,Indo-European,84.3,66.8,58.7
Norwegian Bokmål,nob_Latn,Indo-European,82.8,66.0,60.5
Nepali,npi_Deva,Indo-European,77.5,51.4,39.5
N'ko,nqo_Nkoo,Atlantic-Congo,13.2,,
Northern Sotho,nso_Latn,Atlantic-Congo,54.9,34.2,16.7
Nuer,nus_Latn,Nilotic,26.0,20.0,3.0
Nyanja,nya_Latn,Atlantic-Congo,66.2,36.4,20.6
Occitan,oci_Latn,Indo-European,83.3,70.0,55.1
Odia,ory_Orya,Indo-European,75.0,42.1,27.5
Pangasinan,pag_Latn,Austronesian,70.1,42.8,22.6
Eastern Panjabi,pan_Guru,Indo-European,69.6,51.2,37.4
Papiamento,pap_Latn,Indo-European,78.9,66.2,51.6
Southern Pashto,pbt_Arab,Indo-European,67.2,33.2,19.7
Western Persian,pes_Arab,Indo-European,83.3,56.7,48.6
Plateau Malagasy,plt_Latn,Austronesian,52.5,38.6,31.4
Polish,pol_Latn,Indo-European,81.9,55.0,49.7
Portuguese,por_Latn,Indo-European,84.3,69.7,71.4
Dari,prs_Arab,Indo-European,82.4,57.2,44.8
Ayacucho Quechua,quy_Latn,Quechuan,40.7,25.9,9.3
Romanian,ron_Latn,Indo-European,85.3,64.7,64.0
Rundi,run_Latn,Atlantic-Congo,58.3,31.0,16.6
Russian,rus_Cyrl,Indo-European,84.3,58.5,56.6
Sango,sag_Latn,Atlantic-Congo,40.7,24.1,4.6
Sanskrit,san_Deva,Indo-European,66.7,37.3,21.8
Santali,sat_Olck,Austroasiatic,9.3,16.7,0.2
Sicilian,scn_Latn,Indo-European,76.5,56.1,35.9
Shan,shn_Mymr,Tai-Kadai,34.8,23.8,7.6
Sinhala,sin_Sinh,Indo-European,42.6,22.0,19.5
Slovak,slk_Latn,Indo-European,84.8,62.2,56.8
Slovenian,slv_Latn,Indo-European,85.3,59.4,55.5
Samoan,smo_Latn,Austronesian,70.1,36.1,22.8
Shona,sna_Latn,Atlantic-Congo,63.2,33.4,15.3
Sindhi,snd_Arab,Indo-European,70.6,36.9,22.5
Somali,som_Latn,Afro-Asiatic,68.1,37.4,29.4
Southern Sotho,sot_Latn,Atlantic-Congo,57.8,33.3,20.7
Spanish,spa_Latn,Indo-European,84.3,55.5,56.5
Sardinian,srd_Latn,Indo-European,75.0,56.9,42.1
Serbian,srp_Cyrl,Indo-European,86.3,64.7,56.5
Swati,ssw_Latn,Atlantic-Congo,49.0,32.1,10.6
Sundanese,sun_Latn,Austronesian,76.5,49.7,39.0
Swedish,swe_Latn,Indo-European,83.3,69.1,68.5
Swahili,swh_Latn,Atlantic-Congo,84.8,63.5,60.1
Silesian,szl_Latn,Indo-European,73.5,58.4,35.5
Tamil,tam_Taml,Dravidian,72.5,38.3,33.8
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,46.6,24.6,8.2
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,14.7,17.6,5.2
Tatar,tat_Cyrl,Turkic,75.0,36.8,21.5
Telugu,tel_Telu,Dravidian,77.0,45.5,34.4
Tajik,tgk_Cyrl,Indo-European,72.1,40.5,29.3
Tagalog,tgl_Latn,Austronesian,82.4,63.6,60.8
Thai,tha_Thai,Tai-Kadai,82.4,48.4,43.1
Tigrinya,tir_Ethi,Afro-Asiatic,26.5,18.4,5.8
Tok Pisin,tpi_Latn,Indo-European,78.9,43.6,37.1
Tswana,tsn_Latn,Atlantic-Congo,48.5,30.9,17.0
Tsonga,tso_Latn,Atlantic-Congo,55.9,32.0,15.0
Turkmen,tuk_Latn,Turkic,70.6,40.8,25.2
Tumbuka,tum_Latn,Atlantic-Congo,58.3,27.6,16.5
Turkish,tur_Latn,Turkic,81.4,60.4,57.9
Twi,twi_Latn,Atlantic-Congo,53.9,30.0,13.4
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,11.8,17.8,8.3
Uyghur,uig_Arab,Turkic,56.4,30.4,20.5
Ukrainian,ukr_Cyrl,Indo-European,84.3,61.7,55.0
Umbundu,umb_Latn,Atlantic-Congo,42.6,23.1,5.3
Urdu,urd_Arab,Indo-European,80.9,51.4,41.7
Northern Uzbek,uzn_Latn,Turkic,73.0,45.7,39.9
Venetian,vec_Latn,Indo-European,80.4,62.8,41.0
Vietnamese,vie_Latn,Austroasiatic,80.9,57.3,58.5
Waray,war_Latn,Austronesian,78.9,58.9,49.3
Wolof,wol_Latn,Atlantic-Congo,56.9,26.4,10.6
Xhosa,xho_Latn,Atlantic-Congo,67.6,40.0,21.9
Eastern Yiddish,ydd_Hebr,Indo-European,63.2,45.2,31.0
Yoruba,yor_Latn,Atlantic-Congo,51.0,29.7,11.4
Yue Chinese,yue_Hant,Sino-Tibetan,81.9,54.3,22.3
Chinese (Simplified),zho_Hans,Sino-Tibetan,82.4,53.5,31.0
Chinese (Traditional),zho_Hant,Sino-Tibetan,86.3,52.5,24.8
Standard Malay,zsm_Latn,Austronesian,81.4,64.5,64.5
Zulu,zul_Latn,Atlantic-Congo,67.6,40.7,25.2
