language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-3.5-turbo-1106 (Apr 2025),SIB gpt-4o (Apr 2025),SIB Gemini-2-Flash (Apr 2025),SIB Gemma-3-27B,SIB XLMR,Flores xx-eng gpt-3.5-turbo-1106,Flores eng-xx gpt-3.5-turbo-1106,Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025),Flores xx-eng Gemini-2-Flash (Apr 2025),Flores eng-xx Gemini-2-Flash (Apr 2025),Flores xx-eng Gemma3-27B,Flores eng-xx Gemma3-27B,region,Flores xx-eng NLLB3.3,Flores eng-xx NLLB3.3
Najdi Arabic,ars_Arab,Afro-Asiatic,67,75.9,85.8,88.7,89.2,88.7,88.7,59.3,52.4,63.1,47.5,64.3,43.7,61.4,36.8,Asia 1,62.8,52.2
Moroccan Arabic,ary_Arab,Afro-Asiatic,47.3,73.3,84.8,88.2,88.2,84.3,82.8,49.9,36.3,56.3,37.7,56.6,36.1,52.7,23.5,Africa,55.4,35.8
Egyptian Arabic,arz_Arab,Afro-Asiatic,58,81.1,80.4,85.8,88.2,85.8,83.3,53.5,42.3,57.2,45.9,57.9,44.3,55,42.9,Africa,58.4,45.3
Assamese,asm_Beng,Indo-European,51.8,49.2,71.6,87.3,87.3,84.8,33.3,38.8,23.2,55.1,34.3,58.4,30.9,52.8,28.5,Asia 2,56.9,36.3
Asturian,ast_Latn,Indo-European,58.5,70.6,86.8,87.3,90.2,85.3,85.3,63.4,53.8,65.2,54.9,66.6,58,64.2,55.3,Europe 1,65.2,46.6
Awadhi,awa_Deva,Indo-European,59.7,70.6,76.5,84.3,87.7,83.8,84.8,49.6,35.4,60.1,33.1,62.3,24.9,57.2,26.8,Asia 2,64.2,41.4
Central Aymara,ayr_Latn,Aymaran,15.9,6.6,36.3,64.7,70.6,45.1,25,23.2,4.7,30.4,23.8,35.3,24.3,22.1,16.7,Americas,33.9,27.6
South Azerbaijani,azb_Arab,Turkic,32.9,40.6,69.6,84.3,85.8,81.9,72.5,34.1,17.9,46.5,5.4,50.5,23.7,43.7,14.8,Asia 1,42.4,22.4
North Azerbaijani,azj_Latn,Turkic,57.2,64.8,79.4,88.7,86.8,81.9,81.9,46.2,38.4,50.6,44.6,52.3,46.3,49.7,42.7,Asia 1,51.8,45.3
Bashkir,bak_Cyrl,Turkic,45,55.6,67.2,86.8,86.3,84.3,46.1,33.6,20.1,56.3,46.4,58.2,50.9,52.9,39.7,Europe 2,57.1,49.2
Bambara,bam_Latn,Mande,23.6,17.2,42.2,58.3,68.1,47.5,25,23.9,6.1,27.2,19.1,37.6,19.3,21.7,16.7,Africa,38.9,30.6
Balinese,ban_Latn,Austronesian,51.7,47.4,73.5,85.3,86.8,79.4,54.9,45.5,30.7,54.8,35.8,61.4,42.3,50.4,33.7,Asia 3,58.7,43.1
Belarusian,bel_Cyrl,Indo-European,54.3,74.2,77.9,90.7,88.2,86.3,82.4,45.6,38.3,49.1,45.2,50.2,46.9,48.8,44.2,Europe 2,50.1,43.6
Bemba,bem_Latn,Atlantic-Congo,21.8,25.6,49.5,77,80.9,60.3,27.5,28.8,10.3,38.8,28.6,48.7,36.4,28.5,23.2,Africa,50.5,37.5
Bengali,ben_Beng,Indo-European,59.6,74.4,77.9,86.3,89.7,86.3,80.4,50.2,38.5,60.2,46.5,61.7,47,58.6,44,Asia 2,61.9,48.1
Bhojpuri,bho_Deva,Indo-European,49.4,67.4,73,84.8,85.8,82.4,80.9,43.4,29.7,53.5,33,56.1,37.8,51.6,33.5,Asia 2,56.9,41.8
Banjar (Arabic script),bjn_Arab,Austronesian,12.1,20.5,42.2,74.5,82.4,62.7,32.8,20.7,10.4,42.7,13.6,47.2,12.2,29.9,5.1,Asia 3,34.7,16
Banjar (Latin script),bjn_Latn,Austronesian,34.2,44.1,73.5,85.8,84.3,83.3,76,47.1,35.9,56.9,38,62.3,48.1,53.9,38.6,Asia 3,61,47.9
Standard Tibetan,bod_Tibt,Sino-Tibetan,5.8,13.6,18.6,75,85.8,73,25,16.9,12.7,30.9,18.2,45.1,32.3,28.8,22.5,Asia 3,36.4,26.6
Bosnian,bos_Latn,Indo-European,65.7,76.6,83.3,87.7,89.7,86.8,87.7,64.8,59.9,66.7,61.8,67.8,61.2,65.7,57.9,Europe 1,66.7,58.8
Buginese,bug_Latn,Austronesian,26.9,15.2,61.3,75,78.4,60.8,25,30.8,23.3,36.5,23.8,43.4,10.1,31.3,19.7,Asia 3,45,32.4
Bulgarian,bul_Cyrl,Indo-European,66.5,79.4,81.9,88.7,88.2,85.3,87.7,63.3,61.6,66.3,65.6,67.7,65.7,66,62.9,Europe 2,66.4,65
Catalan,cat_Latn,Indo-European,55.4,77.7,87.3,89.2,88.7,85.3,87.7,67,65.4,69,67,69.7,66.8,68.2,64.5,Europe 1,69.2,65
Cebuano,ceb_Latn,Austronesian,62.3,73.4,77.5,89.7,86.8,86.3,44.1,59.1,51,66.7,58.1,69.7,60.4,65.1,54.1,Asia 3,66.9,56.9
Czech,ces_Latn,Indo-European,62.4,70.9,83.8,88.2,88.2,84.3,87.7,63.2,57.6,65.2,59.4,65.7,59.1,63.9,56.5,Europe 2,64,56.8
Chokwe,cjk_Latn,Atlantic-Congo,14.3,8.2,33.8,52.5,51.5,45.1,25,24.4,4.4,25.7,19.4,26.8,20.1,20.1,14.9,Africa,31.5,22.5
Central Kurdish,ckb_Arab,Indo-European,45.6,45.6,65.7,84.8,87.3,83.8,25,30.7,19.7,51.3,28.8,60.5,42.9,54.2,33.8,Asia 1,59.2,44.2
Crimean Tatar,crh_Latn,Turkic,34.5,50.2,61.8,82.4,81.4,79.4,75,45.9,27.8,54.5,32.3,57.7,30.2,52.1,30.8,Europe 2,58.2,45.1
Welsh,cym_Latn,Indo-European,59.4,70.7,76.5,87.7,87.3,83.3,54.9,68.7,64.7,76.5,70,77.2,72.3,71.3,54.2,Europe 1,73.5,65.1
Danish,dan_Latn,Indo-European,69.6,76.3,84.8,86.8,89.7,86.8,90.2,69.5,69.7,70.3,70.6,71.1,58.4,69.8,67.3,Europe 1,69.8,66.8
German,deu_Latn,Indo-European,70.7,78.6,83.3,88.7,89.7,86.8,89.2,66.1,65.4,67.5,66,67.9,66,66.6,63.6,Europe 1,67.1,63.3
Southwestern Dinka,dik_Latn,Nilotic,24,14.9,34.3,45.1,51.5,44.1,27,24.6,4.6,25.8,16,27.9,16.8,22.8,15.8,Africa,31.9,18.1
Dyula,dyu_Latn,Mande,12.3,9.3,46.1,56.4,62.3,47.1,25,22.1,4.5,24.9,16.5,28.7,13.1,21,12.8,Africa,27.7,17.5
Dzongkha,dzo_Tibt,Sino-Tibetan,0,1.2,15.7,72.5,84.8,66.2,25,16.6,7.7,26.8,17.8,39.5,29.8,22.6,19.3,Asia 2,41.4,31.7
Greek,ell_Grek,Indo-European,65,78.3,82.8,89.2,88.7,85.8,85.3,57.6,51.6,60.3,54.7,61.8,55,59.8,52.7,Europe 1,61.2,53.1
English,eng_Latn,Indo-European,71.8,76.6,83.8,88.2,85.8,87.7,89.2,,,,,,,,,Europe 1,,
Esperanto,epo_Latn,Constructed,58.7,70.3,83.3,88.2,88.2,86.3,83.3,64.4,58.5,67.7,60.8,68.2,62.1,66.3,59.2,Europe 2,67.7,60.4
Estonian,est_Latn,Uralic,61.9,74.4,84.3,87.3,86.3,86.8,82.4,61.5,56.8,63.7,58.3,64.5,58.9,62.4,54.9,Europe 1,62.5,54.9
Basque,eus_Latn,Basque,55.3,53.1,77.5,88.7,87.3,83.8,79.9,50.2,44.2,58.4,52,59.2,54.5,56.3,48.7,Europe 1,57.6,49.2
Ewe,ewe_Latn,Atlantic-Congo,20.4,12.2,39.7,53.4,79.4,46.6,33.8,23.3,6,27.1,20.7,42.2,2.8,23.4,18.8,Africa,41,36.1
Faroese,fao_Latn,Indo-European,49.5,54.2,80.9,87.3,90.2,83.8,75,54.8,40.5,62.6,49.5,63.6,51.9,57.9,40.5,Europe 1,56.2,47.1
Fijian,fij_Latn,Austronesian,40.1,39.1,54.4,82.8,82.8,52.9,31.4,31.7,22.9,42.5,41.7,46.1,39.2,28.5,22.6,Oceania,44.5,45.9
Finnish,fin_Latn,Uralic,65,74.9,85.3,87.7,90.2,87.3,85.8,58.8,56.2,60.7,58.4,61.7,58.8,60.1,55.5,Europe 1,60.1,54.3
Fon,fon_Latn,Atlantic-Congo,13.8,10.8,30.4,45.6,68.1,36.8,25,21.5,3.9,21.7,13.7,33,5.8,18.5,9.7,Africa,32,18.1
French,fra_Latn,Indo-European,73.2,77.5,86.3,86.8,87.3,87.3,86.8,66.2,71.1,67.7,71.5,68,70.9,66.5,68.9,Europe 1,67.7,70.7
Friulian,fur_Latn,Indo-European,41.8,40.2,77.9,87.3,87.3,80.9,70.6,57.5,40.6,62.9,44.4,65.7,31.8,57.1,42.1,Europe 1,65,57
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,15.5,13.4,41.7,65.7,70.6,49.5,26,23.7,8.5,27.7,17.6,32.9,13.6,22.1,15.3,Africa,32.2,21
West Central Oromo,gaz_Latn,Afro-Asiatic,27.2,18.4,40.2,85.8,80.4,52.9,25,22,8,46.9,32.1,50.7,37.2,33.5,17.5,Africa,48.5,35
Scottish Gaelic,gla_Latn,Indo-European,49.7,61.5,70.1,88.7,89.2,81.4,42.6,47.5,38.9,60,50.1,61.1,50.8,52.2,39.3,Europe 1,55.5,48
Irish,gle_Latn,Indo-European,52.3,71.4,75,87.7,90.2,87.7,47.1,55.4,47.1,64.8,57,66.5,58.7,59.8,44.1,Europe 1,63.7,54.4
Galician,glg_Latn,Indo-European,59.5,76.5,86.3,89.2,86.8,82.4,87.3,63.4,61.3,65.1,62.7,66.1,63.3,64.1,60.5,Europe 1,66.3,61.4
Guarani,grn_Latn,Tupian,32.3,28.2,62.7,80.9,83.8,71.1,25,30.6,6.3,46,28.1,50.3,32.5,34.1,18.3,Americas,48.5,37.5
Gujarati,guj_Gujr,Indo-European,65,69.2,75.5,85.8,89.2,82.4,81.4,49.5,37.4,63.5,39.3,66.6,51.7,62.4,49,Asia 2,66.6,51.9
Haitian Creole,hat_Latn,Indo-European,52.2,67.2,78.4,87.3,85.8,83.8,25,55.7,47,64,53.4,65.1,53.1,61.1,49.5,Americas,62.7,50.7
Hausa,hau_Latn,Afro-Asiatic,38.2,45.1,60.3,82.8,85.3,80.4,27.5,34.6,22.2,56,49,59,50.2,52,43.9,Africa,56.9,52
Hebrew,heb_Hebr,Afro-Asiatic,60.5,73.3,80.4,88.2,89.2,86.8,82.8,60.4,51.2,67.2,59,67.9,60.9,65.9,57,Asia 1,66.4,56.2
Hindi,hin_Deva,Indo-European,63.1,79.3,80.9,85.8,87.7,86.8,82.8,57.5,48.7,64.7,53.4,66.1,55.5,63.7,53,Asia 2,66.3,56.6
Chhattisgarhi,hne_Deva,Indo-European,52.7,63.6,76,89.2,86.8,84.8,76,48.4,34,63.5,34.5,68,26.1,59.6,29.4,Asia 2,70.7,51.7
Croatian,hrv_Latn,Indo-European,66.6,77.7,86.8,87.7,89.2,87.7,88.7,61.5,57,63.6,59.2,64.5,59.2,62.7,56.3,Europe 2,63,55.8
Hungarian,hun_Latn,Uralic,60.3,75,85.3,89.2,87.7,84.8,88.2,59.3,54.6,61.5,57,63,56.4,60.5,53.2,Europe 2,61.2,54.2
Armenian,hye_Armn,Indo-European,40.1,70,66.2,88.2,85.3,84.8,84.8,40.5,33.2,64,53.2,65.3,56,61,49.6,Asia 1,62.5,50.5
Igbo,ibo_Latn,Atlantic-Congo,31.3,38.4,54.9,86.3,82.8,81.4,23,27.8,14.7,51.1,38.4,55.2,42.5,45.4,35.2,Africa,53.3,40.9
Ilocano,ilo_Latn,Austronesian,59.6,58.9,73,84.3,87.3,80.9,58.8,44.6,33.6,55.3,42.9,63.3,53.6,51.7,39.5,Asia 3,61.2,53.1
Indonesian,ind_Latn,Austronesian,67.3,75.1,82.4,88.2,89.2,87.3,88.7,65.4,68.5,68,69.7,68.6,69,66.2,66.7,Asia 3,68,69.3
Icelandic,isl_Latn,Indo-European,62.5,72.1,78.4,86.3,91.7,86.3,82.8,55.6,44.8,60.8,53.5,61.7,53.5,58.3,46.1,Europe 1,57.4,48.8
Italian,ita_Latn,Indo-European,62.8,81,84.3,91.7,87.3,87.7,25,58,59.4,58.6,60.1,59.9,60.7,58.5,59.4,Europe 1,60,59.2
Javanese,jav_Latn,Austronesian,43,50.3,75.5,85.8,86.3,83.8,62.7,51.3,41.2,63.7,53.3,65,51.8,59.4,44.3,Asia 3,63.8,55.3
Japanese,jpn_Jpan,Japonic,63.4,75.8,83.3,88.7,89.2,84.3,89.2,52.5,33.1,54.6,35.5,56,34.3,53.5,31.9,Asia 4,55.2,24.7
Kabyle,kab_Latn,Afro-Asiatic,15.2,8,20.1,49,77,31.9,22.5,22.2,11.9,29,20.7,47.6,21.9,24.8,17.3,Africa,45.2,30.6
Jingpho,kac_Latn,Sino-Tibetan,10,7.8,34.3,49.5,75.5,42.6,22.5,22.7,2.9,23.7,24.3,37.3,35.4,20.1,21,Asia 3,38.7,39.1
Kamba,kam_Latn,Atlantic-Congo,19.7,18.7,45.1,73,72.1,49.5,25,26.8,8.9,34.3,23.6,38.2,23.9,24.4,16.3,Africa,36.2,20.7
Kannada,kan_Knda,Dravidian,60.1,69.1,76.5,87.3,87.3,85.3,84.3,47,37.9,57.5,41,60.8,51.9,56.7,45.5,Asia 2,61.1,52.4
Kashmiri (Arabic script),kas_Arab,Indo-European,33,46,66.2,81.9,85.8,78.9,25,32.7,15.5,46.9,18.5,55.9,17.9,35.9,13.1,Asia 2,57.9,31.8
Kashmiri (Devanagari script),kas_Deva,Indo-European,22.9,21.7,59.8,77.5,83.3,69.1,25,30.9,12.9,42.6,13.9,48.2,12.5,28.2,11.9,Asia 2,45.2,18
Georgian,kat_Geor,Kartvelian,44.7,66.1,66.7,86.3,88.2,86.8,81.4,39.1,32.5,56.1,48.4,57.2,52.5,54.2,46.5,Asia 1,55.8,47.5
Kazakh,kaz_Cyrl,Turkic,63.7,71.2,72.5,87.3,87.7,86.3,83.3,42.6,33.9,60.6,52,61.6,53.7,57.7,48,Asia 1,59.1,50.3
Kabiyè,kbp_Latn,Atlantic-Congo,23.7,9.3,33.8,47.5,76.5,41.7,31.4,21.4,4,22.4,14,33.8,17.9,21,9.7,Africa,36.5,28
Kabuverdianu,kea_Latn,Indo-European,47.5,48.8,78.4,85.8,86.8,83.3,25,62.9,37.6,69.7,46.9,72.2,51.8,62.1,32.7,Africa,66.9,46.9
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,57.7,67.6,66.2,83.8,84.8,80.9,76.5,33.8,26.1,57.3,46.7,58.5,47.1,53.1,39.6,Asia 4,52.7,40.4
Khmer,khm_Khmr,Austroasiatic,39.2,70.4,59.3,87.7,88.7,82.8,84.3,30.6,21.5,55.2,29.2,59.7,40,53.8,33.2,Asia 3,56.3,36.5
Kikuyu,kik_Latn,Atlantic-Congo,28.5,28.6,49,77,77.5,57.8,25,26.6,8.8,38.6,24.9,47.3,32.1,26.9,20,Africa,42.2,37.2
Kinyarwanda,kin_Latn,Atlantic-Congo,47.1,50.5,65.2,87.3,87.3,82.4,25,36.8,18.7,54.6,46.1,56.6,47.5,49.4,35.6,Africa,55.4,46.8
Kyrgyz,kir_Cyrl,Turkic,49.8,57,68.1,87.7,87.7,86.8,80.9,34.6,25.8,52.4,45.1,53.9,46.3,50.5,41,Asia 1,51.1,44
Kimbundu,kmb_Latn,Atlantic-Congo,13,11.2,37.7,55.9,65.2,43.1,25,24.3,4.9,25.4,20.4,33.9,23.8,22.3,18.3,Africa,35.7,24.4
Northern Kurdish,kmr_Latn,Indo-European,42.5,46.8,60.8,80.4,88.7,81.9,25,40.9,25.3,48.6,29.1,57.4,39,50.6,17.9,Asia 1,50.6,36.6
Central Kanuri (Arabic script),knc_Arab,Nilotic,2.2,1.8,20.6,34.3,27.5,26,34.3,18.1,5.3,20.5,6.8,19.3,8.9,13.3,4.1,Africa,17,9.1
Central Kanuri (Latin script),knc_Latn,Nilotic,16.8,12,38.2,52.5,48,48,27.9,24.5,13.4,25.8,19.1,23.8,17,22.6,14.4,Africa,33.9,22.5
Kikongo,kon_Latn,Atlantic-Congo,18.4,23.5,57.4,76.5,82.8,60.8,25,26.3,8.5,39.4,29.2,46,26.6,26.3,17.6,Africa,45.4,42.1
Korean,kor_Hang,Koreanic,67.8,78.2,82.8,84.3,85.3,85.3,86.3,53.7,34.4,57.5,37.4,58.3,37.8,56.2,35.2,Asia 4,56.2,33.4
Lao,lao_Laoo,Tai-Kadai,26.3,44,41.7,87.3,89.2,84.8,87.7,25.8,18.5,57.4,35.8,63.4,47.2,57.8,40.7,Asia 3,60.7,44.4
Ligurian,lij_Latn,Indo-European,29.2,43.2,74,82.8,86.3,84.3,55.9,57,32.8,63.6,35.1,67.5,43.8,59.5,34.7,Europe 1,67,47.4
Limburgish,lim_Latn,Indo-European,43.1,48.4,78.9,85.3,86.8,79.9,25,62.9,40.2,64.7,37.8,67.3,42.2,62.2,37.5,Europe 1,63.5,43.9
Lingala,lin_Latn,Atlantic-Congo,29.1,26,61.3,84.8,84.3,60.8,36.8,30.7,14.8,45.6,42.3,50,42.3,30.6,24.8,Africa,51.9,45.6
Lithuanian,lit_Latn,Indo-European,59.2,75.3,85.8,86.8,86.8,86.3,88.7,56.9,51.5,60.2,56.4,61.5,57,59.1,53.2,Europe 1,58.6,52.1
Lombard,lmo_Latn,Indo-European,36.2,43,73.5,84.8,87.3,83.8,54.4,55.9,29.9,62,32.1,64.4,32.1,59,31.2,Europe 1,60.6,32.9
Latgalian,ltg_Latn,Indo-European,29.4,38,77.5,85.8,90.2,82.4,66.2,40,29.2,58.7,29.6,65.1,40.8,47.3,28.3,Europe 2,59.9,46.8
Luxembourgish,ltz_Latn,Indo-European,62.4,63.8,78.4,87.7,88.7,85.8,59.8,63.3,48.7,69.7,56.5,70.8,58.4,67.2,47.9,Europe 1,69,54.9
Luba-Kasai,lua_Latn,Atlantic-Congo,25.6,17.9,42.6,59.3,65.7,51,33.3,28.3,8.1,31.3,22.2,42.2,32.6,25.6,18.6,Africa,42.8,32.1
Ganda,lug_Latn,Atlantic-Congo,36.8,29.6,52,78.9,79.9,66.2,25,29.6,11.6,47.4,32.7,50.4,35.6,35.4,21.6,Africa,47.3,36
Luo,luo_Latn,Nilotic,19.7,14.4,41.7,75,74,51.5,35.3,24.3,7,35.1,30.3,39.9,35,21.3,21.1,Africa,46.6,38.5
Mizo,lus_Latn,Sino-Tibetan,48.7,35.9,62.7,77.5,86.8,74,39.7,31.1,17.6,35.9,29.5,44.5,35.9,33.2,30.6,Asia 2,41.4,37.2
Standard Latvian,lvs_Latn,Indo-European,63.8,75.2,83.3,89.2,89.2,85.8,85.3,58.2,55.1,61.7,60.2,62.8,60.6,60.5,56.1,Europe 1,59.9,50.6
Magahi,mag_Deva,Indo-European,54.2,67.1,73.5,85.8,86.3,84.8,82.4,51.3,39.1,64.7,40,67.5,32.8,61.9,37.3,Asia 2,70.3,54.9
Maithili,mai_Deva,Indo-European,49.5,66.7,77,86.3,87.7,85.3,83.8,45.3,28.9,63.1,40.3,66.7,47.1,59.9,34.7,Asia 2,67,44.6
Malayalam,mal_Mlym,Dravidian,59.7,71.5,77,85.3,87.7,84.8,84.3,45,32.3,60.4,39.8,62,40.7,58.8,43.2,Asia 2,63.3,49.1
Marathi,mar_Deva,Indo-European,57.8,72.8,77,86.3,86.8,86.3,71.6,47.5,34.3,61.9,45.6,62.9,45.9,59.9,44.4,Asia 2,62.6,46.9
Minangkabau (Arabic script),min_Arab,Austronesian,8.1,11.2,32.4,77,77,46.1,25,19.9,1.3,41.8,15.6,44.5,13.1,26.6,1.5,Asia 3,2.4,0.4
Minangkabau (Latin script),min_Latn,Austronesian,40.2,36.7,71.1,84.3,85.8,83.8,73.5,45.5,37,57.4,41.9,63.4,52.2,54.7,43.6,Asia 3,60.4,49.1
Macedonian,mkd_Cyrl,Indo-European,62.2,76.9,82.8,88.2,89.7,85.8,84.3,62.7,57,66.3,62.3,67.6,63.5,65.1,58.2,Europe 2,66.5,60.3
Maltese,mlt_Latn,Afro-Asiatic,63.5,73.1,83.3,89.2,88.2,86.3,31.9,63.7,49.4,74.4,66.4,76,69.2,72.6,61.2,Europe 1,75,62.1
Meitei (Bengali script),mni_Beng,Sino-Tibetan,4,6.9,45.6,71.1,81.9,61.3,28.9,21.6,11.4,30.9,11.3,48.9,22.3,23.1,6.9,Asia 2,51.1,36.7
Mossi,mos_Latn,Atlantic-Congo,14.3,7.5,35.3,44.1,48.5,41.2,25,22.9,3.9,23.6,16.6,26.2,16.1,20.5,13.8,Africa,32.2,21.4
Maori,mri_Latn,Austronesian,45.8,60,69.6,84.3,87.7,68.6,29.9,41.7,34.8,53.3,47.9,54.3,47.3,43.6,38.3,Oceania,50.5,45.9
Burmese,mya_Mymr,Sino-Tibetan,19,62.2,35.3,88.2,84.3,85.3,79.4,19.6,19.8,51.8,32.6,56.4,39.4,49.7,30,Asia 3,54.2,33.8
Dutch,nld_Latn,Indo-European,68.9,79.2,85.8,88.7,85.8,85.8,89.2,57.2,56.5,57.8,57,58.9,57,57.8,55.4,Europe 1,59.3,55.8
Norwegian Nynorsk,nno_Latn,Indo-European,62.9,75.5,84.3,88.7,88.2,86.8,84.3,66.8,58.7,68.2,61.5,68.5,60.1,67.1,57.6,Europe 1,65,53.8
Norwegian Bokmål,nob_Latn,Indo-European,64.6,78.1,82.8,87.3,86.3,86.8,85.3,66,60.5,67.3,60.9,67.6,60.1,66.3,59.2,Europe 1,65.2,59.6
Nepali,npi_Deva,Indo-European,62.6,68.2,77.5,88.2,87.3,85.3,84.3,51.4,39.5,65.1,47.7,66.4,51.1,62.6,45.7,Asia 2,66.3,48.3
N'ko,nqo_Nkoo,Atlantic-Congo,4.6,3.6,13.2,20.1,63.2,19.1,25,,,,,,,,,Africa,,
Northern Sotho,nso_Latn,Atlantic-Congo,35.6,42.7,54.9,86.3,85.8,70.1,28.9,34.2,16.7,59.2,47.9,62.8,50.4,47.1,30.6,Africa,61.8,47.9
Nuer,nus_Latn,Nilotic,18,7.2,26,44.6,38.2,34.3,25,20,3,21.4,14,20.5,7.5,19.5,12.2,Africa,38,26.4
Nyanja,nya_Latn,Atlantic-Congo,46.8,45.7,66.2,82.8,84.8,75,25,36.4,20.6,49.9,44,53.2,46.5,44,37.4,Africa,52.1,44.4
Occitan,oci_Latn,Indo-European,56.8,67.5,83.3,87.3,88.7,83.8,82.4,70,55.1,74.1,62.7,74.8,65.2,70.9,54.2,Europe 1,74.6,62.8
Odia,ory_Orya,Indo-European,56.2,67.1,75,87.7,88.2,84.3,40.2,42.1,27.5,58.3,36.4,63,47.9,56.6,33,Asia 2,63.7,45.7
Pangasinan,pag_Latn,Austronesian,54.6,44.8,70.1,79.4,85.3,77.9,61.3,42.8,22.6,47,28.5,56.3,41.3,46.2,29.3,Asia 3,54,41.6
Eastern Panjabi,pan_Guru,Indo-European,67.6,70.9,69.6,88.7,89.7,86.3,78.4,51.2,37.4,61.8,42.6,64.8,45.3,61,33.9,Asia 2,65.1,49.5
Papiamento,pap_Latn,Indo-European,56.3,61.7,78.9,86.8,88.2,80.9,74,66.2,51.6,69.1,51.1,73.1,61.3,65.4,46.9,Americas,70.4,56.7
Southern Pashto,pbt_Arab,Indo-European,52.3,55.3,67.2,86.3,86.3,81.4,72.1,33.2,19.7,57.9,35.1,59.5,35.9,53.8,23,Asia 1,58.7,37.5
Western Persian,pes_Arab,Indo-European,64.3,76.4,83.3,86.8,85.3,86.3,88.2,56.7,48.6,61.8,52.3,63,52.7,60.7,50,Asia 1,62.3,49.3
Plateau Malagasy,plt_Latn,Austronesian,42.8,46.1,52.5,80.9,81.4,80.4,25,38.6,31.4,54.5,49,56.9,43.7,50.5,42,Africa,57.2,50.5
Polish,pol_Latn,Indo-European,66.8,77.4,81.9,86.3,87.7,83.8,85.8,55,49.7,56.8,51.6,58.1,51.6,56.3,50.2,Europe 2,57.1,49.4
Portuguese,por_Latn,Indo-European,61.7,77.8,84.3,85.3,87.3,85.3,89.7,69.7,71.4,71.1,71.7,71.8,70.5,69.9,68.5,Europe 1,70.9,69.8
Dari,prs_Arab,Indo-European,59.5,72.7,82.4,85.8,89.2,87.7,83.3,57.2,44.8,63.2,46.3,64.5,48.1,61.2,43.7,Asia 1,62.9,51.2
