language_name,language_code,language_family,SIB gpt-4o (Apr 2025),Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
Hebrew,heb_Hebr,Afro-Asiatic,88.2,67.2,59.0
Hindi,hin_Deva,Indo-European,85.8,64.7,53.4
Chhattisgarhi,hne_Deva,Indo-European,89.2,63.5,34.5
Croatian,hrv_Latn,Indo-European,87.7,63.6,59.2
Hungarian,hun_Latn,Uralic,89.2,61.5,57.0
Armenian,hye_Armn,Indo-European,88.2,64.0,53.2
Igbo,ibo_Latn,Atlantic-Congo,86.3,51.1,38.4
Ilocano,ilo_Latn,Austronesian,84.3,55.3,42.9
Indonesian,ind_Latn,Austronesian,88.2,68.0,69.7
Icelandic,isl_Latn,Indo-European,86.3,60.8,53.5
Italian,ita_Latn,Indo-European,91.7,58.6,60.1
Javanese,jav_Latn,Austronesian,85.8,63.7,53.3
Japanese,jpn_Jpan,Japonic,88.7,54.6,35.5
Kabyle,kab_Latn,Afro-Asiatic,49.0,29.0,20.7
Jingpho,kac_Latn,Sino-Tibetan,49.5,23.7,24.3
Kamba,kam_Latn,Atlantic-Congo,73.0,34.3,23.6
Kannada,kan_Knda,Dravidian,87.3,57.5,41.0
Kashmiri (Arabic script),kas_Arab,Indo-European,81.9,46.9,18.5
Kashmiri (Devanagari script),kas_Deva,Indo-European,77.5,42.6,13.9
Georgian,kat_Geor,Kartvelian,86.3,56.1,48.4
Kazakh,kaz_Cyrl,Turkic,87.3,60.6,52.0
Kabiyè,kbp_Latn,Atlantic-Congo,47.5,22.4,14.0
Kabuverdianu,kea_Latn,Indo-European,85.8,69.7,46.9
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,83.8,57.3,46.7
Khmer,khm_Khmr,Austroasiatic,87.7,55.2,29.2
Kikuyu,kik_Latn,Atlantic-Congo,77.0,38.6,24.9
Kinyarwanda,kin_Latn,Atlantic-Congo,87.3,54.6,46.1
Kyrgyz,kir_Cyrl,Turkic,87.7,52.4,45.1
Kimbundu,kmb_Latn,Atlantic-Congo,55.9,25.4,20.4
Northern Kurdish,kmr_Latn,Indo-European,80.4,48.6,29.1
Central Kanuri (Arabic script),knc_Arab,Nilotic,34.3,20.5,6.8
Central Kanuri (Latin script),knc_Latn,Nilotic,52.5,25.8,19.1
Kikongo,kon_Latn,Atlantic-Congo,76.5,39.4,29.2
Korean,kor_Hang,Koreanic,84.3,57.5,37.4
Lao,lao_Laoo,Tai-Kadai,87.3,57.4,35.8
Ligurian,lij_Latn,Indo-European,82.8,63.6,35.1
Limburgish,lim_Latn,Indo-European,85.3,64.7,37.8
Lingala,lin_Latn,Atlantic-Congo,84.8,45.6,42.3
Lithuanian,lit_Latn,Indo-European,86.8,60.2,56.4
Lombard,lmo_Latn,Indo-European,84.8,62.0,32.1
Latgalian,ltg_Latn,Indo-European,85.8,58.7,29.6
Luxembourgish,ltz_Latn,Indo-European,87.7,69.7,56.5
Luba-Kasai,lua_Latn,Atlantic-Congo,59.3,31.3,22.2
Ganda,lug_Latn,Atlantic-Congo,78.9,47.4,32.7
Luo,luo_Latn,Nilotic,75.0,35.1,30.3
Mizo,lus_Latn,Sino-Tibetan,77.5,35.9,29.5
Standard Latvian,lvs_Latn,Indo-European,89.2,61.7,60.2
Magahi,mag_Deva,Indo-European,85.8,64.7,40.0
Maithili,mai_Deva,Indo-European,86.3,63.1,40.3
Malayalam,mal_Mlym,Dravidian,85.3,60.4,39.8
Marathi,mar_Deva,Indo-European,86.3,61.9,45.6
Minangkabau (Arabic script),min_Arab,Austronesian,77.0,41.8,15.6
Minangkabau (Latin script),min_Latn,Austronesian,84.3,57.4,41.9
Macedonian,mkd_Cyrl,Indo-European,88.2,66.3,62.3
Maltese,mlt_Latn,Afro-Asiatic,89.2,74.4,66.4
Meitei (Bengali script),mni_Beng,Sino-Tibetan,71.1,30.9,11.3
Mossi,mos_Latn,Atlantic-Congo,44.1,23.6,16.6
Maori,mri_Latn,Austronesian,84.3,53.3,47.9
Burmese,mya_Mymr,Sino-Tibetan,88.2,51.8,32.6
Dutch,nld_Latn,Indo-European,88.7,57.8,57.0
Norwegian Nynorsk,nno_Latn,Indo-European,88.7,68.2,61.5
Norwegian Bokmål,nob_Latn,Indo-European,87.3,67.3,60.9
Nepali,npi_Deva,Indo-European,88.2,65.1,47.7
N'ko,nqo_Nkoo,Atlantic-Congo,20.1,,
Northern Sotho,nso_Latn,Atlantic-Congo,86.3,59.2,47.9
Nuer,nus_Latn,Nilotic,44.6,21.4,14.0
Nyanja,nya_Latn,Atlantic-Congo,82.8,49.9,44.0
Occitan,oci_Latn,Indo-European,87.3,74.1,62.7
Odia,ory_Orya,Indo-European,87.7,58.3,36.4
Pangasinan,pag_Latn,Austronesian,79.4,47.0,28.5
Eastern Panjabi,pan_Guru,Indo-European,88.7,61.8,42.6
Papiamento,pap_Latn,Indo-European,86.8,69.1,51.1
Southern Pashto,pbt_Arab,Indo-European,86.3,57.9,35.1
Western Persian,pes_Arab,Indo-European,86.8,61.8,52.3
Plateau Malagasy,plt_Latn,Austronesian,80.9,54.5,49.0
Polish,pol_Latn,Indo-European,86.3,56.8,51.6
Portuguese,por_Latn,Indo-European,85.3,71.1,71.7
Dari,prs_Arab,Indo-European,85.8,63.2,46.3
Ayacucho Quechua,quy_Latn,Quechuan,61.8,31.3,26.3
Romanian,ron_Latn,Indo-European,89.7,66.6,65.8
Rundi,run_Latn,Atlantic-Congo,81.4,45.6,37.1
Russian,rus_Cyrl,Indo-European,87.7,60.8,58.4
Sango,sag_Latn,Atlantic-Congo,58.3,24.9,21.6
Sanskrit,san_Deva,Indo-European,83.8,46.8,26.0
Santali,sat_Olck,Austroasiatic,19.6,17.7,1.1
Sicilian,scn_Latn,Indo-European,87.7,62.7,41.0
Shan,shn_Mymr,Tai-Kadai,42.2,22.9,15.5
Sinhala,sin_Sinh,Indo-European,85.8,57.5,31.3
Slovak,slk_Latn,Indo-European,86.8,64.6,60.1
Slovenian,slv_Latn,Indo-European,87.7,61.1,58.4
Samoan,smo_Latn,Austronesian,88.7,55.1,49.1
Shona,sna_Latn,Atlantic-Congo,83.3,49.0,43.1
Sindhi,snd_Arab,Indo-European,88.2,62.9,44.4
Somali,som_Latn,Afro-Asiatic,86.8,53.8,41.4
Southern Sotho,sot_Latn,Atlantic-Congo,84.3,58.5,48.0
Spanish,spa_Latn,Indo-European,85.3,56.1,56.6
Sardinian,srd_Latn,Indo-European,83.3,63.9,42.4
Serbian,srp_Cyrl,Indo-European,88.2,67.6,2.6
Swati,ssw_Latn,Atlantic-Congo,82.8,48.3,35.1
Sundanese,sun_Latn,Austronesian,90.2,61.9,47.6
Swedish,swe_Latn,Indo-European,89.2,70.2,69.3
Swahili,swh_Latn,Atlantic-Congo,88.7,66.9,62.1
Silesian,szl_Latn,Indo-European,83.8,64.9,38.7
Tamil,tam_Taml,Dravidian,85.8,57.4,30.2
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,54.4,26.4,18.4
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,24.5,18.2,11.4
Tatar,tat_Cyrl,Turkic,88.2,57.5,48.8
Telugu,tel_Telu,Dravidian,87.3,62.9,44.3
Tajik,tgk_Cyrl,Indo-European,86.8,59.3,49.4
Tagalog,tgl_Latn,Austronesian,89.7,68.3,63.4
Thai,tha_Thai,Tai-Kadai,85.3,57.5,49.5
Tigrinya,tir_Ethi,Afro-Asiatic,77.9,35.5,10.4
Tok Pisin,tpi_Latn,Indo-European,87.3,49.3,46.1
Tswana,tsn_Latn,Atlantic-Congo,86.3,49.2,43.7
Tsonga,tso_Latn,Atlantic-Congo,83.8,50.4,41.2
Turkmen,tuk_Latn,Turkic,87.7,59.9,48.6
Tumbuka,tum_Latn,Atlantic-Congo,82.8,39.4,35.5
Turkish,tur_Latn,Turkic,87.7,63.4,59.6
Twi,twi_Latn,Atlantic-Congo,76.0,41.4,29.1
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,13.2,18.5,3.2
Uyghur,uig_Arab,Turkic,83.8,50.8,31.2
Ukrainian,ukr_Cyrl,Indo-European,87.7,64.8,58.0
Umbundu,umb_Latn,Atlantic-Congo,54.4,26.6,21.2
Urdu,urd_Arab,Indo-European,85.8,60.6,47.7
Northern Uzbek,uzn_Latn,Turkic,85.3,60.0,51.9
Venetian,vec_Latn,Indo-European,86.3,65.9,43.5
Vietnamese,vie_Latn,Austroasiatic,87.3,60.9,61.3
Waray,war_Latn,Austronesian,87.3,68.0,55.2
Wolof,wol_Latn,Atlantic-Congo,76.5,40.5,23.1
Xhosa,xho_Latn,Atlantic-Congo,87.3,59.4,44.5
Eastern Yiddish,ydd_Hebr,Indo-European,87.3,73.3,33.6
Yoruba,yor_Latn,Atlantic-Congo,81.4,45.0,22.4
Yue Chinese,yue_Hant,Sino-Tibetan,88.7,57.2,22.3
Chinese (Simplified),zho_Hans,Sino-Tibetan,87.3,56.2,33.1
Chinese (Traditional),zho_Hant,Sino-Tibetan,90.2,55.0,27.3
Standard Malay,zsm_Latn,Austronesian,87.7,68.1,67.0
Zulu,zul_Latn,Atlantic-Congo,88.2,59.9,48.3
