language_name,language_code,script,hrl/lrl,Joshi_class,Joshi_class_modfied,data_size_in_XLMR (GiB),coverage_in_XLM-R,coverage_in_GLOT,language_family,region,region_normalized,MLP (word-tokens),MLP (XLMR tokens),diff MLP,diff MLP-xlmr,xlmrbase,glot,xlmr,xlmr_zero_eng,xlmr_zero_fra,xlmr_zero_ara,xlmr_zero_zho,gpt-3.5,gpt-4,gpt-4o,gpt-4-low-scores,xlmr-zero-eng-low-scores,
North Levantine Arabic,apc_Arab,Arab,lrl,,2,,,X,Afro-Asiatic,Asia 1,Asia,54.66,59.07,4.41,30.23,85.1,77.6,89.3,88.6,89.8,89.4,89,59.9,76,88.7,FALSE,FALSE,"African languages,  Indic languages"
Modern Standard Arabic,arb_Arab,Arab,hrl,5,5,28,X,X,Afro-Asiatic,Asia 1,Asia,70.93,62.85,-8.08,24.95,88.2,76.8,87.8,88.1,88.7,89.1,88.9,68.4,77.6,87.7,FALSE,FALSE,
Modern Standard Arabic (Romanized),arb_Latn,Latn,lrl,,5,,,,Afro-Asiatic,Asia 1,Asia,56.12,49.89,-6.23,-5.09,36.3,26.8,44.8,39.3,40.7,39.6,39.9,44.7,61.5,87.7,TRUE,TRUE,
Najdi Arabic,ars_Arab,Arab,lrl,,5,,,,Afro-Asiatic,Asia 1,Asia,70.87,60.66,-10.21,28.54,88.9,76.3,89.2,88.2,88.8,89.1,89.1,67,75.9,88.7,FALSE,FALSE,
Moroccan Arabic,ary_Arab,Arab,lrl,,1,,,X,Afro-Asiatic,Africa,Africa,65.09,55.79,-9.3,34.31,83,71.3,90.1,85.3,86.5,85.8,85.6,47.3,73.3,88.2,FALSE,FALSE,
Egyptian Arabic,arz_Arab,Arab,lrl,3,3,,,X,Afro-Asiatic,Africa,Africa,61.82,56.91,-4.91,32.19,84.8,75.6,89.1,86.2,87.8,88,87.9,58,81.1,85.8,FALSE,FALSE,
Assamese,asm_Beng,Beng,lrl,1,1,5,X,X,Indo-European,Asia 2,Asia,63.4,52.96,-10.44,35.14,75.5,74.9,88.1,86.1,85.4,85.2,85.6,51.8,49.2,87.3,TRUE,FALSE,
Asturian,ast_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,63.71,60.08,-3.63,27.42,85.8,74.7,87.5,86.3,86.2,86.1,86.1,58.5,70.6,87.3,FALSE,FALSE,
Awadhi,awa_Deva,Deva,lrl,0,0,,,,Indo-European,Asia 2,Asia,64.68,70.2,5.52,17.9,85,75,88.1,87,87.5,88.8,88.1,59.7,70.6,84.3,FALSE,FALSE,
Central Aymara,ayr_Latn,Latn,lrl,1,1,,,X,Aymaran,Americas,Americas/Oceania,55.68,53.05,-2.63,-0.55,42.5,37.4,52.5,39.1,40.4,41.3,38.5,15.9,6.6,64.7,TRUE,TRUE,
South Azerbaijani,azb_Arab,Arab,lrl,1,1,6.5,X,X,Turkic,Asia 1,Asia,64.27,65.36,1.09,17.54,79,60.9,82.9,74.1,73.6,73.6,74.1,32.9,40.6,84.3,TRUE,FALSE,
North Azerbaijani,azj_Latn,Latn,lrl,1,1,6.5,X,X,Turkic,Asia 1,Asia,71.4,65.28,-6.12,25.82,85,77.9,91.1,90.8,91.1,90.3,91.1,57.2,64.8,88.7,TRUE,FALSE,
Bashkir,bak_Cyrl,Cyrl,lrl,1,1,,,X,Turkic,Europe 2,Europe,67.51,59.82,-7.69,15.58,72.2,77.5,75.4,66.5,68.4,70.2,68.6,45,55.6,86.8,TRUE,TRUE,
Bambara,bam_Latn,Latn,lrl,1,1,,,X,Mande,Africa,Africa,64.43,58.95,-5.48,-9.65,42.1,39,49.3,29.2,29.5,29,29.5,23.6,17.2,58.3,TRUE,TRUE,
Balinese,ban_Latn,Latn,lrl,0,0,,,X,Austronesian,Asia 3,Asia,64.3,67.48,3.18,16.42,79,68.6,83.9,78,78.5,79.7,76.9,51.7,47.4,85.3,TRUE,FALSE,
Belarusian,bel_Cyrl,Cyrl,lrl,3,3,4.3,X,X,Indo-European,Europe 2,Europe,63.48,64.42,0.94,25.18,86.4,77.3,89.6,89.6,90.6,89.3,89.3,54.3,74.2,90.7,FALSE,FALSE,
Bemba,bem_Latn,Latn,lrl,0,0,,,X,Atlantic-Congo,Africa,Africa,63.76,66.38,2.62,-6.88,52.9,47.5,59.5,44.9,44.7,45.9,45.3,21.8,25.6,77,TRUE,TRUE,
Bengali,ben_Beng,Beng,hrl,3,3,8.4,X,X,Indo-European,Asia 2,Asia,65.76,62.69,-3.07,25.71,83,75,88.4,87.4,87.3,87.5,85.6,59.6,74.4,86.3,FALSE,FALSE,
Bhojpuri,bho_Deva,Deva,lrl,1,1,,,,Indo-European,Asia 2,Asia,69.37,68.72,-0.65,17.58,82,75,86.3,83.3,84.4,83.2,84.1,49.4,67.4,84.8,TRUE,FALSE,
Banjar (Arabic script),bjn_Arab,Arab,lrl,1,1,,,,Austronesian,Asia 3,Asia,58.68,52.18,-6.5,-9.88,36.6,30.1,42.3,22.2,21.9,21.8,22.5,12.1,20.5,74.5,TRUE,TRUE,
Banjar (Latin script),bjn_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,59.87,65.51,5.64,18.49,79.8,73.2,84,77,77.2,78.5,76.8,34.2,44.1,85.8,TRUE,FALSE,
Standard Tibetan,bod_Tibt,Tibt,lrl,1,1,,,X,Sino-Tibetan,Asia 3,Asia,72.14,19.31,-52.83,5.69,24.8,64.6,25,23,22.2,20.9,20.7,5.8,13.6,75,TRUE,TRUE,
Bosnian,bos_Latn,Latn,hrl,3,3,0.1,X,X,Indo-European,Europe 1,Europe,57.68,62.83,5.15,27.97,87.8,78.5,90.8,91.1,93.2,90.4,92.3,65.7,76.6,87.7,FALSE,FALSE,
Buginese,bug_Latn,Latn,lrl,1,1,,,,Austronesian,Asia 3,Asia,54.38,53.53,-0.85,19.97,72.6,61.3,73.5,61.5,64.7,63.1,64.1,26.9,15.2,75,TRUE,TRUE,
Bulgarian,bul_Cyrl,Cyrl,hrl,3,3,57.5,X,X,Indo-European,Europe 2,Europe,66.01,60.66,-5.35,30.74,88.4,78.6,91.4,89.9,90.4,89.3,90.1,66.5,79.4,88.7,FALSE,FALSE,
Catalan,cat_Latn,Latn,hrl,4,4,10.1,X,X,Indo-European,Europe 1,Europe,64.49,64.42,-0.07,25.38,88.6,76,89.8,91.1,92.8,91.4,91.8,55.4,77.7,89.2,FALSE,FALSE,
Cebuano,ceb_Latn,Latn,lrl,3,3,,,X,Austronesian,Asia 3,Asia,62.5,67.49,4.99,14.01,77.9,71.8,81.5,75.3,76.1,77.2,76.6,62.3,73.4,89.7,FALSE,FALSE,
Czech,ces_Latn,Latn,hrl,4,4,16.3,X,X,Indo-European,Europe 2,Europe,53.67,57.13,3.46,33.87,88.7,77.7,91,91.8,92.7,91,92.3,62.4,70.9,88.2,FALSE,FALSE,
Chokwe,cjk_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,40.83,48.23,7.4,-0.73,43.8,31.5,47.5,39.5,37.5,40.8,39.9,14.3,8.2,52.5,TRUE,TRUE,
Central Kurdish,ckb_Arab,Arab,lrl,0,0,,,X,Indo-European,Asia 1,Asia,63.99,62.33,-1.66,-12.23,37.7,72.8,50.1,24.1,22.5,25.7,24.9,45.6,45.6,84.8,TRUE,TRUE,
Crimean Tatar,crh_Latn,Latn,lrl,1,1,,,X,Turkic,Europe 2,Europe,61.48,62.79,1.31,23.81,80.9,69.2,86.6,80.3,81.4,82.2,81.3,34.5,50.2,82.4,TRUE,FALSE,
Welsh,cym_Latn,Latn,lrl,1,1,0.8,X,X,Indo-European,Europe 1,Europe,67.76,65.39,-2.37,22.71,81.3,68,88.1,84.2,85.1,84.5,83.8,59.4,70.7,87.7,FALSE,FALSE,
Danish,dan_Latn,Latn,hrl,3,3,45.6,X,X,Indo-European,Europe 1,Europe,59.42,69.95,10.53,21.75,88,77.5,91.7,89.8,91.2,90,91,69.6,76.3,86.8,FALSE,FALSE,
German,deu_Latn,Latn,hrl,5,5,66.6,X,X,Indo-European,Europe 1,Europe,61.81,62.51,0.7,28.29,88.4,79.4,90.8,90.2,91.9,91,91.1,70.7,78.6,88.7,FALSE,FALSE,
Southwestern Dinka,dik_Latn,Latn,lrl,1,1,,,,Nilotic,Africa,Africa,64.58,61.16,-3.42,-0.16,51.1,36.5,61,39.2,39.2,40,38.4,24,14.9,45.1,TRUE,TRUE,
Dyula,dyu_Latn,Latn,lrl,0,0,,,X,Mande,Africa,Africa,50.34,49.82,-0.52,-1.82,43.3,33.2,48,35.8,35.3,35.1,35,12.3,9.3,56.4,TRUE,TRUE,
Dzongkha,dzo_Tibt,Tibt,lrl,1,1,,,X,Sino-Tibetan,Asia 2,Asia,71.66,12.91,-58.75,11.29,26,69.8,24.2,22.4,21.4,20,20,0,1.2,72.5,TRUE,TRUE,
Greek,ell_Grek,Grek,hrl,3,3,46.9,X,X,Indo-European,Europe 1,Europe,59.04,56,-3.04,32.9,85.5,77.3,88.9,88.4,89.3,89.1,90.7,65,78.3,89.2,FALSE,FALSE,
English,eng_Latn,Latn,hrl,5,5,300.8,X,X,Indo-European,Europe 1,Europe,59.91,65.79,5.88,26.31,90,82.8,92.1,92.2,91.9,91.2,92.5,71.8,76.6,88.2,FALSE,FALSE,
Esperanto,epo_Latn,Latn,lrl,1,1,0.9,X,X,Constructed,Europe 2,Europe,61.37,62.5,1.13,26.9,87.5,72.8,89.4,88.5,89.2,88.6,90.4,58.7,70.3,88.2,FALSE,FALSE,
Estonian,est_Latn,Latn,hrl,3,3,6.1,X,X,Uralic,Europe 1,Europe,59.56,64.06,4.5,24.84,84.4,68.5,88.9,89,90.6,90.2,90.4,61.9,74.4,87.3,FALSE,FALSE,
Basque,eus_Latn,Latn,hrl,4,4,2,X,X,Basque,Europe 1,Europe,62.88,67.59,4.71,21.61,83.5,72.4,89.2,89.2,90,88.9,89.7,55.3,53.1,88.7,TRUE,FALSE,
Ewe,ewe_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,71.54,62.31,-9.23,-5.91,49.2,40.7,56.4,32.7,33.1,31.7,33.4,20.4,12.2,53.4,TRUE,TRUE,
Faroese,fao_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,71.5,66.94,-4.56,18.36,80.2,74,85.3,78.1,76.9,79,78.6,49.5,54.2,87.3,TRUE,FALSE,
Fijian,fij_Latn,Latn,lrl,1,1,,,X,Austronesian,Oceania,Americas/Oceania,70.56,70.6,0.04,-9.9,54,51.3,60.7,38.4,35.6,38,38.4,40.1,39.1,82.8,TRUE,TRUE,
Finnish,fin_Latn,Latn,hrl,4,4,54.3,X,X,Uralic,Europe 1,Europe,67.01,71.03,4.02,20.57,89.2,72,91.6,89,89.7,90.1,90.1,65,74.9,87.7,FALSE,FALSE,
Fon,fon_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,65.94,60.94,-5,-12.84,46.2,33.2,48.1,35.4,30.7,30.6,32.7,13.8,10.8,45.6,TRUE,TRUE,
French,fra_Latn,Latn,hrl,5,5,56.8,X,X,Indo-European,Europe 1,Europe,57.57,63.15,5.58,26.55,89.2,78.8,89.7,89.5,89.7,89.7,90.1,73.2,77.5,86.8,FALSE,FALSE,
Friulian,fur_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,63.24,65.18,1.94,18.02,77.2,67.1,83.2,72.9,74,73.9,73,41.8,40.2,87.3,TRUE,FALSE,
Nigerian Fulfulde,fuv_Latn,Latn,lrl,0,0,,,,Atlantic-Congo,Africa,Africa,58.9,53.8,-5.1,9.2,53.9,32.3,63,45.6,47.4,46.1,46.6,15.5,13.4,65.7,TRUE,TRUE,
West Central Oromo,gaz_Latn,Latn,lrl,1,1,0.1,X,X,Afro-Asiatic,Africa,Africa,53.21,45.2,-8.01,16.8,34.2,45.4,62,45.8,46.9,48.7,43.3,27.2,18.4,85.8,TRUE,TRUE,
Scottish Gaelic,gla_Latn,Latn,lrl,0,0,0.1,X,X,Indo-European,Europe 1,Europe,59.21,59.25,0.04,20.65,60.7,57,79.9,71.7,73.7,73.9,73.2,49.7,61.5,88.7,TRUE,FALSE,
Irish,gle_Latn,Latn,lrl,2,2,0.5,X,X,Indo-European,Europe 1,Europe,58.59,58.42,-0.17,26.18,72,54.6,84.6,81.3,83.3,82.5,82.1,52.3,71.4,87.7,FALSE,FALSE,
Galician,glg_Latn,Latn,lrl,3,3,2.9,X,X,Indo-European,Europe 1,Europe,67.7,65.85,-1.85,22.35,89.2,77.1,88.2,89.6,90.5,90,91.5,59.5,76.5,89.2,FALSE,FALSE,
Guarani,grn_Latn,Latn,lrl,1,1,,,X,Tupian,Americas,Americas/Oceania,57.71,60.93,3.22,15.37,69.6,63.7,76.3,61.3,61.7,61.1,61.7,32.3,28.2,80.9,TRUE,TRUE,
Gujarati,guj_Gujr,Gujr,lrl,1,1,1.9,X,X,Indo-European,Asia 2,Asia,60.59,58.95,-1.64,28.85,83.8,78,87.8,87.1,87.3,87.5,86.9,65,69.2,85.8,TRUE,FALSE,
Haitian Creole,hat_Latn,Latn,lrl,0,0,,,X,Indo-European,Americas,Americas/Oceania,59.21,57.62,-1.59,15.48,57.3,69.3,73.1,54,54.5,55.2,54,52.2,67.2,87.3,TRUE,TRUE,
Hausa,hau_Latn,Latn,lrl,2,2,0.3,X,X,Afro-Asiatic,Africa,Africa,55.99,61.05,5.06,19.85,72.5,60,80.9,78.3,79.1,80.4,77.2,38.2,45.1,82.8,TRUE,FALSE,
Hebrew,heb_Hebr,Hebr,hrl,3,3,31.6,X,X,Afro-Asiatic,Asia 1,Asia,59.44,53.27,-6.17,33.83,86.5,72.2,87.1,87.1,87.6,87.4,88.2,60.5,73.3,88.2,FALSE,FALSE,
Hindi,hin_Deva,Deva,hrl,4,4,20.2,X,X,Indo-European,Asia 2,Asia,66.71,68.87,2.16,21.83,83.9,77.5,90.7,90.1,90.7,90.4,89.9,63.1,79.3,85.8,FALSE,FALSE,
Chhattisgarhi,hne_Deva,Deva,lrl,,1,,,X,Indo-European,Asia 2,Asia,68.17,64.03,-4.14,23.47,82.8,74.8,87.5,85.3,87,86.6,86,52.7,63.6,89.2,TRUE,FALSE,
Croatian,hrv_Latn,Latn,hrl,4,4,0.5,X,X,Indo-European,Europe 2,Europe,60.92,57.53,-3.39,33.17,89.7,78.6,90.7,90.7,91.7,90.3,91.5,66.6,77.7,87.7,FALSE,FALSE,
Hungarian,hun_Latn,Latn,hrl,4,4,58.4,X,X,Uralic,Europe 2,Europe,59.86,62.23,2.37,26.07,86,81.9,88.3,89.3,90.8,88.6,90,60.3,75,89.2,FALSE,FALSE,
Armenian,hye_Armn,Armn,lrl,1,1,5.5,X,X,Indo-European,Asia 1,Asia,65.17,57.13,-8.04,31.57,86.1,79,88.7,88.3,88.6,88.3,89.2,40.1,70,88.2,FALSE,FALSE,
Igbo,ibo_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,63.87,54.04,-9.83,3.46,46.3,66.4,57.5,34.6,32.6,35.7,33.2,31.3,38.4,86.3,TRUE,TRUE,
Ilocano,ilo_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,63.11,64.93,1.82,11.37,72.3,68,76.3,64.4,67.3,66.9,66.6,59.6,58.9,84.3,TRUE,TRUE,
Indonesian,ind_Latn,Latn,hrl,3,3,148.3,X,X,Austronesian,Asia 3,Asia,56.54,68.43,11.89,22.57,88.9,82.5,91,91.7,92.6,92,91.6,67.3,75.1,88.2,FALSE,FALSE,
Icelandic,isl_Latn,Latn,hrl,2,2,3.2,X,X,Indo-European,Europe 1,Europe,62.83,62.34,-0.49,27.16,85.1,67.2,89.5,90.4,89.5,90,91.4,62.5,72.1,86.3,FALSE,FALSE,
Italian,ita_Latn,Latn,hrl,4,4,30.2,X,X,Indo-European,Europe 1,Europe,54.05,61.08,7.03,29.52,89,78.7,90.6,90.2,91.3,90.8,90.6,62.8,81,91.7,FALSE,FALSE,
Javanese,jav_Latn,Latn,lrl,1,1,0.2,X,X,Austronesian,Asia 3,Asia,57.99,65.51,7.52,17.69,81.7,70.3,83.2,81.8,83.2,83,81.9,43,50.3,85.8,TRUE,FALSE,
Japanese,jpn_Jpan,Jpan,hrl,5,5,69.3,X,X,Japonic,Asia 4,Asia,73.83,72.41,-1.42,17.49,87.9,81.5,89.9,89.3,90.3,88.8,89.7,63.4,75.8,88.7,FALSE,FALSE,
Kabyle,kab_Latn,Latn,lrl,1,1,,,X,Afro-Asiatic,Africa,Africa,61.13,48.84,-12.29,-9.34,36,26.4,39.5,26.3,22.9,24.5,26,15.2,8,49,TRUE,TRUE,
Jingpho,kac_Latn,Latn,lrl,0,0,,,X,Sino-Tibetan,Asia 3,Asia,64.75,69.73,4.98,-7.03,54.7,51.4,62.7,35.2,34.5,33.9,35.7,10,7.8,49.5,TRUE,TRUE,
Kamba,kam_Latn,Latn,lrl,0,0,,,X,Atlantic-Congo,Africa,Africa,56.67,52.92,-3.75,-0.42,48.2,32,52.5,39,39.4,38.4,40.1,19.7,18.7,73,TRUE,TRUE,
Kannada,kan_Knda,Knda,lrl,1,1,3.3,X,X,Dravidian,Asia 2,Asia,65.56,64.78,-0.78,25.32,86.5,77,90.1,89.6,89.6,89.7,89.9,60.1,69.1,87.3,TRUE,FALSE,
Kashmiri (Arabic script),kas_Arab,Arab,lrl,1,1,,,,Indo-European,Asia 2,Asia,65.16,66.15,0.99,11.25,68,57.1,77.4,67.8,68.8,70,69.1,33,46,81.9,TRUE,TRUE,
Kashmiri (Devanagari script),kas_Deva,Deva,lrl,1,1,,,,Indo-European,Asia 2,Asia,61.49,50.76,-10.73,23.64,62.8,47.2,74.4,60.2,61.6,63.7,59.3,22.9,21.7,77.5,TRUE,TRUE,
Georgian,kat_Geor,Geor,lrl,3,3,9.1,X,X,Kartvelian,Asia 1,Asia,63.72,59.09,-4.63,29.41,83.4,78.4,88.5,89.1,89.8,88.6,89.7,44.7,66.1,86.3,TRUE,FALSE,
Kazakh,kaz_Cyrl,Cyrl,hrl,3,3,6.4,X,X,Turkic,Asia 1,Asia,63.37,66.68,3.31,24.72,85.3,79.1,91.4,90.9,91,89.7,89,63.7,71.2,87.3,FALSE,FALSE,
Kabiyè,kbp_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,69.88,55.26,-14.62,-6.16,37.9,42.5,49.1,30.4,30,29.8,30.5,23.7,9.3,47.5,TRUE,TRUE,
Kabuverdianu,kea_Latn,Latn,lrl,,1,,,X,Indo-European,Africa,Africa,64.26,66.42,2.16,19.68,78.9,60,86.1,73,74.3,75.7,72.3,47.5,48.8,85.8,TRUE,FALSE,
Halh Mongolian,khk_Cyrl,Cyrl,lrl,1,1,3,X,X,Mongolic-Khitan,Asia 4,Asia,66.21,62.48,-3.73,26.02,82.9,74.8,88.5,86.1,85.8,86.2,85.5,57.7,67.6,83.8,TRUE,FALSE,
Khmer,khm_Khmr,Khmr,lrl,1,1,1.5,X,X,Austroasiatic,Asia 3,Asia,74.08,68.31,-5.77,20.89,85.8,79.8,89.2,87.5,86.8,86.8,87.7,39.2,70.4,87.7,FALSE,FALSE,
Kikuyu,kik_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,60.47,57.3,-3.17,2.6,50,40.2,59.9,38.3,38.3,39.4,38.5,28.5,28.6,77,TRUE,TRUE,
Kinyarwanda,kin_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,68.77,63.04,-5.73,-15.04,45.3,66.8,48,34.5,36.7,35.1,35.7,47.1,50.5,87.3,TRUE,TRUE,
Kyrgyz,kir_Cyrl,Cyrl,lrl,,2,1.2,X,X,Turkic,Asia 1,Asia,58.8,62.43,3.63,25.67,84.6,77.5,88.1,87.9,88.4,87.1,87.5,49.8,57,87.7,TRUE,FALSE,
Kimbundu,kmb_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,54.4,57.22,2.82,-7.52,40.9,32.7,49.7,34.6,34.6,36.4,35.7,13,11.2,55.9,TRUE,TRUE,
Northern Kurdish,kmr_Latn,Latn,lrl,1,1,0.4,X,X,Indo-European,Asia 1,Asia,64.38,55.35,-9.03,26.25,75.8,64.8,81.6,77.3,78.6,79.4,78.3,42.5,46.8,80.4,TRUE,FALSE,
Central Kanuri (Arabic script),knc_Arab,Arab,lrl,0,0,,,,Nilotic,Africa,Africa,48.2,40.79,-7.41,1.01,39,35.3,41.8,23.9,19.9,21.6,21.2,2.2,1.8,34.3,TRUE,TRUE,
Central Kanuri (Latin script),knc_Latn,Latn,lrl,0,0,,,,Nilotic,Africa,Africa,60.21,58.96,-1.25,2.84,58.2,44.4,61.8,41.4,39.8,41.8,41.3,16.8,12,52.5,TRUE,TRUE,
Kikongo,kon_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,58.59,62.29,3.7,2.71,58.5,55.3,65,44.5,44.9,46.8,46.3,18.4,23.5,76.5,TRUE,TRUE,
Korean,kor_Hang,Hang,hrl,4,4,54.2,X,X,Koreanic,Asia 4,Asia,67.81,66.35,-1.46,22.15,86.5,76.5,88.5,88.7,89.4,88.7,89.2,67.8,78.2,84.3,FALSE,FALSE,
Lao,lao_Laoo,Laoo,lrl,2,2,0.6,X,X,Tai-Kadai,Asia 3,Asia,69.66,66.89,-2.77,20.71,88.2,80,87.6,85.9,87.1,86.8,86.9,26.3,44,87.3,TRUE,FALSE,
Ligurian,lij_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,56.12,52.45,-3.67,28.85,76.2,67.1,81.3,75.1,75.1,75.7,74.3,29.2,43.2,82.8,TRUE,FALSE,
Limburgish,lim_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,58.8,56.49,-2.31,27.81,79.1,68.3,84.3,78.1,78.2,77.6,76.7,43.1,48.4,85.3,TRUE,FALSE,
Lingala,lin_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,61.39,67.23,5.84,-1.43,60.6,66.1,65.8,42.6,42.9,43.8,45,29.1,26,84.8,TRUE,TRUE,
Lithuanian,lit_Latn,Latn,hrl,3,3,13.7,X,X,Indo-European,Europe 1,Europe,64.02,64.41,0.39,24.39,87.6,72.7,88.8,88.4,88.9,89.1,89.6,59.2,75.3,86.8,FALSE,FALSE,
Lombard,lmo_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,54.75,58.35,3.6,21.75,72.6,66.5,80.1,70.1,71.4,71.9,71.1,36.2,43,84.8,TRUE,FALSE,
Latgalian,ltg_Latn,Latn,lrl,1,1,,,,Indo-European,Europe 2,Europe,66.5,63.8,-2.7,17.3,79,57.5,81.1,76,76.3,76.1,75.8,29.4,38,85.8,TRUE,FALSE,
Luxembourgish,ltz_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,64.95,61.9,-3.05,20.1,76.1,62.4,82,70.6,70.2,71.9,70.9,62.4,63.8,87.7,TRUE,FALSE,
Luba-Kasai,lua_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,53.05,57.35,4.3,-1.05,52.9,41.7,56.3,43.5,42.5,43.6,44.5,25.6,17.9,59.3,TRUE,TRUE,
Ganda,lug_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,49.93,51.46,1.53,-6.46,41.8,43.5,45,32.5,33.8,33.8,33.4,36.8,29.6,78.9,TRUE,TRUE,
Luo,luo_Latn,Latn,lrl,,1,,,X,Nilotic,Africa,Africa,62.3,66.33,4.03,-6.33,51.1,32.6,60,37.8,38.2,39.3,40.1,19.7,14.4,75,TRUE,TRUE,
Mizo,lus_Latn,Latn,lrl,0,0,,,X,Sino-Tibetan,Asia 2,Asia,58.97,61.71,2.74,8.89,68.6,61.8,70.6,54.2,58.6,56.4,56.4,48.7,35.9,77.5,TRUE,TRUE,
Standard Latvian,lvs_Latn,Latn,hrl,3,3,8.8,X,X,Indo-European,Europe 1,Europe,72.63,72.37,-0.26,17.63,89.9,78.7,90,90,90.6,90.1,91.7,63.8,75.2,89.2,FALSE,FALSE,
Magahi,mag_Deva,Deva,lrl,0,0,,,,Indo-European,Asia 2,Asia,65.07,64.59,-0.48,22.31,82.7,73.1,86.9,86.3,86.7,87,86.1,54.2,67.1,85.8,TRUE,FALSE,
Maithili,mai_Deva,Deva,lrl,1,1,,,X,Indo-European,Asia 2,Asia,69.94,66.01,-3.93,23.09,82.5,76.8,89.1,85.8,87.2,87.4,87,49.5,66.7,86.3,TRUE,FALSE,
