Language,FLORES-200 code,xx - English,English - xx
Korean,kor_Hang,56.2,35.2
Lao,lao_Laoo,57.8,40.7
Ligurian,lij_Latn,59.5,34.7
Limburgish,lim_Latn,62.2,37.5
Lingala,lin_Latn,30.6,24.8
Lithuanian,lit_Latn,59.1,53.2
Lombard,lmo_Latn,59.0,31.2
Latgalian,ltg_Latn,47.3,28.3
Luxembourgish,ltz_Latn,67.2,47.9
Luba-Kasai,lua_Latn,25.6,18.6
Ganda,lug_Latn,35.4,21.6
Luo,luo_Latn,21.3,21.1
Mizo,lus_Latn,33.2,30.6
Standard Latvian,lvs_Latn,60.5,56.1
Magahi,mag_Deva,61.9,37.3
Maithili,mai_Deva,59.9,34.7
Malayalam,mal_Mlym,58.8,43.2
Marathi,mar_Deva,59.9,44.4
Minangkabau (Arabic script),min_Arab,26.6,1.5
Minangkabau (Latin script),min_Latn,54.7,43.6
Macedonian,mkd_Cyrl,65.1,58.2
Maltese,mlt_Latn,72.6,61.2
Meitei (Bengali script),mni_Beng,23.1,6.9
Mossi,mos_Latn,20.5,13.8
Maori,mri_Latn,43.6,38.3
Burmese,mya_Mymr,49.7,30.0
Dutch,nld_Latn,57.8,55.4
Norwegian Nynorsk,nno_Latn,67.1,57.6
Norwegian Bokmål,nob_Latn,66.3,59.2
Nepali,npi_Deva,62.6,45.7
Northern Sotho,nso_Latn,47.1,30.6
Nuer,nus_Latn,19.5,12.2
Nyanja,nya_Latn,44.0,37.4
Occitan,oci_Latn,70.9,54.2
Odia,ory_Orya,56.6,33.0
Pangasinan,pag_Latn,46.2,29.3
Eastern Panjabi,pan_Guru,61.0,33.9
Papiamento,pap_Latn,65.4,46.9
Southern Pashto,pbt_Arab,53.8,23.0
Western Persian,pes_Arab,60.7,50.0
Plateau Malagasy,plt_Latn,50.5,42.0
Polish,pol_Latn,56.3,50.2
Portuguese,por_Latn,69.9,68.5
Dari,prs_Arab,61.2,43.7
Ayacucho Quechua,quy_Latn,26.0,22.1
Romanian,ron_Latn,66.1,64.2
Rundi,run_Latn,38.8,28.2
Russian,rus_Cyrl,59.8,57.0
Sango,sag_Latn,20.1,13.6
Sanskrit,san_Deva,43.5,11.7
Santali,sat_Olck,38.9,8.3
Sicilian,scn_Latn,59.9,39.2
Shan,shn_Mymr,28.5,6.9
Sinhala,sin_Sinh,55.9,38.4
Slovak,slk_Latn,63.8,57.2
Slovenian,slv_Latn,60.9,55.1
Samoan,smo_Latn,48.2,41.5
Shona,sna_Latn,44.8,35.1
Sindhi,snd_Arab,58.4,33.9
Somali,som_Latn,50.3,37.4
Southern Sotho,sot_Latn,50.9,38.1
Spanish,spa_Latn,56.5,55.9
Sardinian,srd_Latn,60.6,42.3
Serbian,srp_Cyrl,66.3,45.5
Swati,ssw_Latn,40.7,28.6
Sundanese,sun_Latn,58.0,41.5
Swedish,swe_Latn,69.4,66.8
Swahili,swh_Latn,64.6,57.0
Silesian,szl_Latn,61.5,31.9
Tamil,tam_Taml,56.8,49.3
Tamasheq (Latin script),taq_Latn,23.5,15.8
Tamasheq (Tifinagh script),taq_Tfng,16.4,5.3
Tatar,tat_Cyrl,54.7,40.0
Telugu,tel_Telu,61.6,49.8
Tajik,tgk_Cyrl,56.3,43.7
Tagalog,tgl_Latn,67.1,61.3
Thai,tha_Thai,56.5,47.1
Tigrinya,tir_Ethi,34.9,10.1
Tok Pisin,tpi_Latn,42.1,35.8
Tswana,tsn_Latn,37.4,32.7
Tsonga,tso_Latn,31.8,24.7
Turkmen,tuk_Latn,55.6,38.6
Tumbuka,tum_Latn,32.3,27.0
Turkish,tur_Latn,62.1,57.2
Twi,twi_Latn,31.9,18.7
Central Atlas Tamazight,tzm_Tfng,19.3,2.6
Uyghur,uig_Arab,46.9,29.3
Ukrainian,ukr_Cyrl,63.6,55.7
Umbundu,umb_Latn,21.5,15.1
Urdu,urd_Arab,58.6,44.4
Northern Uzbek,uzn_Latn,58.2,44.9
Venetian,vec_Latn,64.3,41.0
Vietnamese,vie_Latn,59.7,58.7
Waray,war_Latn,64.3,47.9
Wolof,wol_Latn,25.5,17.8
Xhosa,xho_Latn,52.4,35.8
Eastern Yiddish,ydd_Hebr,68.9,30.3
Yoruba,yor_Latn,36.8,21.0
Yue Chinese,yue_Hant,55.6,15.7
Chinese (Simplified),zho_Hans,55.0,31.0
Chinese (Traditional),zho_Hant,53.5,24.8
Standard Malay,zsm_Latn,65.7,63.5
Zulu,zul_Latn,55.3,40.8
