language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-4o (mar 2025),Flores xx-eng gpt-4o (mar 2025),Flores eng-xx gpt-4o (mar 2025)
Kabyle,kab_Latn,Afro-Asiatic,15.2,8,35.8,28.9,20.4
Jingpho,kac_Latn,Sino-Tibetan,10,7.8,34.3,22.9,23.7
Kamba,kam_Latn,Atlantic-Congo,19.7,18.7,56.9,35,22.6
Kannada,kan_Knda,Dravidian,60.1,69.1,82.4,57.3,40.4
Kashmiri (Arabic script),kas_Arab,Indo-European,33,46,70.1,45.8,18
Kashmiri (Devanagari script),kas_Deva,Indo-European,22.9,21.7,63.2,41.8,14.1
Georgian,kat_Geor,Kartvelian,44.7,66.1,80.9,55.7,48.2
Central Kanuri (Arabic script),knc_Arab,Nilotic,2.2,1.8,28.4,20.5,7.3
Central Kanuri (Latin script),knc_Latn,Nilotic,16.8,12,50,24.4,18.2
Kazakh,kaz_Cyrl,Turkic,63.7,71.2,78.9,60.7,51.7
Kabiyè,kbp_Latn,Atlantic-Congo,23.7,9.3,41.2,21.7,13.9
Kabuverdianu,kea_Latn,Indo-European,47.5,48.8,73.5,69.7,46.5
Khmer,khm_Khmr,Austroasiatic,39.2,70.4,89.2,55.2,31.8
Kikuyu,kik_Latn,Atlantic-Congo,28.5,28.6,60.8,38.2,23.1
Kinyarwanda,kin_Latn,Atlantic-Congo,47.1,50.5,72.5,54.3,45.6
Kyrgyz,kir_Cyrl,Turkic,49.8,57,84.3,52.6,44.1
Kimbundu,kmb_Latn,Atlantic-Congo,13,11.2,42.6,25,20.4
Northern Kurdish,kmr_Latn,Indo-European,42.5,46.8,68.6,48.1,28.5
Kikongo,kon_Latn,Atlantic-Congo,18.4,23.5,63.7,39,28.3
Korean,kor_Hang,Koreanic,67.8,78.2,81.4,57.2,37.1
Lao,lao_Laoo,Tai-Kadai,26.3,44,82.8,56.6,37.1
Ligurian,lij_Latn,Indo-European,29.2,43.2,81.4,63.7,34
Limburgish,lim_Latn,Indo-European,43.1,48.4,74.5,64.9,37.3
Lingala,lin_Latn,Atlantic-Congo,29.1,26,71.6,45.5,41.8
Lithuanian,lit_Latn,Indo-European,59.2,75.3,86.3,60.2,56.1
Lombard,lmo_Latn,Indo-European,36.2,43,72.1,61.9,31.5
Latgalian,ltg_Latn,Indo-European,29.4,38,71.1,58.6,29.8
Luxembourgish,ltz_Latn,Indo-European,62.4,63.8,83.3,69.8,56.4
Luba-Kasai,lua_Latn,Atlantic-Congo,25.6,17.9,50,31.1,21.3
Ganda,lug_Latn,Atlantic-Congo,36.8,29.6,64.7,47.2,31.9
Luo,luo_Latn,Nilotic,19.7,14.4,63.2,35.9,28.4
Mizo,lus_Latn,Sino-Tibetan,48.7,35.9,69.6,34.9,28.7
Standard Latvian,lvs_Latn,Indo-European,63.8,75.2,80.9,61.3,59.6
Magahi,mag_Deva,Indo-European,54.2,67.1,80.9,64.6,39.7
Maithili,mai_Deva,Indo-European,49.5,66.7,81.4,62.8,40.2
Malayalam,mal_Mlym,Dravidian,59.7,71.5,80.9,60,35.3
Marathi,mar_Deva,Indo-European,57.8,72.8,84.3,61.4,45.7
Minangkabau (Arabic script),min_Arab,Austronesian,8.1,11.2,66.7,41.2,16.2
Minangkabau (Latin script),min_Latn,Austronesian,40.2,36.7,76,57,40.8
Macedonian,mkd_Cyrl,Indo-European,62.2,76.9,81.9,66.1,62.2
Plateau Malagasy,plt_Latn,Austronesian,42.8,46.1,78.9,54.4,48.9
Maltese,mlt_Latn,Afro-Asiatic,63.5,73.1,81.9,74.3,66.3
Meitei (Bengali script),mni_Beng,Sino-Tibetan,4,6.9,51.5,30,10.8
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,57.7,67.6,81.4,56.8,46
Mossi,mos_Latn,Atlantic-Congo,14.3,7.5,44.6,23.1,16.2
Maori,mri_Latn,Austronesian,45.8,60,75,52.8,47.3
Burmese,mya_Mymr,Sino-Tibetan,19,62.2,83.8,51.5,32.5
Dutch,nld_Latn,Indo-European,68.9,79.2,81.4,57.9,56.9
Norwegian Nynorsk,nno_Latn,Indo-European,62.9,75.5,82.8,68.1,61.4
Norwegian Bokmål,nob_Latn,Indo-European,64.6,78.1,80.9,66.7,60.8
Nepali,npi_Deva,Indo-European,62.6,68.2,80.4,65.1,48.3
N'ko,nqo_Nkoo,Atlantic-Congo,4.6,3.6,19.1,,
Northern Sotho,nso_Latn,Atlantic-Congo,35.6,42.7,73,58.6,47
Nuer,nus_Latn,Nilotic,18,7.2,35.3,20.9,13.8
Nyanja,nya_Latn,Atlantic-Congo,46.8,45.7,77.9,49.5,43.4
Occitan,oci_Latn,Indo-European,56.8,67.5,82.8,74.1,62.9
West Central Oromo,gaz_Latn,Afro-Asiatic,27.2,18.4,67.2,46.5,31.3
Odia,ory_Orya,Indo-European,56.2,67.1,85.8,58,36
Pangasinan,pag_Latn,Austronesian,54.6,44.8,70.6,46.9,27.6
Eastern Panjabi,pan_Guru,Indo-European,67.6,70.9,81.9,61.6,41.9
Papiamento,pap_Latn,Indo-European,56.3,61.7,74,69.1,50.5
Western Persian,pes_Arab,Indo-European,64.3,76.4,80.4,61.1,52.1
Polish,pol_Latn,Indo-European,66.8,77.4,83.3,56.4,51.5
Portuguese,por_Latn,Indo-European,61.7,77.8,80.4,71,71.5
Dari,prs_Arab,Indo-European,59.5,72.7,80.9,63,45.8
Southern Pashto,pbt_Arab,Indo-European,52.3,55.3,83.8,57.4,34.9
Ayacucho Quechua,quy_Latn,Quechuan,36.2,18.5,60.3,30.6,25.7
Romanian,ron_Latn,Indo-European,66.5,75.1,82.4,66.2,65.6
Rundi,run_Latn,Atlantic-Congo,40.8,33.1,75,45.1,35.9
Russian,rus_Cyrl,Indo-European,62.8,80.2,85.3,60.8,58.2
Sango,sag_Latn,Atlantic-Congo,15.3,9.4,45.6,25,20.6
Sanskrit,san_Deva,Indo-European,37.8,53.3,74,46.1,25.9
Santali,sat_Olck,Austroasiatic,1.8,0,16.2,17.4,1.9
Sicilian,scn_Latn,Indo-European,43.9,58.1,77.5,62.5,40.4
Shan,shn_Mymr,Tai-Kadai,19.3,14.7,48,21.2,15.1
Sinhala,sin_Sinh,Indo-European,22.5,70.3,74,56.9,32.7
Slovak,slk_Latn,Indo-European,62.6,71.7,83.8,64.3,60
Slovenian,slv_Latn,Indo-European,61.5,72.3,79.9,61.2,57.7
Samoan,smo_Latn,Austronesian,50.8,54.3,79.4,54.8,48.7
Shona,sna_Latn,Atlantic-Congo,37.2,37.2,73.5,48.9,42.6
Sindhi,snd_Arab,Indo-European,49.1,62.4,80.4,62.7,44.6
Somali,som_Latn,Afro-Asiatic,48,58.3,71.6,53.7,41
Southern Sotho,sot_Latn,Atlantic-Congo,38.2,43.2,71.6,58.1,47.1
Spanish,spa_Latn,Indo-European,67.5,80.6,82.8,56.3,56.6
Tosk Albanian,als_Latn,Indo-European,66.5,71.4,83.8,64.3,60
Sardinian,srd_Latn,Indo-European,36.1,50.6,73,63.8,41.7
Serbian,srp_Cyrl,Indo-European,55.4,75.9,83.3,67.6,6.9
Swati,ssw_Latn,Atlantic-Congo,26.1,30.3,72.1,48.4,34.5
Sundanese,sun_Latn,Austronesian,50.8,56.7,81.9,61.6,47.7
Swedish,swe_Latn,Indo-European,66,75.5,82.4,70.3,68.9
Swahili,swh_Latn,Atlantic-Congo,63.8,71.6,82.4,66.6,62.2
Silesian,szl_Latn,Indo-European,38.4,51.7,79.9,64.7,37.3
Tamil,tam_Taml,Dravidian,48.7,69.2,81.9,56.9,43.5
Tatar,tat_Cyrl,Turkic,46.1,61.9,79.4,57.2,48.4
Telugu,tel_Telu,Dravidian,60.4,68.4,84.3,62.4,45
Tajik,tgk_Cyrl,Indo-European,49.1,61.6,80.4,58.9,48.5
Tagalog,tgl_Latn,Austronesian,67.9,76.9,81.4,67.8,63.4
Thai,tha_Thai,Tai-Kadai,61.1,75.5,83.8,56.9,48.7
Tigrinya,tir_Ethi,Afro-Asiatic,19.3,37.1,74,34.6,10.3
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,22.8,17.7,48,25.9,17.7
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,3.1,3.3,18.6,18,12.1
Tok Pisin,tpi_Latn,Indo-European,63.8,60.8,77,48.2,46.6
Tswana,tsn_Latn,Atlantic-Congo,31.8,42.8,66.7,48.4,42.7
Tsonga,tso_Latn,Atlantic-Congo,34.2,29.4,70.1,50,41.1
Turkmen,tuk_Latn,Turkic,52.3,53.1,80.4,59.9,48.5
Tumbuka,tum_Latn,Atlantic-Congo,28.5,32.6,71.6,38.9,31
Turkish,tur_Latn,Turkic,66.1,78.2,80.4,63.3,59.1
Twi,twi_Latn,Atlantic-Congo,33,34.6,70.6,40.9,28.3
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,4.1,1.1,18.1,18.3,3.3
Uyghur,uig_Arab,Turkic,46.4,57.7,76.5,50.4,30.8
Ukrainian,ukr_Cyrl,Indo-European,67.1,79.2,83.3,64.4,57.5
Umbundu,umb_Latn,Atlantic-Congo,15.2,7.7,41.7,26.6,20.6
Urdu,urd_Arab,Indo-European,64.3,76.8,80.9,60,47.2
Northern Uzbek,uzn_Latn,Turkic,57.6,60.3,79.9,59.7,52.9
Venetian,vec_Latn,Indo-European,44.1,59.4,76,66.4,42.5
Vietnamese,vie_Latn,Austroasiatic,63.3,75.7,83.3,60.7,61.1
Waray,war_Latn,Austronesian,64.6,65.4,82.8,67.6,55.4
Wolof,wol_Latn,Atlantic-Congo,29.5,24.1,64.7,40.3,22.5
Xhosa,xho_Latn,Atlantic-Congo,37.7,48.2,78.4,59.2,43.8
Eastern Yiddish,ydd_Hebr,Indo-European,33.2,44.8,79.4,73.3,34
Yoruba,yor_Latn,Atlantic-Congo,33.8,40.5,71.6,44.8,21.3
Yue Chinese,yue_Hant,Sino-Tibetan,63.9,79.2,83.8,57,19.6
Chinese (Simplified),zho_Hans,Sino-Tibetan,60.6,79.5,84.3,56,32.2
Chinese (Traditional),zho_Hant,Sino-Tibetan,64.2,78.8,87.3,54.5,26.7
Standard Malay,zsm_Latn,Austronesian,63.4,76.1,82.8,67.7,66.7
Zulu,zul_Latn,Atlantic-Congo,39.3,53.1,82.4,60.1,48.2
,,,44.93170732,52.34243902,73.10634146,53.05270936,40.50394089
