Language,Language Family,fleurs - gemini-2.0-flash LID Accuracy (%),language_name,language_family,Accuracy gemini2-Flash
ukrainian,Indo-European,99.73,Ukrainian,Indo-European,100
umbundu,Atlantic-Congo,2.64,Umbundu,Atlantic-Congo,76.1
urdu,Indo-European,79.26,Urdu,Indo-European,99.8
uzbek,Turkic,96.52,Northern Uzbek,Turkic,99.7
vietnamese,Austroasiatic,100.00,Vietnamese,Austroasiatic,99.9
welsh,Indo-European,98.63,Welsh,Indo-European,100
wolof,Atlantic-Congo,94.61,Wolof,Atlantic-Congo,99.5
xhosa,Atlantic-Congo,47.07,Xhosa,Atlantic-Congo,92.5
yoruba,Atlantic-Congo,99.04,Yoruba,Atlantic-Congo,100
zulu,Atlantic-Congo,83.96,Zulu,Atlantic-Congo,99.5
