Language name,Language code,Accuracy
Hungarian,hun_Latn,89.2
Armenian,hye_Armn,88.2
Igbo,ibo_Latn,86.3
Ilocano,ilo_Latn,84.3
Indonesian,ind_Latn,88.2
Icelandic,isl_Latn,86.3
Italian,ita_Latn,91.7
Javanese,jav_Latn,85.8
Japanese,jpn_Jpan,88.7
Kabyle,kab_Latn,49.0
Jingpho,kac_Latn,49.5
Kamba,kam_Latn,73.0
Kannada,kan_Knda,87.3
Kashmiri (Arabic script),kas_Arab,81.9
Kashmiri (Devanagari script),kas_Deva,77.5
Georgian,kat_Geor,86.3
Kazakh,kaz_Cyrl,87.3
Kabiyè,kbp_Latn,47.5
Kabuverdianu,kea_Latn,85.8
Halh Mongolian,khk_Cyrl,83.8
Khmer,khm_Khmr,87.7
Kikuyu,kik_Latn,77.0
Kinyarwanda,kin_Latn,87.3
Kyrgyz,kir_Cyrl,87.7
Kimbundu,kmb_Latn,55.9
Northern Kurdish,kmr_Latn,80.4
Central Kanuri (Arabic script),knc_Arab,34.3
Central Kanuri (Latin script),knc_Latn,52.5
Kikongo,kon_Latn,76.5
Korean,kor_Hang,84.3
Lao,lao_Laoo,87.3
Ligurian,lij_Latn,82.8
Limburgish,lim_Latn,85.3
Lingala,lin_Latn,84.8
Lithuanian,lit_Latn,86.8
Lombard,lmo_Latn,84.8
Latgalian,ltg_Latn,85.8
Luxembourgish,ltz_Latn,87.7
Luba-Kasai,lua_Latn,59.3
Ganda,lug_Latn,78.9
Luo,luo_Latn,75.0
Mizo,lus_Latn,77.5
Standard Latvian,lvs_Latn,89.2
Magahi,mag_Deva,85.8
Maithili,mai_Deva,86.3
Malayalam,mal_Mlym,85.3
Marathi,mar_Deva,86.3
Minangkabau (Arabic script),min_Arab,77.0
Minangkabau (Latin script),min_Latn,84.3
Macedonian,mkd_Cyrl,88.2
Maltese,mlt_Latn,89.2
Meitei (Bengali script),mni_Beng,71.1
Mossi,mos_Latn,44.1
Maori,mri_Latn,84.3
Burmese,mya_Mymr,88.2
Dutch,nld_Latn,88.7
Norwegian Nynorsk,nno_Latn,88.7
Norwegian Bokmål,nob_Latn,87.3
Nepali,npi_Deva,88.2
N'ko,nqo_Nkoo,20.1
Northern Sotho,nso_Latn,86.3
Nuer,nus_Latn,44.6
Nyanja,nya_Latn,82.8
Occitan,oci_Latn,87.3
Odia,ory_Orya,87.7
Pangasinan,pag_Latn,79.4
Eastern Panjabi,pan_Guru,88.7
Papiamento,pap_Latn,86.8
Southern Pashto,pbt_Arab,86.3
Western Persian,pes_Arab,86.8
Plateau Malagasy,plt_Latn,80.9
Polish,pol_Latn,86.3
Portuguese,por_Latn,85.3
Dari,prs_Arab,85.8
Ayacucho Quechua,quy_Latn,61.8
Romanian,ron_Latn,89.7
Rundi,run_Latn,81.4
Russian,rus_Cyrl,87.7
Sango,sag_Latn,58.3
Sanskrit,san_Deva,83.8
Santali,sat_Olck,19.6
Sicilian,scn_Latn,87.7
Shan,shn_Mymr,42.2
Sinhala,sin_Sinh,85.8
Slovak,slk_Latn,86.8
Slovenian,slv_Latn,87.7
Samoan,smo_Latn,88.7
Shona,sna_Latn,83.3
Sindhi,snd_Arab,88.2
Somali,som_Latn,86.8
Southern Sotho,sot_Latn,84.3
Spanish,spa_Latn,85.3
Sardinian,srd_Latn,83.3
Serbian,srp_Cyrl,88.2
Swati,ssw_Latn,82.8
Sundanese,sun_Latn,90.2
Swedish,swe_Latn,89.2
Swahili,swh_Latn,88.7
Silesian,szl_Latn,83.8
Tamil,tam_Taml,85.8
Tamasheq (Latin script),taq_Latn,54.4
Tamasheq (Tifinagh script),taq_Tfng,24.5
Tatar,tat_Cyrl,88.2
Telugu,tel_Telu,87.3
Tajik,tgk_Cyrl,86.8
Tagalog,tgl_Latn,89.7
Thai,tha_Thai,85.3
Tigrinya,tir_Ethi,77.9
Tok Pisin,tpi_Latn,87.3
Tswana,tsn_Latn,86.3
Tsonga,tso_Latn,83.8
Turkmen,tuk_Latn,87.7
Tumbuka,tum_Latn,82.8
Turkish,tur_Latn,87.7
Twi,twi_Latn,76.0
Central Atlas Tamazight,tzm_Tfng,13.2
Uyghur,uig_Arab,83.8
Ukrainian,ukr_Cyrl,87.7
Umbundu,umb_Latn,54.4
Urdu,urd_Arab,85.8
Northern Uzbek,uzn_Latn,85.3
Venetian,vec_Latn,86.3
Vietnamese,vie_Latn,87.3
Waray,war_Latn,87.3
Wolof,wol_Latn,76.5
Xhosa,xho_Latn,87.3
Eastern Yiddish,ydd_Hebr,87.3
Yoruba,yor_Latn,81.4
Yue Chinese,yue_Hant,88.7
Chinese (Simplified),zho_Hans,87.3
Chinese (Traditional),zho_Hant,90.2
Standard Malay,zsm_Latn,87.7
Zulu,zul_Latn,88.2
