language_name,language_code,language_family,region,in_flores,LID_accuracy_gemma,LID_accuracy_gpt4o,LID_accuracy_gemini,TC_accuracy_gemma,TC_accuracy_gpt4o,TC_accuracy_gemini,RC_accuracy_gemma,RC_accuracy_gpt4o,RC_accuracy_gemini,NLI_accuracy_gemma,NLI_accuracy_gpt4o,NLI_accuracy_gemini,MT_xx_eng_chrf_gemma,MT_eng_xx_chrf_gemma,MT_xx_eng_chrf_gpt4o,MT_eng_xx_chrf_gpt4o,MT_xx_eng_chrf_gemini,MT_eng_xx_chrf_gemini
North Levantine Arabic,apc_Arab,Afro-Asiatic,Asia 1,True,99.9,100.0,99.9,86.3,88.7,86.3,80.3,88.9,88.7,,,,60.2,41.7,62.7,47.8,63.3,45.5
MSA (Arabic),arb_Arab,Afro-Asiatic,Asia 1,True,99.8,100.0,100.0,88.7,87.7,89.2,90.8,92.7,91.7,76.0,78.2,74.8,62.3,52.8,64.2,55.9,65.7,55.8
MSA (Romanized),arb_Latn,Afro-Asiatic,Asia 1,True,99.9,100.0,99.8,84.8,87.7,87.3,60.8,78.7,78.4,,,,50.5,22.6,57.8,29.7,61.2,17.1
Najdi Arabic,ars_Arab,Afro-Asiatic,Asia 1,True,99.8,100.0,100.0,88.7,88.7,89.2,81.9,87.4,87.8,,,,61.4,36.8,63.1,47.5,64.3,43.7
Moroccan Arabic,ary_Arab,Afro-Asiatic,Africa,True,98.7,100.0,98.7,84.3,88.2,88.2,76.1,82.1,85.2,,,,52.7,23.5,56.3,37.7,56.6,36.1
Egyptian Arabic,arz_Arab,Afro-Asiatic,Africa,True,99.9,100.0,100.0,85.8,85.8,88.2,84.6,87.4,89.4,,,,55.0,42.9,57.2,45.9,57.9,44.3
Assamese,asm_Beng,Indo-European,Asia 2,True,99.8,98.5,100.0,84.8,87.3,87.3,82.4,86.2,85.0,65.7,66.5,67.5,52.8,28.5,55.1,34.3,58.4,30.9
Asturian,ast_Latn,Indo-European,Europe 1,True,62.3,97.3,90.6,85.3,87.3,90.2,,,,,,,64.2,55.3,65.2,54.9,66.6,58.0
Awadhi,awa_Deva,Indo-European,Asia 2,True,0.3,4.9,32.7,83.8,84.3,87.7,,,,,,,57.2,26.8,60.1,33.1,62.3,24.9
Central Aymara,ayr_Latn,Aymaran,Americas,True,12.8,99.7,99.7,45.1,64.7,70.6,,,,47.8,52.3,54.8,22.1,16.7,30.4,23.8,35.3,24.3
South Azerbaijani,azb_Arab,Turkic,Asia 1,True,92.0,91.4,91.4,81.9,84.3,85.8,,,,,,,43.7,14.8,46.5,5.4,50.5,23.7
North Azerbaijani,azj_Latn,Turkic,Asia 1,True,99.4,100.0,99.9,81.9,88.7,86.8,84.6,86.8,87.3,,,,49.7,42.7,50.6,44.6,52.3,46.3
Bashkir,bak_Cyrl,Turkic,Europe 2,True,98.7,88.1,98.6,84.3,86.8,86.3,,,,,,,52.9,39.7,56.3,46.4,58.2,50.9
Bambara,bam_Latn,Mande,Africa,True,87.9,89.0,91.9,47.5,58.3,68.1,31.6,36.0,54.8,,,,21.7,16.7,27.2,19.1,37.6,19.3
Balinese,ban_Latn,Austronesian,Asia 3,True,86.7,86.6,91.4,79.4,85.3,86.8,,,,,,,50.4,33.7,54.8,35.8,61.4,42.3
Belarusian,bel_Cyrl,Indo-European,Europe 2,True,100.0,92.8,99.9,86.3,90.7,88.2,,,,,,,48.8,44.2,49.1,45.2,50.2,46.9
Bemba,bem_Latn,Atlantic-Congo,Africa,True,82.3,93.9,98.7,60.3,77.0,80.9,,,,,,,28.5,23.2,38.8,28.6,48.7,36.4
Bengali,ben_Beng,Indo-European,Asia 2,True,100.0,99.9,100.0,86.3,86.3,89.7,85.1,88.3,88.6,75.5,75.0,73.5,58.6,44.0,60.2,46.5,61.7,47.0
Bhojpuri,bho_Deva,Indo-European,Asia 2,True,42.3,84.3,92.8,82.4,84.8,85.8,,,,,,,51.6,33.5,53.5,33.0,56.1,37.8
Banjar (Arabic script),bjn_Arab,Austronesian,Asia 3,True,0.0,0.0,0.0,62.7,74.5,82.4,,,,,,,29.9,5.1,42.7,13.6,47.2,12.2
Banjar (Latin script),bjn_Latn,Austronesian,Asia 3,True,29.8,54.4,72.9,83.3,85.8,84.3,,,,,,,53.9,38.6,56.9,38.0,62.3,48.1
Standard Tibetan,bod_Tibt,Sino-Tibetan,Asia 3,True,99.9,100.0,99.9,73.0,75.0,85.8,40.6,36.0,63.8,,,,28.8,22.5,30.9,18.2,45.1,32.3
Bosnian,bos_Latn,Indo-European,Europe 1,True,99.8,100.0,100.0,86.8,87.7,89.7,,,,,,,65.7,57.9,66.7,61.8,67.8,61.2
Buginese,bug_Latn,Austronesian,Asia 3,True,79.7,3.7,82.8,60.8,75.0,78.4,,,,,,,31.3,19.7,36.5,23.8,43.4,10.1
Bulgarian,bul_Cyrl,Indo-European,Europe 2,True,99.8,100.0,100.0,85.3,88.7,88.2,91.0,94.0,91.3,78.3,79.5,78.5,66.0,62.9,66.3,65.6,67.7,65.7
Bribri,bzd,Chibchan,Americas/Oceania,False,,,,,,,,,,39.7,41.5,37.5,,,,,,
Catalan,cat_Latn,Indo-European,Europe 1,True,99.8,100.0,99.7,85.3,89.2,88.7,91.9,93.9,91.7,81.3,82.8,81.2,68.2,64.5,69.0,67.0,69.7,66.8
Cebuano,ceb_Latn,Austronesian,Asia 3,True,99.1,99.9,99.6,86.3,89.7,86.8,85.9,87.6,90.2,,,,65.1,54.1,66.7,58.1,69.7,60.4
Czech,ces_Latn,Indo-European,Europe 2,True,100.0,99.8,99.9,84.3,88.2,88.2,90.8,92.7,90.0,,,,63.9,56.5,65.2,59.4,65.7,59.1
Chokwe,cjk_Latn,Atlantic-Congo,Africa,True,1.0,8.6,4.2,45.1,52.5,51.5,,,,,,,20.1,14.9,25.7,19.4,26.8,20.1
Central Kurdish,ckb_Arab,Indo-European,Asia 1,True,100.0,100.0,99.4,83.8,84.8,87.3,82.6,71.1,89.6,,,,54.2,33.8,51.3,28.8,60.5,42.9
Asháninka,cni,Arawak,Americas/Oceania,False,,,,,,,,,,36.0,41.7,36.0,,,,,,
Crimean Tatar,crh_Latn,Turkic,Europe 2,True,27.4,76.1,88.7,79.4,82.4,81.4,,,,,,,52.1,30.8,54.5,32.3,57.7,30.2
Welsh,cym_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,83.3,87.7,87.3,,,,,,,71.3,54.2,76.5,70.0,77.2,72.3
Danish,dan_Latn,Indo-European,Europe 1,True,99.2,99.7,98.7,86.8,86.8,89.7,91.6,93.4,92.3,,,,69.8,67.3,70.3,70.6,71.1,58.4
German,deu_Latn,Indo-European,Europe 1,True,100.0,97.5,100.0,86.8,88.7,89.7,91.7,93.8,93.1,75.8,80.2,80.5,66.6,63.6,67.5,66.0,67.9,66.0
Southwestern Dinka,dik_Latn,Nilotic,Africa,True,93.7,82.2,98.9,44.1,45.1,51.5,,,,,,,22.8,15.8,25.8,16.0,27.9,16.8
Dyula,dyu_Latn,Mande,Africa,True,0.0,0.0,0.5,47.1,56.4,62.3,,,,,,,21.0,12.8,24.9,16.5,28.7,13.1
Dzongkha,dzo_Tibt,Sino-Tibetan,Asia 2,True,6.0,0.2,77.9,66.2,72.5,84.8,,,,,,,22.6,19.3,26.8,17.8,39.5,29.8
Greek,ell_Grek,Indo-European,Europe 1,True,100.0,100.0,100.0,85.8,89.2,88.7,91.8,92.4,90.2,78.2,81.3,79.5,59.8,52.7,60.3,54.7,61.8,55.0
English,eng_Latn,Indo-European,Europe 1,True,98.1,99.9,99.2,87.7,88.2,85.8,94.2,95.1,74.3,86.3,88.3,87.3,,,,,,
Esperanto,epo_Latn,Constructed,Europe 2,True,100.0,100.0,100.0,86.3,88.2,88.2,,,,,,,66.3,59.2,67.7,60.8,68.2,62.1
Estonian,est_Latn,Uralic,Europe 1,True,99.9,100.0,100.0,86.8,87.3,86.3,88.6,92.6,90.0,,,,62.4,54.9,63.7,58.3,64.5,58.9
Basque,eus_Latn,Basque,Europe 1,True,99.8,99.9,99.9,83.8,88.7,87.3,87.3,91.3,90.3,,,,56.3,48.7,58.4,52.0,59.2,54.5
Ewe,ewe_Latn,Atlantic-Congo,Africa,True,99.6,100.0,100.0,46.6,53.4,79.4,,,,41.2,42.0,53.2,23.4,18.8,27.1,20.7,42.2,2.8
Faroese,fao_Latn,Indo-European,Europe 1,True,91.2,98.6,97.3,83.8,87.3,90.2,,,,,,,57.9,40.5,62.6,49.5,63.6,51.9
Fijian,fij_Latn,Austronesian,Oceania,True,99.5,100.0,99.8,52.9,82.8,82.8,,,,,,,28.5,22.6,42.5,41.7,46.1,39.2
Finnish,fin_Latn,Uralic,Europe 1,True,100.0,100.0,100.0,87.3,87.7,90.2,90.9,93.3,89.8,,,,60.1,55.5,60.7,58.4,61.7,58.8
Fon,fon_Latn,Atlantic-Congo,Africa,True,11.9,2.6,68.6,36.8,45.6,68.1,,,,,,,18.5,9.7,21.7,13.7,33.0,5.8
French,fra_Latn,Indo-European,Europe 1,True,99.9,95.2,99.9,87.3,86.8,87.3,92.0,94.1,91.1,80.8,80.0,81.5,66.5,68.9,67.7,71.5,68.0,70.9
Friulian,fur_Latn,Indo-European,Europe 1,True,91.7,96.9,99.8,80.9,87.3,87.3,,,,,,,57.1,42.1,62.9,44.4,65.7,31.8
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,Africa,True,48.6,68.9,75.3,49.5,65.7,70.6,27.1,30.8,34.3,,,,22.1,15.3,27.7,17.6,32.9,13.6
West Central Oromo,gaz_Latn,Afro-Asiatic,Africa,True,100.0,99.9,100.0,52.9,85.8,80.4,51.4,66.9,72.8,58.7,66.8,70.3,33.5,17.5,46.9,32.1,50.7,37.2
Scottish Gaelic,gla_Latn,Indo-European,Europe 1,True,98.3,100.0,96.3,81.4,88.7,89.2,,,,,,,52.2,39.3,60.0,50.1,61.1,50.8
Irish,gle_Latn,Indo-European,Europe 1,True,99.9,98.8,100.0,87.7,87.7,90.2,,,,,,,59.8,44.1,64.8,57.0,66.5,58.7
Galician,glg_Latn,Indo-European,Europe 1,True,93.5,97.4,96.3,82.4,89.2,86.8,,,,,,,64.1,60.5,65.1,62.7,66.1,63.3
Guarani,grn_Latn,Tupian,Americas,True,4.6,99.6,99.8,71.1,80.9,83.8,44.4,72.3,78.3,51.7,56.3,57.7,34.1,18.3,46.0,28.1,50.3,32.5
Gujarati,guj_Gujr,Indo-European,Asia 2,True,99.9,99.6,100.0,82.4,85.8,89.2,84.0,86.6,87.6,72.8,73.2,72.7,62.4,49.0,63.5,39.3,66.6,51.7
Haitian Creole,hat_Latn,Indo-European,Americas,True,98.8,99.9,99.1,83.8,87.3,85.8,84.7,88.3,85.7,,,,61.1,49.5,64.0,53.4,65.1,53.1
Hausa,hau_Latn,Afro-Asiatic,Africa,True,100.0,100.0,99.9,80.4,82.8,85.3,73.4,79.0,81.2,65.7,72.0,70.0,52.0,43.9,56.0,49.0,59.0,50.2
Wixarika,hch,Uto-Aztecan,Americas/Oceania,False,,,,,,,,,,36.5,36.5,33.7,,,,,,
Hebrew,heb_Hebr,Afro-Asiatic,Asia 1,True,100.0,97.6,100.0,86.8,88.2,89.2,88.9,90.7,90.8,,,,65.9,57.0,67.2,59.0,67.9,60.9
Hindi,hin_Deva,Indo-European,Asia 2,True,98.8,99.1,99.6,86.8,85.8,87.7,82.7,85.4,86.8,75.5,78.7,77.0,63.7,53.0,64.7,53.4,66.1,55.5
Chhattisgarhi,hne_Deva,Indo-European,Asia 2,True,13.7,37.3,36.2,84.8,89.2,86.8,,,,,,,59.6,29.4,63.5,34.5,68.0,26.1
Croatian,hrv_Latn,Indo-European,Europe 2,True,92.5,72.7,99.4,87.7,87.7,89.2,89.9,92.7,91.6,,,,62.7,56.3,63.6,59.2,64.5,59.2
Hungarian,hun_Latn,Uralic,Europe 2,True,100.0,100.0,100.0,84.8,89.2,87.7,73.9,92.9,40.7,,,,60.5,53.2,61.5,57.0,63.0,56.4
Armenian,hye_Armn,Indo-European,Asia 1,True,100.0,100.0,100.0,84.8,88.2,85.3,86.3,89.4,88.2,,,,61.0,49.6,64.0,53.2,65.3,56.0
Igbo,ibo_Latn,Atlantic-Congo,Africa,True,100.0,99.9,100.0,81.4,86.3,82.8,58.1,66.8,74.4,66.3,67.3,68.0,45.4,35.2,51.1,38.4,55.2,42.5
Ilocano,ilo_Latn,Austronesian,Asia 3,True,63.9,99.3,83.1,80.9,84.3,87.3,71.9,71.2,61.7,,,,51.7,39.5,55.3,42.9,63.3,53.6
Indonesian,ind_Latn,Austronesian,Asia 3,True,91.1,98.6,98.5,87.3,88.2,89.2,89.8,92.0,90.1,82.8,87.2,81.2,66.2,66.7,68.0,69.7,68.6,69.0
Icelandic,isl_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,86.3,86.3,91.7,88.3,90.0,89.4,,,,58.3,46.1,60.8,53.5,61.7,53.5
Italian,ita_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,87.7,91.7,87.3,90.4,92.7,88.2,,,,58.5,59.4,58.6,60.1,59.9,60.7
Javanese,jav_Latn,Austronesian,Asia 3,True,84.0,99.8,100.0,83.8,85.8,86.3,84.2,88.6,89.7,,,,59.4,44.3,63.7,53.3,65.0,51.8
Japanese,jpn_Jpan,Japonic,Asia 4,True,99.8,100.0,100.0,84.3,88.7,89.2,88.8,89.8,87.8,71.0,81.3,70.8,53.5,31.9,54.6,35.5,56.0,34.3
Kabyle,kab_Latn,Afro-Asiatic,Africa,True,53.3,43.7,20.2,31.9,49.0,77.0,,,,,,,24.8,17.3,29.0,20.7,47.6,21.9
Jingpho,kac_Latn,Sino-Tibetan,Asia 3,True,72.6,83.9,64.4,42.6,49.5,75.5,31.7,32.9,61.6,,,,20.1,21.0,23.7,24.3,37.3,35.4
Kamba,kam_Latn,Atlantic-Congo,Africa,True,8.7,51.7,55.4,49.5,73.0,72.1,,,,,,,24.4,16.3,34.3,23.6,38.2,23.9
Kannada,kan_Knda,Dravidian,Asia 2,True,100.0,98.4,100.0,85.3,87.3,87.3,86.1,87.4,88.1,71.0,72.8,72.8,56.7,45.5,57.5,41.0,60.8,51.9
Kashmiri (Arabic script),kas_Arab,Indo-European,Asia 2,True,93.6,93.6,91.7,78.9,81.9,85.8,,,,,,,35.9,13.1,46.9,18.5,55.9,17.9
Kashmiri (Devanagari script),kas_Deva,Indo-European,Asia 2,True,44.8,76.0,43.2,69.1,77.5,83.3,,,,,,,28.2,11.9,42.6,13.9,48.2,12.5
Georgian,kat_Geor,Kartvelian,Asia 1,True,100.0,99.5,100.0,86.8,86.3,88.2,86.8,90.1,88.6,,,,54.2,46.5,56.1,48.4,57.2,52.5
Kazakh,kaz_Cyrl,Turkic,Asia 1,True,99.8,99.8,99.9,86.3,87.3,87.7,83.4,87.7,86.3,,,,57.7,48.0,60.6,52.0,61.6,53.7
Kabiyè,kbp_Latn,Atlantic-Congo,Africa,True,0.0,1.4,81.6,41.7,47.5,76.5,,,,,,,21.0,9.7,22.4,14.0,33.8,17.9
Kabuverdianu,kea_Latn,Indo-European,Africa,True,33.6,71.7,90.5,83.3,85.8,86.8,69.9,83.6,78.1,,,,62.1,32.7,69.7,46.9,72.2,51.8
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,Asia 4,True,100.0,100.0,100.0,80.9,83.8,84.8,79.3,86.2,85.1,,,,53.1,39.6,57.3,46.7,58.5,47.1
Khmer,khm_Khmr,Austroasiatic,Asia 3,True,100.0,100.0,100.0,82.8,87.7,88.7,82.1,83.4,87.3,,,,53.8,33.2,55.2,29.2,59.7,40.0
Kikuyu,kik_Latn,Atlantic-Congo,Africa,True,99.7,99.5,100.0,57.8,77.0,77.5,,,,,,,26.9,20.0,38.6,24.9,47.3,32.1
Kinyarwanda,kin_Latn,Atlantic-Congo,Africa,True,99.9,99.6,100.0,82.4,87.3,87.3,71.8,79.0,79.8,60.8,67.5,62.2,49.4,35.6,54.6,46.1,56.6,47.5
Kyrgyz,kir_Cyrl,Turkic,Asia 1,True,99.7,98.9,99.8,86.8,87.7,87.7,83.4,87.3,87.9,,,,50.5,41.0,52.4,45.1,53.9,46.3
Kimbundu,kmb_Latn,Atlantic-Congo,Africa,True,0.3,12.7,41.9,43.1,55.9,65.2,,,,,,,22.3,18.3,25.4,20.4,33.9,23.8
Northern Kurdish,kmr_Latn,Indo-European,Asia 1,True,99.8,99.7,99.9,81.9,80.4,88.7,,,,,,,50.6,17.9,48.6,29.1,57.4,39.0
Central Kanuri (Arabic script),knc_Arab,Nilotic,Africa,True,0.0,0.1,2.8,26.0,34.3,27.5,,,,,,,13.3,4.1,20.5,6.8,19.3,8.9
Central Kanuri (Latin script),knc_Latn,Nilotic,Africa,True,1.5,0.2,1.8,48.0,52.5,48.0,,,,,,,22.6,14.4,25.8,19.1,23.8,17.0
Kikongo,kon_Latn,Atlantic-Congo,Africa,True,14.7,81.4,96.1,60.8,76.5,82.8,,,,,,,26.3,17.6,39.4,29.2,46.0,26.6
Korean,kor_Hang,Koreanic,Asia 4,True,100.0,100.0,100.0,85.3,84.3,85.3,88.7,90.6,82.7,80.0,86.2,81.7,56.2,35.2,57.5,37.4,58.3,37.8
Lao,lao_Laoo,Tai-Kadai,Asia 3,True,100.0,100.0,100.0,84.8,87.3,89.2,78.7,76.0,82.9,,,,57.8,40.7,57.4,35.8,63.4,47.2
Ligurian,lij_Latn,Indo-European,Europe 1,True,81.9,90.5,97.7,84.3,82.8,86.3,,,,,,,59.5,34.7,63.6,35.1,67.5,43.8
Limburgish,lim_Latn,Indo-European,Europe 1,True,31.6,92.6,65.6,79.9,85.3,86.8,,,,,,,62.2,37.5,64.7,37.8,67.3,42.2
Lingala,lin_Latn,Atlantic-Congo,Africa,True,98.9,100.0,99.9,60.8,84.8,84.3,40.4,66.4,77.0,33.7,32.3,32.2,30.6,24.8,45.6,42.3,50.0,42.3
Lithuanian,lit_Latn,Indo-European,Europe 1,True,100.0,99.7,100.0,86.3,86.8,86.8,90.0,91.4,92.1,,,,59.1,53.2,60.2,56.4,61.5,57.0
Lombard,lmo_Latn,Indo-European,Europe 1,True,64.0,88.1,89.9,83.8,84.8,87.3,,,,,,,59.0,31.2,62.0,32.1,64.4,32.1
Latgalian,ltg_Latn,Indo-European,Europe 2,True,99.3,99.8,99.7,82.4,85.8,90.2,,,,,,,47.3,28.3,58.7,29.6,65.1,40.8
Luxembourgish,ltz_Latn,Indo-European,Europe 1,True,99.8,99.8,99.9,85.8,87.7,88.7,,,,,,,67.2,47.9,69.7,56.5,70.8,58.4
Luba-Kasai,lua_Latn,Atlantic-Congo,Africa,True,2.8,27.1,94.6,51.0,59.3,65.7,,,,,,,25.6,18.6,31.3,22.2,42.2,32.6
Ganda,lug_Latn,Atlantic-Congo,Africa,True,99.0,99.7,99.6,66.2,78.9,79.9,44.3,62.3,70.4,56.3,66.0,67.0,35.4,21.6,47.4,32.7,50.4,35.6
Luo,luo_Latn,Nilotic,Africa,True,73.2,98.8,99.2,51.5,75.0,74.0,32.3,42.0,58.0,,,,21.3,21.1,35.1,30.3,39.9,35.0
Mizo,lus_Latn,Sino-Tibetan,Asia 2,True,95.3,99.8,98.9,74.0,77.5,86.8,,,,,,,33.2,30.6,35.9,29.5,44.5,35.9
Standard Latvian,lvs_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,85.8,89.2,89.2,91.1,93.1,93.4,,,,60.5,56.1,61.7,60.2,62.8,60.6
Magahi,mag_Deva,Indo-European,Asia 2,True,0.0,0.1,0.0,84.8,85.8,86.3,,,,,,,61.9,37.3,64.7,40.0,67.5,32.8
Maithili,mai_Deva,Indo-European,Asia 2,True,83.6,88.1,86.7,85.3,86.3,87.7,,,,,,,59.9,34.7,63.1,40.3,66.7,47.1
Malayalam,mal_Mlym,Dravidian,Asia 2,True,100.0,98.9,100.0,84.8,85.3,87.7,84.2,86.7,82.8,71.8,72.0,70.0,58.8,43.2,60.4,39.8,62.0,40.7
Marathi,mar_Deva,Indo-European,Asia 2,True,99.8,99.7,99.8,86.3,86.3,86.8,85.6,87.8,88.0,68.8,71.8,70.2,59.9,44.4,61.9,45.6,62.9,45.9
Minangkabau (Arabic script),min_Arab,Austronesian,Asia 3,True,0.2,0.7,0.0,46.1,77.0,77.0,,,,,,,26.6,1.5,41.8,15.6,44.5,13.1
Minangkabau (Latin script),min_Latn,Austronesian,Asia 3,True,45.9,87.2,86.1,83.8,84.3,85.8,,,,,,,54.7,43.6,57.4,41.9,63.4,52.2
Macedonian,mkd_Cyrl,Indo-European,Europe 2,True,99.7,98.3,100.0,85.8,88.2,89.7,89.3,91.3,90.0,,,,65.1,58.2,66.3,62.3,67.6,63.5
Maltese,mlt_Latn,Afro-Asiatic,Europe 1,True,100.0,100.0,99.9,86.3,89.2,88.2,86.9,90.2,87.9,,,,72.6,61.2,74.4,66.4,76.0,69.2
Meitei (Bengali script),mni_Beng,Sino-Tibetan,Asia 2,True,98.3,93.9,100.0,61.3,71.1,81.9,,,,,,,23.1,6.9,30.9,11.3,48.9,22.3
Mossi,mos_Latn,Atlantic-Congo,Africa,True,1.0,20.7,83.7,41.2,44.1,48.5,,,,,,,20.5,13.8,23.6,16.6,26.2,16.1
Maori,mri_Latn,Austronesian,Oceania,True,99.9,100.0,99.9,68.6,84.3,87.7,57.7,73.9,78.2,,,,43.6,38.3,53.3,47.9,54.3,47.3
Burmese,mya_Mymr,Sino-Tibetan,Asia 3,True,100.0,99.9,100.0,85.3,88.2,84.3,80.7,81.0,86.4,72.2,72.8,73.5,49.7,30.0,51.8,32.6,56.4,39.4
Nahuatl,nah,Uto-Aztecan,Americas/Oceania,False,,,,,,,,,,47.2,48.5,48.8,,,,,,
Dutch,nld_Latn,Indo-European,Europe 1,True,99.9,99.9,99.9,85.8,88.7,85.8,89.9,92.4,89.4,,,,57.8,55.4,57.8,57.0,58.9,57.0
Norwegian Nynorsk,nno_Latn,Indo-European,Europe 1,True,99.5,97.9,99.5,86.8,88.7,88.2,,,,,,,67.1,57.6,68.2,61.5,68.5,60.1
Norwegian Bokmål,nob_Latn,Indo-European,Europe 1,True,99.0,99.8,99.7,86.8,87.3,86.3,90.3,92.7,90.3,,,,66.3,59.2,67.3,60.9,67.6,60.1
Nepali,npi_Deva,Indo-European,Asia 2,True,100.0,98.5,100.0,85.3,88.2,87.3,83.7,86.3,87.1,,,,62.6,45.7,65.1,47.7,66.4,51.1
N'ko,nqo_Nkoo,Atlantic-Congo,Africa,False,,,,19.1,20.1,63.2,,,,,,,,,,,,
Northern Sotho,nso_Latn,Atlantic-Congo,Africa,True,99.6,98.7,97.0,70.1,86.3,85.8,56.7,75.1,77.9,,,,47.1,30.6,59.2,47.9,62.8,50.4
Nuer,nus_Latn,Nilotic,Africa,True,12.5,40.1,36.3,34.3,44.6,38.2,,,,,,,19.5,12.2,21.4,14.0,20.5,7.5
Nyanja,nya_Latn,Atlantic-Congo,Africa,True,98.5,100.0,99.4,75.0,82.8,84.8,64.9,72.9,77.6,,,,44.0,37.4,49.9,44.0,53.2,46.5
Occitan,oci_Latn,Indo-European,Europe 1,True,93.8,99.0,97.6,83.8,87.3,88.7,,,,,,,70.9,54.2,74.1,62.7,74.8,65.2
Odia,ory_Orya,Indo-European,Asia 2,True,100.0,99.4,99.3,84.3,87.7,88.2,81.9,85.3,86.8,67.3,70.5,68.8,56.6,33.0,58.3,36.4,63.0,47.9
Otomi,oto,Oto-Manguean,Americas/Oceania,False,,,,,,,,,,36.3,40.7,34.2,,,,,,
Pangasinan,pag_Latn,Austronesian,Asia 3,True,35.3,51.8,97.9,77.9,79.4,85.3,,,,,,,46.2,29.3,47.0,28.5,56.3,41.3
Eastern Panjabi,pan_Guru,Indo-European,Asia 2,True,100.0,99.8,100.0,86.3,88.7,89.7,84.0,85.4,88.9,75.0,75.3,77.8,61.0,33.9,61.8,42.6,64.8,45.3
Papiamento,pap_Latn,Indo-European,Americas,True,98.0,98.4,97.7,80.9,86.8,88.2,,,,,,,65.4,46.9,69.1,51.1,73.1,61.3
Jamaican Patois,pat,English-Creole,Americas/Oceania,False,,,,,,,,,,88.2,90.0,87.3,,,,,,
Southern Pashto,pbt_Arab,Indo-European,Asia 1,True,94.6,100.0,99.7,81.4,86.3,86.3,78.2,85.3,84.8,,,,53.8,23.0,57.9,35.1,59.5,35.9
Western Persian,pes_Arab,Indo-European,Asia 1,True,99.7,99.1,99.9,86.3,86.8,85.3,88.2,91.2,89.0,,,,60.7,50.0,61.8,52.3,63.0,52.7
Plateau Malagasy,plt_Latn,Austronesian,Africa,True,100.0,100.0,100.0,80.4,80.9,81.4,80.2,87.3,88.2,,,,50.5,42.0,54.5,49.0,56.9,43.7
Polish,pol_Latn,Indo-European,Europe 2,True,100.0,100.0,100.0,83.8,86.3,87.7,89.4,91.9,89.2,87.7,83.5,81.2,56.3,50.2,56.8,51.6,58.1,51.6
Portuguese,por_Latn,Indo-European,Europe 1,True,100.0,100.0,99.9,85.3,85.3,87.3,87.0,93.0,34.0,95.5,96.8,95.7,69.9,68.5,71.1,71.7,71.8,70.5
Dari,prs_Arab,Indo-European,Asia 1,True,99.7,99.2,99.3,87.7,85.8,89.2,,,,,,,61.2,43.7,63.2,46.3,64.5,48.1
