question,gemini_reply
"Kolanda maloba wana, maloba nini esosolisi malamu bizaleli ya bituluku ya bafourmis na ngonga batambolaka kokende bisika misusu?","The correct answer is **C: Babongolaka bandako mikolo nyonso**

Here's why:

*   **The text states:** ""...lisanga ezalaki kosala bandako ya ango moke oyo bazalaki kobongola mikolo nyonso."" This directly supports option C.
Here's why the other options are incorrect:

*   **A: Batongaka bandako na Butu:** The text says they make camp during the day so that they don't travel, implying they build temporary shelters during the day.
*   **B: Batamboalaka mikolo 17 na kozanga kotonga bandako:** The text says it took approximately 17 days per move and that they built and changed shelters along the way.
*   **D: Basalelaka kaka bandako wana pona ngonga nyonso ya kotambola:** The text states that they change shelters every day."
Nini na kati ya mae malandi ekokoba atasoki ba molongo ezali?,"The correct answer is **A: Bileko endogene**.

Here's why:

* **The passage states:** ""...bahorloge ya biologie ebalukaka yango moko, yango wana ekobaka kosala yango moko ata soki eza te ata na elembo moko euti libanda."" This means the biological clocks and rhythms they control continue even without external cues.
* **The passage also states:** ""Makambo mingi oyo emonana na bizaleli ya bato mpe na ndenge bato basalaka makambo etalelaka mbala mingi na bileko ebengami endogènes mpe basalaka yango na bamontre ya biologie."" This directly links the internal rhythms (that continue without external cues) to the ""endogenous"" cycles.

Therefore, endogenous cycles are what continue even in the absence of external signals.
"
Maloba nini elimboli malamu bato oyo bazali komonisa bilembo ya kolandana?,"The correct answer is **D: Polymorphic**.

The passage states: ""Soki bato mingi bamonisi lolenge mingi ekeseni ya ezaleli moko bablobaka bazali polymorphes."" which translates to ""If many people show many different forms of a characteristic, they are called polymorphes."" This directly relates to showing variations of traits.
"
Maloba nini na mae malandi ekokani na ba organes oyo evandi na esika songolo pakala?,"Maloba oyo ekokani na ba organes oyo evandi na esika songolo pakala, dictionnaire, to ""anatomie ya moto"" elobi te ete ""bato"" nde nde yango. Maloba oyo eleki kolakisa likanisi ya bato ya lolenge moko na lisanga moko nde ""monomorphic"". Yango wana, eyano ya malamu ezali:

**A: Monomorphic**
"
Nini na mae malandi ekoki te kozala Bozalisi ya nature ?,"Maloba oyo ezali malamu ezali **C: Kokende kotala Misee ya sience.**

Polozi ekomi lisusu ete Bozalisi ya nature etali kosala makambo oyo etali kolinga mpe koyekola kitoko ya biloko oyo eza na libanda. Koyekola musée ya science eza te na lolenge wana.
"
"Kolanda maloba wana, nini na mae malandi ezali motuya pona lolenge ya transport?","The correct answer is **B: Mituka ya bato** (Private cars).

Here's why:

The passage focuses on the fact that *individual private cars* are the main mode of transport contributing to the problem. The passage specifically mentions ""ebongiseli ya transport oyo esalemaki na mituka ya bato bango moko"" (a transport system made up of individual private cars) as the problem.

Let's eliminate the others:

*   **A: Bisika ya kosala mosala (Workplaces):** Workplaces are not the focus of the passage. The problem lies in how people *get* to work.
*   **C: Biosphere ya kofanda esika moko (A habitable biosphere):** While the passage does mention the biosphere being negatively impacted, it's a consequence of the transport method, not the central focus.
*   **D: Lolenge ya bato kokola (The way humans thrive):** The passage says that the current mode of transportation is harming the biosphere which sustained human growth.

Therefore, the key factor regarding the mode of transport is the use of private cars.
"
Biteni oyo ezalaka nzinganzinga ya nucleus ezali na courant ya lolenge nini?,"The correct answer is **C: Courant ya mabe**

The passage states: ""Baelectron ezalaka na courant ya mabe."" Baelectrons are the particles orbiting the nucleus.
"
Nucleus ezalaka na biteni boni?,"The correct answer is **A: BaProtons na baNeutrons**.

The passage states: ""Noyau ezalaka na biteni mibale - baneutron na baproton."" (The nucleus is made of two parts - neutrons and protons.)
"
"Kolanda maloba wana, na mae malandi nini ezali ndakisa ya botangi oyo ezali ya mitango binaire?","Likambo etali kotanga mitango ya binaire elobi ete elembo moko na moko esengeli kozala to 0 to 1. Na kati ya maponami oyo bapesaki, maponami nyonso ezali na elembo 0 mpe 1, kasi ezali na elembo mosusu te. Boye, maponami nyonso A, C, mpe D ezali ndakisa ya mitango ya binaire. Kasi, maponami B ezali na elembo 2, yango wana ezali mitango ya binaire te.

Lokola mituna etangi maloba ya binaire te na kati ya maloba ya nse, tokozwa ete bandakisa nyonso oyo ezali mitango ya binaire ezali eyano malamu. Yango wana, maponami A, C, mpe D ezali mpe malamu.
"
Kombo mosusu ya mitango ezalaka nini?,"The correct answer is **A: Ba bites**.

The passage states: ""...babengaka mintango wana mintango ya binaire - to bits, soki tosaleli elobeli ya bato ya ordinatere.""  This clearly indicates that ""bits"" is another name for those numbers (binary digits).
"
Nini na mae malandi ezali te kati ya litomba pona moyekoli kokoma na internet ?,"The correct answer is **B: Kokitisa kotongama na baninga** (Decreasing dependence on peers).

The passage states that blogging can improve writing skills, increase awareness of the world, and foster a desire to learn. It does not mention anything about decreasing dependence on peers. In fact, the collaborative nature of blogging might even suggest the opposite, increasing interaction and potentially some reliance on feedback from others.
"
Na mae matali kokoma na internet nini elobami kotinda bayekoli pona komatisa lolenge na bango ya kokoma?,"The correct answer is **B: Mposa ya koboya kotongama** (The desire to avoid criticism).

The passage states that students, wanting to avoid being criticized by their audience, will strive to improve their writing skills. This aligns directly with option B.

Let's look at why the other options are incorrect:

*   **A: Kolobelela mbala na mbala biloko kouta na internet** (Referencing sources on the internet repeatedly): While the passage mentions internet responses and research, it doesn't directly link repeated referencing to improved writing.
*   **C: Kosala ete bato oyo batangaka biloko na bango bakoma kotanga** (Making people who read their things write): The focus is on students *improving their writing*, not on making *readers* write.
*   **D: Mposa ya kosala elongo na basusu** (The desire to collaborate with others): While blogs encourage collaboration, the *primary* driver for improved writing mentioned in the passage is the desire to avoid criticism."
Nini na kati ya mae malandi ezali te litomba ya kosolola asynkrone pona bayekoli? ,"Based on the passage, the correct answer is:

**B: Kokutana na bakambi moko na moko mikolo nyonso (Meeting instructors one-on-one every day)**

Here's why:

*   The passage highlights the benefits of asynchronous communication as flexibility in time and pace of learning. It states that it allows students to ask questions and receive answers promptly, *instead* of waiting for face-to-face meetings. This implies asynchronous learning does *not* guarantee or require daily in-person meetings with instructors.

The other options *are* mentioned as benefits or related to benefits in the passage:

*   A: Kosalela internet neti lisungi (Using the internet as support) - The passage explicitly mentions the use of the internet and websites to access information.
*   C: Ba ngonga malamu ya kosala musala (Flexible work hours) - The passage mentions fewer restrictions on scheduling work.
*   D: Kobatela vitesi (Maintaining pace) - The passage highlights the ability to work at one's own pace and follow the pace of the lessons."
"Kolanda maloba wana, eteni nini ya kosolola asynkrone ezali pete te pona bayekoli?","The correct answer is **C: Bisaleli ya ba ndingisa**.

Here's why:

*   The text states: ""Lisusu, eza na bipekiseli moke na likoki ya kobongola bangonga ya mosala."" (""Also, there are few restrictions on the ability to change work schedules."") This means scheduling is *easier*, not difficult.
*   The text does not discuss that using the internet is difficult.
* The text specifically states that asynchrone learning allow to work at own learning pace.

Therefore, the other answer must be more of a difficulty to asynchronous learning."
Na maloba wana nini etangemi te lokola eloko oyo moto akoki kokokanisa yango na ba ndako ya medieval ya kala?,"The correct answer is **A: Mabulu ya molili** (Dark dungeons).

Here's why:

*   **The passage specifically mentions *feeling* the terror from the dungeons.** It does not say that one can imagine the dark dungeons.
*   **B: Ba joutes (Jousts), C: Chevalerie (Chivalry), and D: Bapunda (Horses)** are all explicitly mentioned as things that people *imagine* or associate with medieval castles."
Na maloba wana nini na mae malandi epatami te lokola solo to mongongo oyo ekoki kondimama kozala bobebi ya ndako?,"The correct answer is **B: Somo**.

Here's why:

The passage discusses ideas that may or may not be true. The passage specifically mentions ""somo (somo)"" as something one might *imagine* feeling in the dungeons (""koyoka bobangi ezouta na mabulu ya donjon""), but not as a definitive *feature* or *cause* of the castle's ruin.

The other options (bitumba, bafeti, basapatu) are more directly linked to activities and realities related to the historical life in a castle, even if the passage is questioning their exact nature or accuracy.
"
Nini na mae malandi elimboli malamu ndako ya Kirby Muxloe?,"The correct answer is **B: Na ngonga ya kotonga esengaki kokembisama mukie mpo kimia ezalaki na mboka na ngonga wana**.

Here's why:

*   **The passage states:** The house was not built for serious defense because the area was relatively peaceful when construction began. It only needed to defend against small bands of robbers. This implies that the house was designed with less emphasis on defense and more on aesthetics because of the peaceful environment.

Let's look at the other options:

*   **A: Bifelo ya ndako esengamaki na Lord Hastings:** While Lord Hastings did start building the house, the passage doesn't focus on the design of the walls specifically being due to him.
*   **C: Botongi ya ndako ekokanaki te na tango ya kala:** This is true in a way, but the *reason* for its unconventional construction (peaceful times) is more directly supported by the text.
*   **D: Etongamaki pona kotelemela bitumba ya molai mpe makasi:** The passage explicitly says the opposite. It wasn't built to withstand prolonged or serious attacks."
Lolenge nini elakisi ete botongi ya ndako Kirby Muxloe ezalaki ya bokeseni na tango ya kala oyo elobami na maloba wana?,"Eyano ya malamu ezali **D: Bifelo mikiemikie**.

Pesa ndimbola:

*   **Maloba elobi polele** ete ndako ya Kirby Muxloe ezalaki na ""bifelo na yango ya mike.""
*   Na ntango ya bitumba, bifelo ya mike ezalaki malamu te, kasi ezalaki lokola ntango ezalaki na kimia mpe mposa ya libateli ya makasi ezalaki mingi te.

Biyano mosusu ezali mpenza te:

*   **A: Maninisa minene:** Maloba emonisi kaka maninisa ya talatala, kasi emonisi te ete yango ezali lolenge oyo ezali na bokeseni.
*   **B: Fondation etongamaki pona kotelemela bitumba:** Maloba emonisi nde ndako yango etongamaki na ntango ya kimia, elingi koloba te ete ezali na fondation oyo etongamaki mpo na kolonga bitumba.
*   **C: Ekembisamaki mukie kokesana na bandako misusu:** Maloba elobi te likoló ya lolenge nini balakisaki na ndako yango."
"Kolanda maloba wana, nini na mae malandi ekoki kozala litomba monene pona atlete oyo azali kolengela saison?","The correct answer is **D: Kosala momesano na salle de sport pona kokembisa eteni ya likolo ya nzoto.**

Here's why:

* **The passage emphasizes:**
    * **Endurance is more important than speed** in longer distances (like the half-mile).
    * **Developing endurance during the off-season (winter)** through cross-country running and upper body exercises.
* **Why option D is the best fit:** The passage directly states that upper body exercises are a good way to prepare during the off-season.
* **Why the other options are less suitable:**
    * **A: Kopota mwa mbangu ya kokima na mboka na tango ya molunge:** The passage specifically mentions winter cross-country running as preparation.
    * **B: Kosala makasi pona komatisa vitesi na ngonga ya momesano to exercise:** The passage states that speed becomes less important as the distance increases.
    * **C: Kokokisa limite ya minute misato:** While a good time is mentioned for a shorter distance (2 minutes for a quarter-mile), the passage doesn't say anything about the 3-minute limit.

Therefore, option D directly reflects the text's advice on off-season training.
"
"Kolanda maloba wana, nini ezali ya motuya mingi pona atlete ya malamu ya half-mile?","The correct answer is **B: Kokolisa bopikiliki na esika ya mbangu**.

Here's why:

*   The passage states that once the distance increases to the half-mile, speed becomes less important and endurance becomes more important (""vitesse ekomaki ntina mingi te mpe kokanga motema ekomaki ntina mingi""). This directly supports the idea of prioritizing endurance over speed."
"Pona atlete , na mae malandi nini ekoki te kozuama kaka na nzela ya koliya malamu?","Based on the passage, eating well alone cannot guarantee everything an athlete needs, but it can greatly influence their well-being. Let's analyze the options:

*   **A: Mosala ya malamu (Good work/Performance):** The passage states that good nutrition, hydration, and knowledge can help athletes improve their abilities. So, good performance CAN be influenced by eating well.

*   **B: Esengo ya mingi (More happiness/More Joy):** The passage mentions enjoying their sports more. This suggests that happiness related to sports can be influenced by eating well.

*   **C: Mosala ya malamu mingi (Very Good Work/Excellent Performance):** Similar to A, excellent performance can also be influenced by eating well, but not guaranteed by it alone.

*   **D: Kozala malamu na lolenge nyonso (Being well in every way/Holistic well-being):** While eating well contributes to overall well-being, it's not the only factor. Factors like mental health, social support, and other life aspects also play a crucial role. Therefore, eating well alone cannot guarantee holistic well-being.

**Conclusion:**

The passage implies that good nutrition is crucial but not the *only* factor for excellent performance, or complete joy. Therefore, **D: Kozala malamu na lolenge nyonso** is the correct answer. Eating well alone cannot ensure complete well-being in every aspect of life.
"
"Kolanda maloba wana, na mae malandi toli nini oyo epesameli te na baatletes ya mikie mpona kozua esengo na spor na bango?","The passage says:

*   Good nutrition alone isn't enough, but it can positively impact young athletes.
*   Good physical health, staying hydrated, and knowing various things can improve performance and enjoyment.

Based on this, the passage suggests:

*   Good nutrition (Option A is related)
*   Staying hydrated (Option C)
*   Good physical health (Option D is related, meaning being physically strong)

The passage **does not** suggest that athletes should ""work very hard all the time"". The emphasis is on *overall* well-being and knowledge, not just pushing themselves constantly. Therefore, the correct answer is:

**B: Kosala mosala malamu mingi ngonga nyonso**
"
"Kolanda maloba wana, pona nini atlete ya course ya distance ndambu akoki kosomba esaleli ya talo mingi?","Eyano ya malamu ezali: **A: Ezali oyo alingi**

Posa elobeli ete, atlete akoki kosomba eloko ya talo mingi mpo alingi, ata soki eloko yango esalisi ye mingi te. Na maloba mosusu, ekoki kozala pona esengo na ye moko.
"
"Kolanda maloba wana, course ya distance ndambu esengi nini?","The correct answer is **C: Bisaleli mukie** (Few materials).

The passage clearly states that middle-distance running doesn't require a lot of expensive equipment and that many things athletes think they need don't actually provide a real benefit. Therefore, few materials are needed.
"
Nani amonaki résonance magnétique nucléaire liboso? ,"The correct answer is **C: Bloch and Purcell**.

The passage states: ""Ekzame IRM esalemaka na kolanda likambo moko ya physique oyo babengaka résonance magnétique nucléaire (RMN), oyo babimisaki na mibu 1930 na Felix Bloch (oyo asalaka na Université ya Stanford) pe Edward Purcell (ya Université ya Harvard).""
"
Na mbula nini diplome ya yambo epesamaki pona bilili na résonance magnétique ? ,"The correct answer is **B: Mbula 1974**.

The text states: ""Mibu minei na nsima, bapesaki diplome, oyo ezalaki diplome ya liboso oyo bapesaki na makambo ya IRM."" and prior to this it states, ""Na mbula 1970, Raymond Damadian, monganga mpe molukiluki ya makambo ya siansi, amonaki bantina ya kosalela bilili na résonance magnétique mpona koyeba maladi.""
"
"Kolanada maloba wana, esengeli na bato kososola eloko nini makasi mingi pona kolimbola bizaleli ya komonana ya bato misusu?","Mpo na kolanda maloba wana, likambo ya ntina mingi ezali **B: Ntina**.

Maloba mamonisi ete tosengeli koluka ntina ya bizaleli ya moto liboso ya kosambisa ye. Na ndakisa, koluka ntina ya moto kobuka talatala ya motuka. Ntina ekoki kozala koyiba, kasi ekoki pe kozala koluka kokota na motuka na ye moko.
"
"Kolanda maloba wana, kososola ntina esungaka bato pona kosala nini?","The correct answer is **C: Kotala bato misusu kozanga ko juger bango (To observe others without judging them)**.

Here's why:

* **The passage emphasizes understanding intentions.** The example of the person breaking into a car highlights the importance of knowing *why* someone is doing something before judging their actions.  Understanding the intention (the person lost their keys vs. the person is stealing the car) changes how you perceive their behavior.
* **The other options are less directly relevant:**
    * **A: Kosilisa kozanga kondima na mae matali bizaleli ya komonana (Eliminating disbelief in matters related to visible behavior):** While understanding intentions can *lead* to less disbelief, it's not the primary function.
    * **B: Kolobela ba mposa (To express needs):** This is not the emphasis of the text.
    * **D: Kotanga makanisi ya basusu (To read the minds of others):** While the passage mentions ""kotanga makanisi ya basusu"" as a human ability, the example clarifies that the ability allows you to judge other people fairly.

Therefore, understanding intention directly leads to being able to observe others without prematurely judging their actions.
"
"Kolanda maloba wana, nini kati ya mae malandi na kimukuse ekokani na litomba monene ya AI?","The correct answer is **D: Bosali mosala na mashine yemoko**.

Here's why:

* **The passage emphasizes that AI's core purpose is to create machines that can perform tasks requiring intelligence.** This implies autonomy and the ability to work on their own.  The phrase ""andelaka bizaleli, mayele pe ndenge mashine emesanaka"" (behaves, has intelligence, and how machines adapt) directly supports this.
* **A: Kolengela (Translation: Prediction):** While AI can be used for prediction, it's not the *primary* or *biggest* benefit highlighted in the passage. Prediction is often a tool used within AI, not its defining characteristic.
* **B: Bososoli mongongo (Translation: Speech recognition):** Speech recognition is *an example* of what AI can do, but not its overall benefit.
* **C: Kolengela ntango (Translation: Time management):** Time management is not directly addressed in the passage as a main benefit of AI.

Therefore, **D** most closely aligns with the core idea of AI presented in the passage: creating machines that can operate independently and intelligently.
"
"Kolanda maloba wana, nini na mae malandi oyo elandana mingi na AI?","According to the passage, Artificial Intelligence (AI) includes ""kozwa mikano pe kobongisa makambo, makoki ya kokokisa bamposa ya bakiliya mpe kopesa biyano na mituna na bango, mpe koyeba makambo bakomi na maboko, mongongo mpe elongi.""

Of the options provided:

*   **A: Service client** directly relates to the AI's ability to ""kokokisa bamposa ya bakiliya mpe kopesa biyano na mituna na bango"" (meeting customer needs and answering their questions).
*   **D: Bososoli ya makomi ya maboko** (Understanding handwriting) is specifically mentioned in the passage as an example of AI.

Option D is a more specific example, while A is a broader application mentioned. Since the question asks which option is *most* closely related, A is a more comprehensive answer. Therefore, the answer is A.

*   **C: Siance fiction** Eza lisolo babongisa, kasi eteni ya AI te

*   **B: Kobongisa mpe kolengela ba ngonga ya mosala** (Organizing and preparing work schedules) is not directly discussed in the passage.

**So the best answer is A and D**, but since only a single choice is allowed, A is broader so is the correct one.
"
"Kolanda maloba wana, nini na mae malandi ezalaka makasi ya moto oyo azalaka na ndenge ya kokanisa","Based on the provided text, the answer is **D: Lolenge ya kobomba makambo na kati ya mayele**.

Here's why:

*   The text emphasizes that analytical thinking involves drawing on past knowledge and experiences.
*   Analytical thinking relies on identifying the single correct answer.
*   Analytical thinkers are good at retaining information.

The other options are incorrect because they contradict the description of analytical thinking in the text:

*   **A: Kopona biyano ebele ya malamu na kati ya likambo songolo pakala:** The text states that there is only one correct answer in analytical thinking.
*   **B: Kosalela balolenge ebele na kati ya likambo:** The text describes analytical thinking as focused on logic and established methods, not multiple approaches.
*   **C: Kozua ngonga oyo esengeli pona kozua eyano na likambo:** While efficiency is mentioned, the core focus is on accuracy and truth.

Therefore, the capacity to store information in memory aligns with the description of analytical thinking."
"Kolanda maloba wana, nini na mae malandi endimami te kotalela makasi ndenge ya kokanisa?","The correct answer is **B: Kozua ngonga oyo esengeli** (Taking the time needed).

Here's why:

*   **A: Kososola ete eyano ya malamu ezali kaka moko (Understanding that there is only one correct answer)**: The text states that the most important thing in this type of thinking is that there is only one correct answer (eyano ya solo eza kaka moko).

*   **C: Kososola bosolo (Understanding truth)**: The text explicitly mentions ""koyeba makambo ya solo"" (knowing true information) as a key part of this way of thinking.

*   **D: Kosangisa ba nsango (Combining information)**: The text states that it involves ""kosalela lisusu mayele ya kala ya kosangisa basango"" (reusing old methods of combining information).

*   **B: Kozua ngonga oyo esengeli (Taking the time needed)**: While efficiency and speed are mentioned (vitese), the text doesn't say that *taking time* is explicitly valued. In fact, the implication is that this type of thinking is supposed to be quick. The question asks what is *not* valued.

Therefore, taking the time needed is *not* explicitly endorsed by the text as a core aspect of this thinking style."
"Kolanda maloba wana, nini na mae malandi ekoki te kondimama lokola micro-expresion?","The correct answer is **D: Komatisa mosapi munene ya loboko likolo**.

Here's why:

* **Micro-expressions** are brief, involuntary facial expressions that reveal a person's true emotions. The prompt emphasizes these are fleeting (lasting only a fraction of a second).

* **A, B, and C** (Kotala pembeni na ngonga ya kosolola, Kozipazipa miso, Kobetabeta miso mbangu mbangu) can all be subtle, quick gestures or facial movements that *could* be considered micro-expressions depending on the context and how rapidly they occur.

* **D** (Komatisa mosapi munene ya loboko likolo - Thumbs up) is a conscious, deliberate gesture. It is not an involuntary expression of emotion. Therefore, it cannot be a micro-expression.

Therefore, D is the only option that cannot be a micro-expression.
"
Na maloba ya bolimboli micro-expresion mae malandi nini ezali solo te?,"The correct answer is **A: Kosala enregistrement ya video emema makambo mingi te.**

Here's why:

*   The passage *explicitly* states that video recording *does* help in detecting micro-expressions. It says ""Kosalela enregistrement ya video emema na koyeba makambo mingi na oyo etali koyeba bilembo ya elongo..."" (Using video recording leads to knowing many things regarding detecting facial expressions). Therefore, the statement in option A is false.

*   The other options are supported by the text:

    *   **B: Bolimboli ya malamu ekoki komonisa lokuta** (Good interpretation can reveal a lie): This is directly implied by the first sentence regarding detecting lies from fleeting facial expressions.
    *   **C: Maloba mpe bizaleli ya elongi esosolami malamu** (Words and facial expressions are well understood): The passage talks about analysing words and facial expressions, so this statement aligns with that.
    *   **D: Ekoki kosalisa komeka bosolo** (It can help test the truth): This is also tied to the idea of using micro-expressions to detect lies and therefore assess the truth.
"
Na mae malandi nini ekomaki ya motuya mingi kouta na Renaissance? ,"The correct answer is **A: Mayele ya kokanisa**.

The passage states ""...mayele ya kokanisa maloba ekomaki ntina mingi koleka."" This directly translates to ""the ability to reason became more important."" Therefore, option A is the best answer.
"
"Kolanda boyei ya kobotama lisusu , eloko nini na mae malandi ezuamaki lisusu na litomba mingi te?","According to the text (P), the importance of inviting people decreased, while the ability to interpret written words became more important. This suggests a shift in focus towards written materials and individual interpretation.

Therefore, the answer is **A: Mayele ya kokanisa (The art of inviting)**. The passage states that the ability to invite people became less important during the Renaissance. The other options (knowledge acquisition, written interpretation, and information spread) all became *more* important or were a consequence of the shift.
"
Na mae malandi nini emonisi te ntina ya kosalela internet pona bokobi ya ba relations ?,"Réponse correcte : **B: Kosolola na libota ngonga nyonso**

Explication :

*   Liyebisi P elobi ete ""kokoba boyokani"" eza moko ya bilendiseli ya ntina ya kosalela internet. Kosolola na libota ngonga nyonso eza ndakisa malamu ya kokoba boyokani na bato ozali na bango na boyokani.

Tala te :

*   A: Bosali mombongo ezali lié na koyekola ou kokutana na bato ya sika.
*   C: Kosala bulukiluki pona mibembo ezali lié te na lisolo ya kokoba boyokani.
*   D: Kokutana na bato ya sika ekokani na kokoba boyokani te."
Na mae malandi nini emonisi te ntina ya kosalela internet pona makambo ya moto yemoko?,"According to the text, the motives for using the internet include ""learning,"" ""connecting with others,"" ""self-gratification,"" and ""relationship maintenance.""

Let's analyze the options:

*   **A: Kotala lolenge ya kosala eloko (Looking at how to make something/Instructions):** This could be related to ""learning"" if someone is looking up how to do something.
*   **B: Kotia masolo ya internet na ecran (Putting internet stories on the screen):** This is a technological action, not a motivation.
*   **C: Kosala bolukiluki ya bakisi pona kolongono ya nzoto (Researching medicine for health):** This could be related to ""learning"" and also potentially ""relationship maintenance"" if someone is researching for a loved one.
*   **D: Koyeba kosalela mbongo (Knowing how to use money):** This could be related to ""learning.""

Out of these options, **A and C** best reflect the motivations mentioned in the text (learning and potentially relationship maintenance). However, the core motivation of wanting to ""learn"" how to make something is more directly aligned with the passage.

Therefore, the most appropriate answer is:

**A: Kotala lolenge ya kosala eloko**"
