question,gemma3_answer
Ποιο από τα παρακάτω χαρακτηριστικά κατασκευής θεωρείται μη χαρακτηριστικό του Kirby Muxloe Castle κατά τη διάρκεια της χρονικής περιόδου που περιγράφεται στο απόσπασμα;,2
"Σύμφωνα με το απόσπασμα, τι από τα παρακάτω θα ήταν το πλέον ευεργετικό για κάποιον δρομέα που προετοιμάζεται για την επόμενη σεζόν;",4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω είναι υψίστης σημασίας για έναν πρώτης τάξης δρομέα μισού μιλιού;",2
Ποιο από τα παρακάτω δεν μπορεί να επιτευχθεί μόνο μέσω των διατροφικών πρακτικών για τις αθλήτριες;,3
"Με βάση το απόσπασμα, ποιο από τα παρακάτω δεν προτείνεται για τις νεαρές αθλήτριες ως ένας τρόπος για να βρίσκουν μεγαλύτερη ευχαρίστηση από το άθλημά τους;",2
"Σύμφωνα με το απόσπασμα, για ποιον λόγο θα μπορούσε ένας δρομέας μεσαίων αποστάσεων να αγοράσει πιο ακριβό εξοπλισμό;",1
"Σύμφωνα με το απόσπασμα, τι απαιτείται για την ενασχόληση με το τρέξιμο μεσαίων αποστάσεων;",3
Ποιος ανακάλυψε τον πυρηνικό μαγνητικό συντονισμό; ,3
Ποιο έτος χορηγήθηκε το πρώτο δίπλωμα ευρεσιτεχνίας στον κλάδο της μαγνητικής τομογραφίας; ,2
"Σύμφωνα με το απόσπασμα, ποιο είναι το στοιχείο που θα πρέπει να κατανοούν οι άνθρωποι προκειμένου να ερμηνεύουν τις σωματικές κινήσεις των άλλων;",2
"Σύμφωνα με το απόσπασμα, η κατανόηση της πρόθεσης βοηθά τους ανθρώπους να κάνουν τι;",1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί ακριβή σύνοψη του βασικού σκοπού της ΤΝ;",4
"Σύμφωνα με το απόσπασμα, με ποιο από τα παρακάτω συνδέεται συχνά η ΤΝ;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω είναι το πλεονέκτημα κάποιου ο οποίος διαθέτει συγκλίνοντα μοτίβα σκεπτικού;",4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν θεωρείται επίκεντρο της νοοτροπίας συγκλινόντων μοτίβων σκεπτικού;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν θα μπορούσε να θεωρηθεί μικροέκφραση;",4
Ποια από τις παρακάτω προτάσεις σχετικά με την ερμηνεία των μικροεκφράσεων δεν είναι αληθής;,3
Ποιο από τα παρακάτω υπήρξε το πιο σημαντικό αποτέλεσμα της Αναγέννησης; ,2
"Ως αποτέλεσμα της Αναγέννησης, σε ποιο από τα παρακάτω δόθηκε λιγότερη έμφαση;",1
Ποιο από τα παρακάτω δεν αντικατοπτρίζει κάποιο κίνητρο για τη χρήση του διαδικτύου για τις συνεχείς σχέσεις;,3
Ποιο από τα παρακάτω δεν αντικατοπτρίζει κάποιο κίνητρο για τη χρήση του διαδικτύου για την προσωπική συμμετοχή;,1
Πότε σταμάτησε η Δυτική Ευρώπη να βασίζεται σε μεγάλο βαθμό στις διάφορες επιρροές και άρχισε να αναπτύσσει το δικό της στυλ;,1
Η χρήση κουμπιών για τη στερέωση των ρούχων ήταν αποτέλεσμα ποιας περιόδου; ,3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω θεωρείται βιώσιμη μακροπρόθεσμη λύση για τα περιβαλλοντικά ζητήματα;",3
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω λύσεις δεν θα μπορούσε να θεωρηθεί αντιμετώπιση συμπτωμάτων περιβαλλοντικών ζητημάτων;",2
"Σε ποια χώρα πραγματοποιήθηκε ο πρώτος πόλεμος στην Ευρώπη, του οποίου το κεντρικό ζήτημα λέγεται ότι σχετίζεται με την ισορροπία δυνάμεων και όχι με το θρησκευτικό πλαίσιο;",4
Ποιος πόλεμος περιγράφεται μερικές φορές ως ο τελευταίος «θρησκευτικός πόλεμος»;,1
Ποιες από τις παρακάτω πτυχές της Καθολικής Εκκλησίας δεν εξετάστηκαν;,2
"Σύμφωνα με το απόσπασμα, ποιος δολοφονήθηκε στις Βερσαλλίες;",4
Τι από τα παρακάτω δεν ανάγκασε ο όχλος να κάνουν ο Βασιλιάς και η Βασίλισσα;,3
Ποιο από τα παρακάτω δεν ήταν αποτέλεσμα του ανορθόδοξου ναυτικού πολέμου της Βρετανίας;,3
Ποια δήλωση δεν περιγράφει με ακρίβεια τον ναυτικό αποκλεισμό της Βρετανίας κατά της Γερμανίας;,4
"Με βάση το απόσπασμα, σε ποιον από τους παρακάτω είναι πλέον πιθανή η διάγνωση σκλήρυνσης κατά πλάκας;",1
"Σύμφωνα με το απόσπασμα, αυτοί που συμμετέχουν σε τακτική δραστηριότητα έχουν ανάγκη από περισσότερη στήριξη αναφορικά με τι;",1
"Σύμφωνα με το απόσπασμα, πώς διεξάγεται συνήθως το άθλημα της ξιφασκίας;",4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω είναι το πιο έγκυρο σημάδι εσωτερικής δηλητηρίασης;",4
"Σύμφωνα με το απόσπασμα, ποιο είναι το κατάλληλο πρώτο βήμα κατά την αξιολόγηση της κατάστασης ενός θύματος;",1
Ποια από τις παρακάτω δηλώσεις δεν αντικατοπτρίζει με ακρίβεια τη διαδικασία ελέγχου κάποιου θύματος;,1
Ποιες από τις αλλαγές που προκάλεσε η Γαλλική Επανάσταση είχαν σημαντικό αντίκτυπο στους πολίτες της εργατικής τάξης;,2
"Μετά τη Γαλλική Επανάσταση, η επιτυχία στον στρατό και άλλα επαγγέλματα βασιζόταν λιγότερο σε τι από τα παρακάτω;",2
Ποια δημόσια παροχή λέγεται ότι προκαλεί τη μεγαλύτερη δυσαρέσκεια στις ανεπτυγμένες χώρες;,3
"Σύμφωνα με το απόσπασμα, τι μπορεί να ειπωθεί για τα συστήματα δημόσιων συγκοινωνιών;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω μπορεί να είναι δύσκολο να μετρηθεί λόγω της απρόβλεπτης συμπεριφοράς των οδηγών;",4
Ποιο από τα παρακάτω χρησιμοποιείται κατά την μαθηματική αναπαράσταση ενός ρεύματος κυκλοφορίας;,4
Τι χρησιμοποίησαν οι Hershey και Chase για να εμφυτεύσουν το DNA τους; ,4
Από τι εξαρτάται η ικανότητα μιας μετάλλαξης να κληροδοτηθεί στους απογόνους;,1
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, από τι εξαρτώνται οι διάφορες επιδράσεις των μεταλλάξεων;",1
Ποιος από τους παρακάτω δεν ήταν ένας από τους λόγους για τους οποίους οι αρχαίοι πολιτισμοί διατηρούσαν κατσίκες;,2
Ο στόχος του γκολφ είναι να επιτευχθεί ο μικρότερος αριθμός από...;,2
"Σε ένα γήπεδο γκολφ, σε ποιο σημείο είναι πιο κοντά κουρεμένο το γρασίδι;",2
Ποιος είναι συνήθως ο σκοπός κάποιου πειράματος;,1
"Σύμφωνα με το απόσπασμα, τι δεν συμβάλλει στην καθοδήγηση της επιστημονικής έρευνας;",1
"Σύμφωνα με το απόσπασμα, ποια δήλωση σχετικά με τους ανεμοστρόβιλους δεν είναι αληθής;",3
"Με βάση το απόσπασμα, ποια από τις παρακάτω δηλώσεις περιγράφει με ακρίβεια τον μεγαλύτερο αριθμό ανεμοστρόβιλων;",4
Ποιο από τα παρακάτω άρχισε να κάνει ο άνθρωπος τον 16ο αιώνα;,4
Εδώ και πόσο καιρό χρησιμοποιούν οι άνθρωποι φακούς για τη μεγέθυνση αντικειμένων;,3
"Με βάση το απόσπασμα, τι μας λέει η σπηλιά του Μωάμεθ για τις πνευματικές του πρακτικές ή αξίες;",1
"Σύμφωνα με το απόσπασμα, σε τι από τα παρακάτω χρησιμοποιούταν αρχικά ο σίδηρος;",1
"Σύμφωνα με το απόσπασμα, γιατί οι ξύλινες ρόδες αντικαταστάθηκαν από σιδερένιες ρόδες;",4
"Σύμφωνα με το απόσπασμα, τι διαμόρφωσε τους ανθρώπους κατά την περίοδο του Ρομαντισμού;",2
Ποια από τις παρακάτω προτάσεις δεν αντικατοπτρίζει κάποια κεντρική ιδέα τεχνολογικού ντετερμινισμού; ,1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν συνδέεται με το τράβηγμα του δοξαριού;",1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω σχετίζεται με τον πιο απαλό ήχο;",3
Τα απολιθώματα φανερώνουν ότι τα χέρια τελικά προσαρμόστηκαν για να χρησιμοποιηθούν κυρίως για ποιο από τα παρακάτω;,1
Ποιο από τα παρακάτω περιγράφει με ακρίβεια τις φάλαγγες ενός χιμπατζή; ,3
Από ποια δεξαμενή αφαιρεί τις νέες γενετικές παραλλαγές η επιλογή;,4
Ποια διαδικασία είναι υπεύθυνη για την προσθήκη γενετικών παραλλαγών;,3
"Με βάση τις πληροφορίες στο απόσπασμα, τι από τα παρακάτω πρέπει να τρώει ένα πρωτεύον θηλαστικό για να αντιμετωπίσει το «ζήτημα της πρωτεΐνης»;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω προβλήματα δεν προκαλείται από έλλειψη βασικών αμινοξέων;",1
Με ποιον τρόπο υποδηλώνουν συχνά τα μέλη μιας συγκεκριμένης υποκουλτούρας τη σύνδεσή τους με την ομάδα;,4
"Σύμφωνα με τη θεωρία που παρουσιάζεται στο απόσπασμα, τι μπορεί να συμβεί σε ένα παιδί που ταυτίζεται με μια φυλετική μειονότητα που υπόκειται σε στερεοτυπικές αντιλήψεις όσον αφορά την απειλητική συμπεριφορά;",2
"Σύμφωνα με το απόσπασμα, η γνώση ενός παιδιού για τα φυλετικά στερεότυπα θα μπορούσε να έχει αντίκτυπο σε τι από τα παρακάτω;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν είναι πιθανό να είναι συνεπές με την ανατροφή ενός άγριου παιδιού;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω περιγράφει με ακρίβεια την άγρια συμπεριφορά στα παιδιά;",2
"Με βάση το απόσπασμα, ποια από τις παρακάτω πρακτικές δεν είναι σύμφωνη με τη γεωργία που είναι προσανατολισμένη στην συντήρηση;",2
Ποιο από τα παρακάτω περιγράφει με ακρίβεια την πρακτική της γεωργίας επιβίωσης;,4
Σε ποια κατηγορία τουρισμού εμπίπτει η επίσκεψη σε μουσείο;,3
"Σύμφωνα με το απόσπασμα, τι θα μπορούσε να αποτελεί προτεραιότητα για τους ταξιδιώτες αναψυχής;",2
Τι αναφέρεται στο απόσπασμα ως κάτι που βοήθησε να μειωθεί ο φόβος της αλλαγής στην τοπική εκκλησία;,1
"Σύμφωνα με το απόσπασμα, σε τι μπορεί να συμβάλλει η κατανόηση της ιστορίας κάποιου ανθρώπου;",1
Ποια από τις παρακάτω προτάσεις περιγράφει με ακρίβεια τη μεταμοντέρνα προσέγγιση στη μάθηση;,4
Ποια από τις παρακάτω προτάσεις δεν αντικατοπτρίζει με ακρίβεια μια μεταμοντέρνα προσέγγιση μάθησης;,4
"Αφού κάποιος ξυπνήσει συνειδητά κατά τη διάρκεια του κανονικού διαστήματος που διαρκεί ο ύπνος, ποιο από τα παρακάτω επηρεάζει τη διαδικασία διακοπής του ύπνου;",2
Ποια από τις παρακάτω δεν είναι ακριβής περιγραφή της διακοπής του ύπνου;,4
"Επειδή ο εγκέφαλος προσπαθεί να έχει διαυγή όνειρα πιο συχνά, τι αυξάνεται;",1
Ποιες από τις παρακάτω αρνητικές επιδράσεις μπορούν να έχουν τα συχνά διαυγή όνειρα στον οργανισμό;,2
"Σύμφωνα με το απόσπασμα, τι είναι οι συμβατικές ομάδες και τι οι εικονικές ομάδες;",3
"Με βάση το απόσπασμα, ποια δήλωση σχετικά με τις φυσικές και εικονικές ομάδες δεν είναι αληθής;",1
Ποιο από τα παρακάτω δεν είναι κάτι στο οποίο επικεντρώνονται οι θεωρίες περιεχομένου;,1
Ποιο από τα παρακάτω δεν αποτελεί αντικείμενο του νόμου των τριών;,1
Ποιο από τα παρακάτω δεν περιγράφει τον μορφότυπο φωτογραφίας των 35 mm;,3
"Σύμφωνα με το απόσπασμα, καθώς οι κατασκευαστές αυξάνουν την ποιότητα της παραγωγής φακών, πώς έχουν βελτιωθεί οι φακοί μεταβλητής εστίασης;",3
"Με βάση τις πληροφορίες στο απόσπασμα, πότε μπορεί ένας φακός ζουμ να είναι προτιμότερος από έναν φακό σταθερής εστιακής απόστασης;",3
Ποιο από τα παρακάτω δεν θα μπορούσε να θεωρηθεί ακριβής περιγραφή του μυστικισμού;,4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν αποτελεί επίκεντρο του μυστικισμού;",2
"Σύμφωνα με το απόσπασμα, ποιος ενδέχεται να εγκαθίδρυσε μια αγροτική κοινωνία;",3
"Σύμφωνα με το απόσπασμα, η ομάδα που κυνηγούσε μόα ήταν οι πρώτοι κάτοικοι ποιας περιοχής;",2
Σε ποιο σενάριο θα ωφελούσε τον διπλωτή η χρήση της μεθόδου Πιούρλαντ οριγκάμι;,4
Ποιο από τα παρακάτω δεν περιγράφει με ακρίβεια το Πιούρλαντ οριγκάμι;,1
"Σύμφωνα με το απόσπασμα, ποια τοποθεσία δεν συνδέεται με τον πολιτισμό της κοιλάδας του Ινδού;",3
Ποιο από τα παρακάτω δεν αναφέρεται ως πιθανό όνομα για τον πολιτισμό της Εποχής του Χαλκού που συζητείται στο απόσπασμα;,3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποφέρει μακροπρόθεσμο όφελος;",1
"Σύμφωνα με το απόσπασμα, σε ποιο από τα παρακάτω θα μπορούσε κάποιος να δώσει προτεραιότητα εάν η εστίασή του είναι στα άμεσα οφέλη;",4
"Σύμφωνα με το απόσπασμα, ποιος κάλυψε μεγάλο μέρος των εξόδων του πολέμου;",4
Ποια χρονική περίοδος προηγήθηκε της εποχής των Ναϊτών;,3
Ποια χρονική περίοδος ακολούθησε την εποχή των Ναϊτών;,1
Ποια ιατρική θεραπεία ή επέμβαση δεν αναφέρεται ότι χρησιμοποιούνταν από γιατρούς και χειρουργούς κατά τη διάρκεια της Ρωμαϊκής Αυτοκρατορίας;,1
"Σύμφωνα με το απόσπασμα, σε τι από τα παρακάτω δεν αποδίδεται η πρόοδος που σημειώθηκε στην ανάπτυξη επιτευγμάτων στον κλάδο της ιατρικής κατά τη διάρκεια της Ρωμαϊκής Αυτοκρατορίας;",3
Από τι εξαρτάται η ικανότητα όρασης;,1
Από τι εξαρτάται η διακύμανση της δομής των ματιών μεταξύ των οργανισμών;,2
"Σύμφωνα με το απόσπασμα, ποια δήλωση σχετικά με τον Σιχισμό δεν απεικονίζει με ακρίβεια το θρήσκευμα;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω θεωρείται βασική έννοια του συστήματος πεποιθήσεων των Σιχ;",1
"Σύμφωνα με το απόσπασμα, σε τι μπορεί να δυσκολεύονται να εστιάσουν τα παιδιά με Διαταραχή Ελλειμματικής Προσοχής;",1
"Σύμφωνα με το απόσπασμα, γιατί τα παιδιά με Διαταραχή Ελλειμματικής Προσοχής τείνουν να επιδίδονται σε ριψοκίνδυνες συμπεριφορές;",4
"Με βάση τις πληροφορίες του αποσπάσματος, ποιο από τα παρακάτω δεν αποτελεί παράδειγμα ικριώματος;",3
Ποιο από τα παρακάτω δεν περιγράφει με ακρίβεια την έννοια των ικριωμάτων;,3
"Σύμφωνα με το απόσπασμα, ποιο χαρακτηριστικό του MySpace θα μπορούσε να ωφελήσει τους μαθητές που έχουν πρόβλημα με την ανάγνωση;",1
"Σύμφωνα με το απόσπασμα, τι από τα παρακάτω δεν πραγματοποιήθηκε στο πλαίσιο της αντίδρασης του Κρούστσεφ απέναντι στις εξεγέρσεις των εργατών;",3
Ποιο από τα παρακάτω δεν ήταν η αιτία των εξεγέρσεων στην Πολωνία;,4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν επηρέασε τις σχέσεις μεταξύ ΕΣΣΔ και ΗΠΑ;",2
Ποιο από τα παρακάτω δεν περιγράφει με ακρίβεια τον σκοπό της αποστολής νευρικών ερεθισμάτων σε όλο το σώμα;,1
Τι μπορεί κανείς να δει στο οροπέδιο της Γκίζας;,4
Για ποιον σκοπό χτίστηκε η Μεγάλη Πυραμίδα;,2
Χάρη σε ποιον γνωρίζουμε τον εμπρηστή που κατέστρεψε τον ναό;,3
Ποια είναι η ακριβής δήλωση σχετικά με την ανοικοδόμηση του ναού της Αρτέμιδος;,2
"Σύμφωνα με το απόσπασμα, πότε ενδέχεται να περπάτησε κάποιο είδος στα δύο πόδια για πρώτη φορά;",1
Ποιο από αυτά τα είδη περπατούσε κανονικά στα δύο πόδια;,2
Τι προσπαθούσε να επιτύχει το γερμανικό ναυτικό κατά τη διάρκεια του Β΄ Παγκοσμίου Πολέμου;,2
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, ποιος είχε τη μεγαλύτερη επιτυχία στον ναυτικό πόλεμο που διεξήχθη κατά τη διάρκεια της εκστρατείας του Βορείου Ατλαντικού;",1
Τι δεν υπήρχε όταν οι Ασσύριοι εφάρμοσαν τη χρήση του ιππικού;,1
Πώς διεξάγονται οι μάχες στις οποίες χρησιμοποιείται ιππικό;,3
"Σύμφωνα με το απόσπασμα, πού δεν πήγαινε ο μέσος Βαβυλώνιος πολίτης;",4
Σε ποιο από τα παρακάτω είχαν πρόσβαση μόνο οι ιερείς;,2
Πότε έγινε διάσημος ο βασιλιάς Τουταγχαμών;,3
Τι έκανε τον Τουταγχαμών γνωστό Αιγύπτιο βασιλιά;,1
Τι δεν μπορούσε να κάνει ο Έλληνας ποιητής Όμηρος;,2
Ποιος διάσημος Έλληνας είναι γνωστός για κάτι άλλο εκτός από τη λογοτεχνία;,3
Πού περνούσε η εβραϊκή οικογένεια μεγάλο κομμάτι της ζωής της;,1
Τι δεν ήταν πολύ σημαντικό για την εβραϊκή οικογένεια;,3
Ποιο από τα παρακάτω δεν περιγράφεται ως διαφορά μεταξύ των Σκανδιναβικών χωρών;,2
Ποιος εγκαταστάθηκε πρώτος στη Γροιλανδία;,1
Ποια ομάδα ανθρώπων προτιμούσαν να τρώνε το φαγητό τους χωρίς να κάθονται σε καρέκλες;,3
Ποιο από τα παρακάτω δεν αποτελούσε μέρος ενός αρχαίου ρωμαϊκού συμποσίου;,4
"Με βάση το απόσπασμα, ποιο από τα παρακάτω είναι απίθανο να έχει διαρκή αντίκτυπο;",2
"Σύμφωνα με το απόσπασμα, τι προηγείται ενός έθνους;",3
Ποια δήλωση σχετικά με το Drukgyal Dzong δεν είναι αληθής;,1
Ποια δήλωση περιγράφει με ακρίβεια το αποτέλεσμα της πυρκαγιάς στο Drukgyal Dzong;,1
Ποια από τις παρακάτω δηλώσεις σχετικά με την Καμπότζη είναι αληθείς;,4
Ποια από τις παρακάτω δηλώσεις περιγράφει με ακρίβεια τις εισβολές στην Καμπότζη;,4
Ποιο από τα παρακάτω δεν έκανε η Ολλανδική Εταιρεία Ανατολικών Ινδιών κατά τη διάρκεια της παραμονής της τους στην Ταϊβάν;,4
Τι προέβλεπε η Συνθήκη Shimonoseki;,4
Πώς μετριέται το επίπεδο pH μιας χημικής ουσίας;,3
Τι αφαιρέθηκε από τα ιόντα υδρογόνου;,4
Ποια από τις παρακάτω δηλώσεις δεν περιγράφει με ακρίβεια την αγέλη των λιονταριών;,3
Ποια από τις παρακάτω δηλώσεις δεν περιγράφει με ακρίβεια τη συμπεριφορά των λιονταριών;,4
Οι λαγοί είναι κοινή λεία για ποιο είδος θηρευτή;,3
Ποια από τα παρακάτω κυνηγούν συνήθως οι μικρότερες γάτες;,1
Ποιο από τα παρακάτω δεν αποτελεί μέρος της κυνηγετικής μεθόδου ενός οσελότου;,4
Ποιο από τα παρακάτω δεν περιγράφει με ακρίβεια έναν οσελότο; ,3
Ποιο από τα παρακάτω δεν θεωρείται το μεγαλύτερο πλεονέκτημα μιας τίγρης;,1
"Σύμφωνα με το απόσπασμα, ποια είναι η διαφορά μεταξύ τίγρεων και λιονταριών;",2
"Σύμφωνα με το απόσπασμα, τι έκανε ο Ρόμπερτ Χουκ πριν από άλλους βιολόγους;",3
Τι σημαίνει η προέλευση της λέξης «κύτταρο»;,2
"Σύμφωνα με το απόσπασμα, τα περισσότερα ζώα έχουν την ικανότητα να κάνουν τι;",2
"Σύμφωνα με το απόσπασμα, τι δεν έχουν μερικά ζώα;",3
Τι βοηθά τα φυτά στη διαδικασία της φωτοσύνθεσης;,4
"Τι είναι αυτό που εκπνέουν οι άνθρωποι, το οποίο εισπνέουν τα φυτά;",4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω παραδείγματα θα εμπόδιζε τη διαδικασία της εξέλιξης;",1
Ποια από τις παρακάτω δηλώσεις δεν περιγράφει με ακρίβεια τη διαδικασία της ειδογένεσης; ,1
Ποιο μέρος του κυκλοφορικού συστήματος φέρνει το αίμα στην καρδιά;,4
Ποιοι σωλήνες είναι οι μικρότεροι στο κυκλοφορικό σύστημα;,1
Η ικανότητα ενός εντόμου να αναδιπλώνει τα φτερά του κατά μήκος του σώματός του προς τα πίσω αυξάνει ποιο από τα παρακάτω;,2
Ποιο από τα παρακάτω δεν αναφέρεται στο απόσπασμα ως κάτι που επηρεάζεται από την πτητική ικανότητα ενός εντόμου;,2
Ποιο από τα παρακάτω χαρακτηριστικά δεν συνδέεται συνήθως με τους δεινόσαυρους;,2
Ποιο από τα παρακάτω δεν θεωρείται κοινό χαρακτηριστικό των πτηνών και των δεινοσαύρων;,3
"Σύμφωνα με το απόσπασμα, ποιο μέρος ενός κυκαδόφυτου μπορεί να φάει ένας Τρικεράτωψ;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω θα ήταν πιο πιθανό να φάει ένας Τρικεράτωπας; ",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αθλήματα είναι πιθανό να είναι ευρέως δημοφιλές στις βορειότερες περιοχές της Ιταλίας;",3
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, ποιο από τα παρακάτω αθλήματα κέρδισε ένα παγκόσμιο πρωτάθλημα για την Ιταλία;",1
Μετά από ποιο γεγονός προσαρτήθηκαν στο Βέλγιο ορισμένες περιοχές του Λουξεμβούργου;,2
Ποιο από τα παρακάτω επηρέασε την ουδετερότητα του Λουξεμβούργου;,1
Πόσα τετραγωνικά χιλιόμετρα της συνολικής έκτασης της Τουρκίας βρίσκονται στην Ευρώπη;,4
"Σύμφωνα με το απόσπασμα, ποιο είναι το μήκος της Τουρκίας σε μίλια;",4
Για τι από τα παρακάτω χρησιμοποιείται η λατινική γλώσσα στην πόλη του Βατικανού;,1
"Στην πόλη του Βατικανού, για τι από τα παρακάτω δεν χρησιμοποιείται η ιταλική γλώσσα;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω διευκολύνει η δυνατότητα επεξεργασίας και μίξης ήχου σε εξελιγμένους υπολογιστές;",1
"Σύμφωνα με το απόσπασμα, σε ποια τοποθεσία η πλειοψηφία των σπιτιών διέθετε τουαλέτες με καζανάκι;",1
Σε ποιες από τις παρακάτω τοποθεσίες βρέθηκαν προηγμένα συστήματα αποχέτευσης;,1
Τι από τα παρακάτω επιτρέπει σε ένα παγοπέδιλο να στρίβει στον πάγο;,1
"Σύμφωνα με το απόσπασμα, πως θα χαρακτηρίζατε με ακρίβεια το κενό στη λάμα ενός σύγχρονου παγοπέδιλου;",3
"Σύμφωνα με το απόσπασμα, ποια είναι η διαδικασία που επιτρέπει στα άτομα να εξαλείψουν την πλεονάζουσα ενέργεια από το φως;",4
Τι προκαλεί την εκπομπή ενός φωτονίου από ένα άτομο;,2
"Σύμφωνα με το απόσπασμα, τι θα αναστείλει τελικά την λειτουργία μιας λάμπας;",3
Ποιο από τα παρακάτω θα μπορούσε να είναι ενδεχομένως επικίνδυνο να αγγίξετε κατά την αντικατάσταση ενός λαμπτήρα;,3
"Σύμφωνα με το απόσπασμα, τι συμβαίνει όταν ένας πυρήνας διασπάται;",2
Ποιο από τα παρακάτω λαμβάνει και αναμεταδίδει υπεραστικές κλήσεις πίσω στη Γη;,2
