language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-4o (Apr 2025),Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
Silesian,szl_Latn,Indo-European,38.4,51.7,83.8,64.9,38.7
Tamil,tam_Taml,Dravidian,48.7,69.2,85.8,57.4,30.2
Tatar,tat_Cyrl,Turkic,46.1,61.9,88.2,57.5,48.8
Telugu,tel_Telu,Dravidian,60.4,68.4,87.3,62.9,44.3
Tajik,tgk_Cyrl,Indo-European,49.1,61.6,86.8,59.3,49.4
Tagalog,tgl_Latn,Austronesian,67.9,76.9,89.7,68.3,63.4
Thai,tha_Thai,Tai-Kadai,61.1,75.5,85.3,57.5,49.5
Tigrinya,tir_Ethi,Afro-Asiatic,19.3,37.1,77.9,35.5,10.4
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,22.8,17.7,54.4,26.4,18.4
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,3.1,3.3,24.5,18.2,11.4
Tok Pisin,tpi_Latn,Indo-European,63.8,60.8,87.3,49.3,46.1
Tswana,tsn_Latn,Atlantic-Congo,31.8,42.8,86.3,49.2,43.7
Tsonga,tso_Latn,Atlantic-Congo,34.2,29.4,83.8,50.4,41.2
Turkmen,tuk_Latn,Turkic,52.3,53.1,87.7,59.9,48.6
Tumbuka,tum_Latn,Atlantic-Congo,28.5,32.6,82.8,39.4,35.5
Turkish,tur_Latn,Turkic,66.1,78.2,87.7,63.4,59.6
Twi,twi_Latn,Atlantic-Congo,33.0,34.6,76.0,41.4,29.1
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,4.1,1.1,13.2,18.5,3.2
Uyghur,uig_Arab,Turkic,46.4,57.7,83.8,50.8,31.2
Ukrainian,ukr_Cyrl,Indo-European,67.1,79.2,87.7,64.8,58.0
Umbundu,umb_Latn,Atlantic-Congo,15.2,7.7,54.4,26.6,21.2
Urdu,urd_Arab,Indo-European,64.3,76.8,85.8,60.6,47.7
Northern Uzbek,uzn_Latn,Turkic,57.6,60.3,85.3,60.0,51.9
Venetian,vec_Latn,Indo-European,44.1,59.4,86.3,65.9,43.5
Vietnamese,vie_Latn,Austroasiatic,63.3,75.7,87.3,60.9,61.3
Waray,war_Latn,Austronesian,64.6,65.4,87.3,68.0,55.2
Wolof,wol_Latn,Atlantic-Congo,29.5,24.1,76.5,40.5,23.1
Xhosa,xho_Latn,Atlantic-Congo,37.7,48.2,87.3,59.4,44.5
Eastern Yiddish,ydd_Hebr,Indo-European,33.2,44.8,87.3,73.3,33.6
Yoruba,yor_Latn,Atlantic-Congo,33.8,40.5,81.4,45.0,22.4
Yue Chinese,yue_Hant,Sino-Tibetan,63.9,79.2,88.7,57.2,22.3
Chinese (Simplified),zho_Hans,Sino-Tibetan,60.6,79.5,87.3,56.2,33.1
Chinese (Traditional),zho_Hant,Sino-Tibetan,64.2,78.8,90.2,55.0,27.3
Standard Malay,zsm_Latn,Austronesian,63.4,76.1,87.7,68.1,67.0
Zulu,zul_Latn,Atlantic-Congo,39.3,53.1,88.2,59.9,48.3
